instancia,variante,seed,pattern,severity_S,coefficient_family,status,filas,cols,binarias,kappa_antes,kappa_despues,rho_antes,rho_despues,tiempo_preproc_s,tiempo_solver_s,wall_time_s,objetivo,gap,best_bound,max_original_row_violation,max_integrality_violation,is_feasible_original_scale
none_S0_seed1,Base,1,none,0,uniform,ok,163,166,80,1574.55,1574.55,0.358164,0.358164,0,0.00919247,0.780067,7002.35,NA,NA,2.27374e-13,0,true
none_S0_seed1,SA-Aug,1,none,0,uniform,ok,163,166,80,1574.55,14587.8,0.358164,3.82635,0.000496372,0.00366141,0.00929231,7002.35,NA,NA,1.13687e-13,0,true
none_S0_seed1,SA-Mat,1,none,0,uniform,ok,163,166,80,1574.55,2803.14,0.358164,0.20095,0.000328824,0.00273492,0.00579875,7002.35,NA,NA,2.27374e-13,0,true
none_S0_seed1,Ruiz,1,none,0,uniform,ok,163,166,80,1574.55,16345.5,0.358164,3.51217,0.00138203,0.0029784,0.00696291,7002.35,NA,NA,1.13687e-13,0,true
none_S0_seed1,Ruiz+Cols,1,none,0,uniform,ok,163,166,80,1574.55,16345.5,0.358164,3.51217,0.00212811,0.00344426,0.00830046,7002.35,NA,NA,1.13687e-13,0,true
none_S0_seed1,Flat,1,none,0,uniform,ok,163,166,80,1574.55,1369.17,0.358164,0,0.00012912,0.00283822,0.00531359,7002.35,NA,NA,1.13687e-13,0,true
none_S0_seed2,Base,2,none,0,uniform,ok,163,166,80,812.432,812.432,0.358387,0.358387,0,0.00276567,0.00552503,2347.44,NA,NA,0,0,true
none_S0_seed2,SA-Aug,2,none,0,uniform,ok,163,166,80,812.432,7892.67,0.358387,3.94834,0.000812149,0.00487298,0.0110732,2347.44,NA,NA,1.42109e-14,0,true
none_S0_seed2,SA-Mat,2,none,0,uniform,ok,163,166,80,812.432,2463.59,0.358387,0.201472,0.000444735,0.00271019,0.00662343,2347.44,NA,NA,2.84217e-14,0,true
none_S0_seed2,Ruiz,2,none,0,uniform,ok,163,166,80,812.432,7220.78,0.358387,3.58176,0.00144211,0.00255727,0.00691443,2347.44,NA,NA,2.84217e-14,0,true
none_S0_seed2,Ruiz+Cols,2,none,0,uniform,ok,163,166,80,812.432,7220.78,0.358387,3.58176,0.00146238,0.00268994,0.00675187,2347.44,NA,NA,2.84217e-14,0,true
none_S0_seed2,Flat,2,none,0,uniform,ok,163,166,80,812.432,809.295,0.358387,0,0.000125425,0.00318948,0.00559455,2347.44,NA,NA,2.84217e-14,0,true
