instancia,variante,seed,pattern,severity_S,coefficient_family,status,filas,cols,binarias,kappa_antes,kappa_despues,rho_antes,rho_despues,tiempo_preproc_s,tiempo_solver_s,wall_time_s,objetivo,gap,best_bound,max_original_row_violation,max_integrality_violation,is_feasible_original_scale
coupling_S6_seed21,Base,21,coupling,6,uniform,ok,163,166,80,2.13339e+13,2.13339e+13,152266,152266,0,0.0164371,0.8467,3945.14,NA,NA,1.42109e-14,0,true
coupling_S6_seed21,SA-Aug-floor0,21,coupling,6,uniform,ok,163,166,80,2.13339e+13,3.95438e+08,152266,1.61216,0.000649845,0.00616292,0.0129012,3945.14,NA,NA,2.98023e-08,0,true
coupling_S6_seed21,SA-Aug-floor1e-2,21,coupling,6,uniform,ok,163,166,80,2.13339e+13,2.84425e+07,152266,3.46938,0.000560207,0.00776733,0.0132077,3945.14,NA,NA,2.98023e-08,0,true
coupling_S6_seed21,SA-Aug-floor1e-3,21,coupling,6,uniform,ok,163,166,80,2.13339e+13,2.84425e+07,152266,3.46938,0.000519486,0.00586797,0.0109161,3945.14,NA,NA,2.98023e-08,0,true
coupling_S6_seed21,SA-Aug-floor1e-4,21,coupling,6,uniform,ok,163,166,80,2.13339e+13,2.84425e+07,152266,3.46938,0.000329547,0.00485538,0.00783087,3945.14,NA,NA,2.98023e-08,0,true
coupling_S6_seed21,SA-Aug-floor1e-5,21,coupling,6,uniform,ok,163,166,80,2.13339e+13,2.84425e+07,152266,3.46938,0.000432114,0.00535592,0.00885151,3945.14,NA,NA,2.98023e-08,0,true
coupling_S6_seed22,Base,22,coupling,6,uniform,ok,163,166,80,523397,523397,0.562266,0.562266,0,0.00641049,0.011137,4232.24,NA,NA,1.42109e-14,0,true
coupling_S6_seed22,SA-Aug-floor0,22,coupling,6,uniform,ok,163,166,80,523397,523397,0.562266,6.09858,0.000340865,0.00435593,0.0075292,4232.24,NA,NA,1.42109e-14,0,true
coupling_S6_seed22,SA-Aug-floor1e-2,22,coupling,6,uniform,ok,163,166,80,523397,523397,0.562266,6.09858,0.000319063,0.00441802,0.00724025,4232.24,NA,NA,1.42109e-14,0,true
coupling_S6_seed22,SA-Aug-floor1e-3,22,coupling,6,uniform,ok,163,166,80,523397,523397,0.562266,6.09858,0.000317364,0.00476749,0.00753114,4232.24,NA,NA,1.42109e-14,0,true
coupling_S6_seed22,SA-Aug-floor1e-4,22,coupling,6,uniform,ok,163,166,80,523397,523397,0.562266,6.09858,0.000335246,0.00447929,0.00741529,4232.24,NA,NA,1.42109e-14,0,true
coupling_S6_seed22,SA-Aug-floor1e-5,22,coupling,6,uniform,ok,163,166,80,523397,523397,0.562266,6.09858,0.000333206,0.00446504,0.00738494,4232.24,NA,NA,1.42109e-14,0,true
coupling_S6_seed23,Base,23,coupling,6,uniform,ok,163,166,80,1.78443e+09,1.78443e+09,27.8243,27.8243,0,0.00335626,0.00557196,3188.21,NA,NA,0,0,true
coupling_S6_seed23,SA-Aug-floor0,23,coupling,6,uniform,ok,163,166,80,1.78443e+09,1.78443e+09,27.8243,1.2276,0.000322513,0.00400172,0.00677666,3188.21,NA,NA,3.55271e-15,0,true
coupling_S6_seed23,SA-Aug-floor1e-2,23,coupling,6,uniform,ok,163,166,80,1.78443e+09,7.10396e+06,27.8243,1.2276,0.000320793,0.0031979,0.00600554,3188.21,NA,NA,0,0,true
coupling_S6_seed23,SA-Aug-floor1e-3,23,coupling,6,uniform,ok,163,166,80,1.78443e+09,7.10396e+06,27.8243,1.2276,0.0003401,0.00340866,0.00638126,3188.21,NA,NA,0,0,true
coupling_S6_seed23,SA-Aug-floor1e-4,23,coupling,6,uniform,ok,163,166,80,1.78443e+09,7.10396e+06,27.8243,1.2276,0.000329733,0.00355502,0.00641068,3188.21,NA,NA,3.55271e-15,0,true
coupling_S6_seed23,SA-Aug-floor1e-5,23,coupling,6,uniform,ok,163,166,80,1.78443e+09,7.10396e+06,27.8243,1.2276,0.000341181,0.00372268,0.0067773,3188.21,NA,NA,3.55271e-15,0,true
coupling_S6_seed24,Base,24,coupling,6,uniform,ok,163,166,80,4.62388e+08,4.62388e+08,1657.89,1657.89,0,0.00276416,0.00500287,2940.09,NA,NA,2.84217e-14,0,true
coupling_S6_seed24,SA-Aug-floor0,24,coupling,6,uniform,ok,163,166,80,4.62388e+08,4.62388e+08,1657.89,1.17556,0.000324252,0.00277594,0.00564266,2940.09,NA,NA,9.31323e-10,0,true
coupling_S6_seed24,SA-Aug-floor1e-2,24,coupling,6,uniform,ok,163,166,80,4.62388e+08,126362,1657.89,9.40814,0.00032443,0.003019,0.00586875,2940.09,NA,NA,9.31323e-10,0,true
coupling_S6_seed24,SA-Aug-floor1e-3,24,coupling,6,uniform,ok,163,166,80,4.62388e+08,126362,1657.89,9.40814,0.000332887,0.00299724,0.00585329,2940.09,NA,NA,9.31323e-10,0,true
coupling_S6_seed24,SA-Aug-floor1e-4,24,coupling,6,uniform,ok,163,166,80,4.62388e+08,1.60208e+06,1657.89,1.17556,0.0005336,0.00547095,0.0098242,2940.09,NA,NA,9.31323e-10,0,true
coupling_S6_seed24,SA-Aug-floor1e-5,24,coupling,6,uniform,ok,163,166,80,4.62388e+08,1.60208e+06,1657.89,1.17556,0.000725653,0.0033764,0.00978583,2940.09,NA,NA,9.31323e-10,0,true
coupling_S6_seed25,Base,25,coupling,6,uniform,ok,163,166,80,2.38549e+06,2.38549e+06,693.754,693.754,0,0.00613649,0.0110952,8086.2,NA,NA,9.09495e-13,0,true
coupling_S6_seed25,SA-Aug-floor0,25,coupling,6,uniform,ok,163,166,80,2.38549e+06,168234,693.754,1.12942,0.000384996,0.00330195,0.00686025,8086.2,NA,NA,9.09495e-13,0,true
coupling_S6_seed25,SA-Aug-floor1e-2,25,coupling,6,uniform,ok,163,166,80,2.38549e+06,152923,693.754,43.0758,0.000327506,0.00336551,0.00635629,8086.2,NA,NA,9.09495e-13,0,true
