instancia,variante,seed,pattern,severity_S,coefficient_family,status,filas,cols,binarias,kappa_antes,kappa_despues,rho_antes,rho_despues,tiempo_preproc_s,tiempo_solver_s,wall_time_s,objetivo,gap,best_bound,max_original_row_violation,max_integrality_violation,is_feasible_original_scale
coupling_S6_seed1,Base,1,coupling,6,uniform,ok,163,166,80,2.80782e+09,2.80782e+09,185317,185317,0,0.00833616,0.829213,6361.38,NA,NA,1.42109e-14,0,true
coupling_S6_seed1,SA-Aug-rho2,1,coupling,6,uniform,ok,163,166,80,2.80782e+09,13038.4,185317,1.97978,0.000682343,0.00598706,0.0132151,6361.38,NA,NA,5.96046e-08,0,true
coupling_S6_seed1,SA-Aug-rho5,1,coupling,6,uniform,ok,163,166,80,2.80782e+09,13038.4,185317,1.97978,0.000599672,0.00565769,0.0115556,6361.38,NA,NA,5.96046e-08,0,true
coupling_S6_seed1,SA-Aug-rho10,1,coupling,6,uniform,ok,163,166,80,2.80782e+09,13038.4,185317,1.97978,0.000329451,0.00455777,0.00762227,6361.38,NA,NA,5.96046e-08,0,true
coupling_S6_seed1,SA-Aug-rho20,1,coupling,6,uniform,ok,163,166,80,2.80782e+09,13038.4,185317,1.97978,0.000324077,0.00488243,0.00785094,6361.38,NA,NA,5.96046e-08,0,true
coupling_S6_seed1,SA-Aug-rho50,1,coupling,6,uniform,ok,163,166,80,2.80782e+09,13038.4,185317,1.97978,0.000331851,0.00479167,0.00778308,6361.38,NA,NA,5.96046e-08,0,true
coupling_S6_seed2,Base,2,coupling,6,uniform,ok,163,166,80,4.602e+08,4.602e+08,120112,120112,0,0.00456088,0.00697892,4557.51,NA,NA,2.98023e-08,0,true
coupling_S6_seed2,SA-Aug-rho2,2,coupling,6,uniform,ok,163,166,80,4.602e+08,351656,120112,1.32327,0.000325359,0.00804572,0.0112116,4557.51,NA,NA,2.98023e-08,0,true
coupling_S6_seed2,SA-Aug-rho5,2,coupling,6,uniform,ok,163,166,80,4.602e+08,351656,120112,1.32327,0.000354442,0.00909089,0.0126955,4557.51,NA,NA,2.98023e-08,0,true
coupling_S6_seed2,SA-Aug-rho10,2,coupling,6,uniform,ok,163,166,80,4.602e+08,351656,120112,1.32327,0.000764939,0.0121286,0.0183806,4557.51,NA,NA,2.98023e-08,0,true
coupling_S6_seed2,SA-Aug-rho20,2,coupling,6,uniform,ok,163,166,80,4.602e+08,351656,120112,1.32327,0.000368171,0.0101207,0.013744,4557.51,NA,NA,2.98023e-08,0,true
coupling_S6_seed2,SA-Aug-rho50,2,coupling,6,uniform,ok,163,166,80,4.602e+08,351656,120112,1.32327,0.000410484,0.00847109,0.0128211,4557.51,NA,NA,2.98023e-08,0,true
coupling_S6_seed3,Base,3,coupling,6,uniform,ok,163,166,80,6.94009e+10,6.94009e+10,752.865,752.865,0,0.00418466,0.00755109,6224.33,NA,NA,9.09495e-13,0,true
coupling_S6_seed3,SA-Aug-rho2,3,coupling,6,uniform,ok,163,166,80,6.94009e+10,8.73706e+06,752.865,1.04636,0.000366063,0.00324354,0.0066005,6224.33,NA,NA,1.16415e-10,0,true
coupling_S6_seed3,SA-Aug-rho5,3,coupling,6,uniform,ok,163,166,80,6.94009e+10,8.73706e+06,752.865,1.04636,0.000327937,0.00313933,0.00606863,6224.33,NA,NA,1.16415e-10,0,true
coupling_S6_seed3,SA-Aug-rho10,3,coupling,6,uniform,ok,163,166,80,6.94009e+10,8.73706e+06,752.865,1.04636,0.000323219,0.0031169,0.0060674,6224.33,NA,NA,1.16415e-10,0,true
coupling_S6_seed3,SA-Aug-rho20,3,coupling,6,uniform,ok,163,166,80,6.94009e+10,8.73706e+06,752.865,1.04636,0.000337207,0.00354146,0.00660111,6224.33,NA,NA,1.16415e-10,0,true
coupling_S6_seed3,SA-Aug-rho50,3,coupling,6,uniform,ok,163,166,80,6.94009e+10,8.73706e+06,752.865,1.04636,0.000470756,0.00617148,0.0101099,6224.33,NA,NA,1.16415e-10,0,true
coupling_S6_seed4,Base,4,coupling,6,uniform,ok,163,166,80,1.07057e+10,1.07057e+10,603.413,603.413,0,0.00550277,0.00980982,5045.1,NA,NA,1.42109e-14,0,true
coupling_S6_seed4,SA-Aug-rho2,4,coupling,6,uniform,ok,163,166,80,1.07057e+10,2.13608e+06,603.413,1.2667,0.000338195,0.00342526,0.00659798,5045.1,NA,NA,1.16415e-10,0,true
coupling_S6_seed4,SA-Aug-rho5,4,coupling,6,uniform,ok,163,166,80,1.07057e+10,2.13608e+06,603.413,1.2667,0.000326017,0.00355006,0.00647258,5045.1,NA,NA,1.16415e-10,0,true
coupling_S6_seed4,SA-Aug-rho10,4,coupling,6,uniform,ok,163,166,80,1.07057e+10,2.13608e+06,603.413,1.2667,0.00033258,0.0034421,0.00641308,5045.1,NA,NA,1.16415e-10,0,true
coupling_S6_seed4,SA-Aug-rho20,4,coupling,6,uniform,ok,163,166,80,1.07057e+10,2.13608e+06,603.413,1.2667,0.000334142,0.00335543,0.00640546,5045.1,NA,NA,1.16415e-10,0,true
coupling_S6_seed4,SA-Aug-rho50,4,coupling,6,uniform,ok,163,166,80,1.07057e+10,2.13608e+06,603.413,1.2667,0.000324153,0.00319228,0.00605696,5045.1,NA,NA,1.16415e-10,0,true
coupling_S6_seed5,Base,5,coupling,6,uniform,ok,163,166,80,1.12429e+06,1.12429e+06,0.017861,0.017861,0,0.00309683,0.00538983,5218.63,NA,NA,0,0,true
coupling_S6_seed5,SA-Aug-rho2,5,coupling,6,uniform,ok,163,166,80,1.12429e+06,74512.2,0.017861,0.202382,0.000323157,0.00313103,0.00609835,5218.63,NA,NA,0,0,true
coupling_S6_seed5,SA-Aug-rho5,5,coupling,6,uniform,ok,163,166,80,1.12429e+06,74512.2,0.017861,0.202382,0.00032623,0.00518386,0.00836367,5218.63,NA,NA,0,0,true
coupling_S6_seed5,SA-Aug-rho10,5,coupling,6,uniform,ok,163,166,80,1.12429e+06,74512.2,0.017861,0.202382,0.000891892,0.00727687,0.0151996,5218.63,NA,NA,0,0,true
coupling_S6_seed5,SA-Aug-rho20,5,coupling,6,uniform,ok,163,166,80,1.12429e+06,74512.2,0.017861,0.202382,0.000655001,0.00430223,0.0117895,5218.63,NA,NA,0,0,true
coupling_S6_seed5,SA-Aug-rho50,5,coupling,6,uniform,ok,163,166,80,1.12429e+06,74512.2,0.017861,0.202382,0.000450477,0.00555463,0.00936427,5218.63,NA,NA,0,0,true
coupling_S6_seed6,Base,6,coupling,6,uniform,ok,163,166,80,3.15525e+08,3.15525e+08,188.798,188.798,0,0.00791052,0.0113258,2552.93,NA,NA,2.91038e-11,0,true
coupling_S6_seed6,SA-Aug-rho2,6,coupling,6,uniform,ok,163,166,80,3.15525e+08,199083,188.798,1.27123,0.000336233,0.00572609,0.0087291,2552.93,NA,NA,2.91038e-11,0,true
coupling_S6_seed6,SA-Aug-rho5,6,coupling,6,uniform,ok,163,166,80,3.15525e+08,199083,188.798,1.27123,0.000322404,0.00664013,0.00964334,2552.93,NA,NA,2.91038e-11,0,true
coupling_S6_seed6,SA-Aug-rho10,6,coupling,6,uniform,ok,163,166,80,3.15525e+08,199083,188.798,1.27123,0.000441959,0.00643094,0.0105591,2552.93,NA,NA,2.91038e-11,0,true
coupling_S6_seed6,SA-Aug-rho20,6,coupling,6,uniform,ok,163,166,80,3.15525e+08,199083,188.798,1.27123,0.000334332,0.00570047,0.00882418,2552.93,NA,NA,2.91038e-11,0,true
coupling_S6_seed6,SA-Aug-rho50,6,coupling,6,uniform,ok,163,166,80,3.15525e+08,199083,188.798,1.27123,0.000377301,0.0053219,0.00855722,2552.93,NA,NA,2.91038e-11,0,true
coupling_S6_seed7,Base,7,coupling,6,uniform,ok,163,166,80,2.95278e+13,2.95278e+13,151470,151470,0,0.00375433,0.00658884,5134.58,NA,NA,2.98023e-08,0,true
coupling_S6_seed7,SA-Aug-rho2,7,coupling,6,uniform,ok,163,166,80,2.95278e+13,2.95278e+07,151470,1.72007,0.0003722,0.00446296,0.00826364,5134.58,NA,NA,2.98023e-08,0,true
coupling_S6_seed7,SA-Aug-rho5,7,coupling,6,uniform,ok,163,166,80,2.95278e+13,2.95278e+07,151470,1.72007,0.000526474,0.00371848,0.00875869,5134.58,NA,NA,2.98023e-08,0,true
coupling_S6_seed7,SA-Aug-rho10,7,coupling,6,uniform,ok,163,166,80,2.95278e+13,2.95278e+07,151470,1.72007,0.000368838,0.00319594,0.00657848,5134.58,NA,NA,2.98023e-08,0,true
coupling_S6_seed7,SA-Aug-rho20,7,coupling,6,uniform,ok,163,166,80,2.95278e+13,2.95278e+07,151470,1.72007,0.00036986,0.00317438,0.00660238,5134.58,NA,NA,2.98023e-08,0,true
