pattern,severity_S,n_instancias,max_rel_obj_spread,n_instancias_over_mipgap,max_original_row_violation,max_integrality_violation,n_infeasible_rows
none,0,20,0.00030414280177428545,0,4.54747e-13,0.0,0
none,3,20,0.00030414280177428545,0,4.54747e-13,0.0,0
none,6,20,0.00030414280177428545,0,4.54747e-13,0.0,0
local,0,20,0.00030414280177428545,0,4.54747e-13,0.0,0
local,3,20,0.00042969822607999555,0,2.91038e-11,0.0,0
local,6,20,0.00042969822607999555,0,1.49012e-08,0.0,0
coupling,0,20,0.00030414280177428545,0,4.54747e-13,0.0,0
coupling,3,20,0.00016451684926716286,0,1.74623e-10,0.0,0
coupling,6,20,0.00016451684926716286,0,1.12264e-07,2.02673e-06,0
mixed,0,20,0.00030414280177428545,0,4.54747e-13,0.0,0
mixed,3,20,0.0001898451812546868,0,1.16415e-10,0.0,0
mixed,6,20,0.0001898451812546868,0,1.3051e-06,1.28286e-07,0
TOTAL,-1,240,0.00042969822607999555,0,1.3051e-06,2.02673e-06,0
