pattern,severity_S,variante,n,n_feasible,n_status_ok,median_kappa_antes,median_kappa_despues,median_reduction_factor,median_log10_reduction,median_rho_antes,median_rho_despues,median_wall_time_s,median_tiempo_solver_s,median_max_original_row_violation,median_max_integrality_violation
none,0,Base,20,20,20,1343.455,1343.455,1.0,0.0,0.3277905,0.3277905,0.005691945,0.003328595,5.68434e-14,0.0
none,0,SA-Aug,20,20,20,1343.455,12564.7,0.10537802451267077,-0.9772516795314057,0.3277905,3.517675,0.00646557,0.003484085,1.13687e-13,0.0
none,0,SA-Mat,20,20,20,1343.455,2490.865,0.5459124221194807,-0.2629874497163016,0.3277905,0.20082,0.006340365000000001,0.00332062,8.52652e-14,0.0
none,0,Ruiz,20,20,20,1343.455,11906.900000000001,0.11267988455484382,-0.9481540826533104,0.3277905,3.19476,0.0075133000000000005,0.00346098,8.52652e-14,0.0
none,0,Ruiz+Cols,20,20,20,1343.455,11906.900000000001,0.11267988455484382,-0.9481540826533104,0.3277905,3.19476,0.007300559999999999,0.00331994,8.52652e-14,0.0
none,0,Flat,20,20,20,1343.455,1093.8400000000001,1.135607159503612,0.05519322198712495,0.3277905,0.0,0.005929735,0.003348865,1.13687e-13,0.0
none,3,Base,20,20,20,1343.455,1343.455,1.0,0.0,0.3277905,0.3277905,0.00586619,0.003299815,5.68434e-14,0.0
none,3,SA-Aug,20,20,20,1343.455,12564.7,0.10537802451267077,-0.9772516795314057,0.3277905,3.517675,0.0064538600000000005,0.00339471,1.13687e-13,0.0
none,3,SA-Mat,20,20,20,1343.455,2490.865,0.5459124221194807,-0.2629874497163016,0.3277905,0.20082,0.006289945,0.00336982,8.52652e-14,0.0
none,3,Ruiz,20,20,20,1343.455,11906.900000000001,0.11267988455484382,-0.9481540826533104,0.3277905,3.19476,0.00772764,0.0036129200000000004,8.52652e-14,0.0
none,3,Ruiz+Cols,20,20,20,1343.455,11906.900000000001,0.11267988455484382,-0.9481540826533104,0.3277905,3.19476,0.00746666,0.0034007300000000002,8.52652e-14,0.0
none,3,Flat,20,20,20,1343.455,1093.8400000000001,1.135607159503612,0.05519322198712495,0.3277905,0.0,0.005824845,0.003387985,1.13687e-13,0.0
none,6,Base,20,20,20,1343.455,1343.455,1.0,0.0,0.3277905,0.3277905,0.006054325,0.0034995,5.68434e-14,0.0
none,6,SA-Aug,20,20,20,1343.455,12564.7,0.10537802451267077,-0.9772516795314057,0.3277905,3.517675,0.00673873,0.0038204600000000003,1.13687e-13,0.0
none,6,SA-Mat,20,20,20,1343.455,2490.865,0.5459124221194807,-0.2629874497163016,0.3277905,0.20082,0.00662205,0.00352097,8.52652e-14,0.0
none,6,Ruiz,20,20,20,1343.455,11906.900000000001,0.11267988455484382,-0.9481540826533104,0.3277905,3.19476,0.007620025000000001,0.003482935,8.52652e-14,0.0
none,6,Ruiz+Cols,20,20,20,1343.455,11906.900000000001,0.11267988455484382,-0.9481540826533104,0.3277905,3.19476,0.007667185,0.0034741249999999998,8.52652e-14,0.0
none,6,Flat,20,20,20,1343.455,1093.8400000000001,1.135607159503612,0.05519322198712495,0.3277905,0.0,0.005846395,0.0032989200000000003,1.13687e-13,0.0
local,0,Base,20,20,20,1343.455,1343.455,1.0,0.0,0.3277905,0.3277905,0.0062964100000000005,0.003636375,5.68434e-14,0.0
local,0,SA-Aug,20,20,20,1343.455,12564.7,0.10537802451267077,-0.9772516795314057,0.3277905,3.517675,0.006669035,0.003511855,1.13687e-13,0.0
local,0,SA-Mat,20,20,20,1343.455,2490.865,0.5459124221194807,-0.2629874497163016,0.3277905,0.20082,0.006698685,0.00363246,8.52652e-14,0.0
local,0,Ruiz,20,20,20,1343.455,11906.900000000001,0.11267988455484382,-0.9481540826533104,0.3277905,3.19476,0.008412695000000001,0.003784185,8.52652e-14,0.0
local,0,Ruiz+Cols,20,20,20,1343.455,11906.900000000001,0.11267988455484382,-0.9481540826533104,0.3277905,3.19476,0.007939539999999998,0.003616695,8.52652e-14,0.0
local,0,Flat,20,20,20,1343.455,1093.8400000000001,1.135607159503612,0.05519322198712495,0.3277905,0.0,0.006124355,0.0036115599999999998,1.13687e-13,0.0
local,3,Base,20,20,20,184176000.0,184176000.0,1.0,0.0,0.29747250000000003,0.29747250000000003,0.006653845,0.004065815,5.68434e-14,0.0
local,3,SA-Aug,20,20,20,184176000.0,14417.6,12397.409313101805,4.092210002564659,0.29747250000000003,3.4702349999999997,0.007299065,0.00393789,1.13687e-13,0.0
local,3,SA-Mat,20,20,20,184176000.0,4683.205,40196.92943357,4.6041665066694835,0.29747250000000003,0.21363,0.008160285,0.00463714,8.52652e-14,0.0
local,3,Ruiz,20,20,20,184176000.0,35090.3,5715.926607835061,3.7568339674223927,0.29747250000000003,3.392335,0.0101584,0.004157045,1.0231825e-12,0.0
local,3,Ruiz+Cols,20,20,20,184176000.0,35090.3,5715.926607835061,3.7568339674223927,0.29747250000000003,3.392335,0.00898644,0.00401011,1.0231825e-12,0.0
local,3,Flat,20,20,20,184176000.0,1072.25,188394.86411139794,5.275043054929853,0.29747250000000003,0.0,0.007343685,0.00404673,1.13687e-13,0.0
local,6,Base,20,20,20,148852000000000.0,148852000000000.0,1.0,0.0,0.23035,0.23035,0.006919645,0.0043676900000000005,5.68434e-14,0.0
local,6,SA-Aug,20,20,20,148852000000000.0,13789.099999999999,11291458773.511608,10.052738001118186,0.23035,3.439885,0.00693677,0.0038290399999999997,7.7306975e-12,0.0
local,6,SA-Mat,20,20,20,148852000000000.0,4020.96,41132952137.18163,10.614171652736058,0.23035,0.207718,0.00691669,0.0038259649999999997,7.5033235e-12,0.0
local,6,Ruiz,20,20,20,148852000000000.0,37661.35,3950979954.7911415,9.596631033691846,0.23035,3.39792,0.008418209999999999,0.004024160000000001,2.91038e-11,0.0
local,6,Ruiz+Cols,20,20,20,148852000000000.0,37661.35,3950979954.7911415,9.596631033691846,0.23035,3.39792,0.00784278,0.003647105,2.91038e-11,0.0
local,6,Flat,20,20,20,148852000000000.0,1072.25,150674490717.88934,11.177999524540965,0.23035,0.0,0.006133315,0.003624165,1.3642425e-12,0.0
coupling,0,Base,20,20,20,1343.455,1343.455,1.0,0.0,0.3277905,0.3277905,0.00576935,0.0034132800000000003,5.68434e-14,0.0
coupling,0,SA-Aug,20,20,20,1343.455,12564.7,0.10537802451267077,-0.9772516795314057,0.3277905,3.517675,0.006220265,0.0033710700000000003,1.13687e-13,0.0
coupling,0,SA-Mat,20,20,20,1343.455,2490.865,0.5459124221194807,-0.2629874497163016,0.3277905,0.20082,0.006203555,0.003253715,8.52652e-14,0.0
coupling,0,Ruiz,20,20,20,1343.455,11906.900000000001,0.11267988455484382,-0.9481540826533104,0.3277905,3.19476,0.007459185,0.0034141650000000003,8.52652e-14,0.0
coupling,0,Ruiz+Cols,20,20,20,1343.455,11906.900000000001,0.11267988455484382,-0.9481540826533104,0.3277905,3.19476,0.007634,0.00340808,8.52652e-14,0.0
coupling,0,Flat,20,20,20,1343.455,1093.8400000000001,1.135607159503612,0.05519322198712495,0.3277905,0.0,0.00573892,0.00330145,1.13687e-13,0.0
coupling,3,Base,20,20,20,685902.0,685902.0,1.0,0.0,14.66865,14.66865,0.006522429999999999,0.004124015,1.42109e-14,0.0
coupling,3,SA-Aug,20,20,20,685902.0,34672.15,24.819120863863667,1.3375565571361743,14.66865,1.17689,0.006685115,0.00363248,2.0108375e-12,0.0
coupling,3,SA-Mat,20,20,20,685902.0,2531.005,272.2103426884978,2.434811870512294,14.66865,0.20198349999999998,0.006799695,0.0037043650000000003,4.263255e-14,0.0
coupling,3,Ruiz,20,20,20,685902.0,60560.950000000004,12.067641144776736,1.0806535379804223,14.66865,1.13584,0.007844135,0.00373038,3.410605e-13,0.0
coupling,3,Ruiz+Cols,20,20,20,685902.0,60560.950000000004,12.067641144776736,1.0806535379804223,14.66865,1.13584,0.007889364999999999,0.003854535,3.410605e-13,0.0
coupling,3,Flat,20,20,20,685902.0,1215.43,606.9592183001894,2.7826203404656966,14.66865,0.0,0.006395295,0.0038052299999999997,9.09495e-13,0.0
coupling,6,Base,20,20,20,487028500.0,487028500.0,1.0,0.0,678.139,678.139,0.00674882,0.00436988,1.5461395e-11,0.0
coupling,6,SA-Aug,20,20,20,487028500.0,332850.0,2048.3895342687765,3.2999998779657647,678.139,1.2689650000000001,0.007163055,0.00390624,1.16415e-10,0.0
coupling,6,SA-Mat,20,20,20,487028500.0,2490.865,207370.6417877363,5.314600048920182,678.139,0.19967249999999998,0.0067516699999999995,0.003831615,4.547475e-12,0.0
coupling,6,Ruiz,20,20,20,487028500.0,357630.5,1790.0777779871219,3.2499999640318284,678.139,1.20252,0.00867477,0.00442237,7.27594e-11,0.0
coupling,6,Ruiz+Cols,20,20,20,487028500.0,357630.5,1790.0777779871219,3.2499999640318284,678.139,1.20252,0.008219655,0.004144035000000001,7.27594e-11,0.0
coupling,6,Flat,20,20,20,487028500.0,1215.43,442556.7028484399,5.645951811899955,678.139,0.0,0.0063703200000000005,0.00392865,1.3642425e-12,0.0
coupling_uniform,0,Base,20,20,20,1343.455,1343.455,1.0,0.0,0.3277905,0.3277905,0.00587456,0.003494625,5.68434e-14,0.0
coupling_uniform,0,SA-Aug,20,20,20,1343.455,12564.7,0.10537802451267077,-0.9772516795314057,0.3277905,3.517675,0.006175675,0.003243505,1.13687e-13,0.0
coupling_uniform,0,SA-Mat,20,20,20,1343.455,2490.865,0.5459124221194807,-0.2629874497163016,0.3277905,0.20082,0.0061391,0.003319,8.52652e-14,0.0
coupling_uniform,0,Ruiz,20,20,20,1343.455,11906.900000000001,0.11267988455484382,-0.9481540826533104,0.3277905,3.19476,0.00727252,0.00328321,8.52652e-14,0.0
coupling_uniform,0,Ruiz+Cols,20,20,20,1343.455,11906.900000000001,0.11267988455484382,-0.9481540826533104,0.3277905,3.19476,0.007377965,0.003299755,8.52652e-14,0.0
coupling_uniform,0,Flat,20,20,20,1343.455,1093.8400000000001,1.135607159503612,0.05519322198712495,0.3277905,0.0,0.00600089,0.003518765,1.13687e-13,0.0
coupling_uniform,3,Base,20,20,20,135349.0,135349.0,1.0,0.0,0.0402407,0.0402407,0.007122015,0.00443847,1.0658165e-14,0.0
coupling_uniform,3,SA-Aug,20,20,20,135349.0,4321.375,13.38821978450152,1.1267107527811848,0.0402407,0.421802,0.00800485,0.00477598,2.84217e-14,0.0
coupling_uniform,3,SA-Mat,20,20,20,135349.0,2543.14,52.62718672666266,1.707666380322986,0.0402407,0.2014195,0.0074825099999999995,0.004329135,1.42109e-14,0.0
coupling_uniform,3,Ruiz,20,20,20,135349.0,4489.995,11.894067396689158,1.075330097217756,0.0402407,0.38473349999999995,0.008887705,0.00475522,2.84217e-14,0.0
coupling_uniform,3,Ruiz+Cols,20,20,20,135349.0,4489.995,11.894067396689158,1.075330097217756,0.0402407,0.38473349999999995,0.009009824999999999,0.004108860000000001,2.84217e-14,0.0
coupling_uniform,3,Flat,20,20,20,135349.0,1245.6399999999999,102.42767963311269,2.0033389797127654,0.0402407,0.0,0.0065182,0.00403775,2.84217e-14,0.0
coupling_uniform,6,Base,20,20,20,31823315.0,31823315.0,1.0,0.0,0.005206585,0.005206585,0.007730460000000001,0.005054905,7.549539e-15,0.0
coupling_uniform,6,SA-Aug,20,20,20,31823315.0,7126.889999999999,13.38823271103001,1.1267111761328685,0.005206585,0.054690550000000004,0.007924935000000001,0.004471335,2.84217e-14,0.0
coupling_uniform,6,SA-Mat,20,20,20,31823315.0,2502.7799999999997,12981.302042864501,3.9203750494325833,0.005206585,0.20009149999999998,0.00789382,0.004765745,7.993629999999999e-15,0.0
coupling_uniform,6,Ruiz,20,20,20,31823315.0,7593.225,11.894086773613491,1.075330804171403,0.005206585,0.049859299999999995,0.008648745,0.004565425,2.84217e-14,0.0
coupling_uniform,6,Ruiz+Cols,20,20,20,31823315.0,7593.225,11.894086773613491,1.075330804171403,0.005206585,0.049859299999999995,0.008694755,0.004349245,2.84217e-14,0.0
coupling_uniform,6,Flat,20,20,20,31823315.0,1198.0700000000002,24328.55925605078,4.2160476488223635,0.005206585,0.0,0.007122995,0.004365105,2.84217e-14,0.0
mixed,0,Base,20,20,20,1343.455,1343.455,1.0,0.0,0.3277905,0.3277905,0.00607504,0.00353283,5.68434e-14,0.0
