instance,variant,kappa1,rows,basic_structural,basic_slack,singular,mip_obj,mip_gap,note
instance001.txt,Base,464870758446.46234,10080,3960,6120,0,-989879.4736639877,0.0,
instance001.txt,SA-Aug,283821576454.2352,10080,3960,6120,0,-989879.4736639877,0.0,
instance001.txt,Flat-Aug,17803093456.06897,10080,3960,6120,0,-989879.4736639877,0.0,
instance001.txt,SA-Mat,283821607154.51953,10080,3960,6120,0,-989879.4736639877,0.0,
instance001.txt,Flat-Mat,6081668319.810154,10080,3960,6120,0,-989879.4736639877,0.0,
instance001.txt,Ruiz,812362145091.1887,10080,3960,6120,0,-989879.4736639877,0.0,
instance002.txt,Base,809299494409.4879,10080,4033,6047,0,7055604.324932218,0.6764808368698519,
instance002.txt,SA-Aug,775961860404.4032,10080,4033,6047,0,7055604.324932218,0.6764808368698519,
instance002.txt,Flat-Aug,5763011429.531808,10080,4033,6047,0,7055604.324932218,0.6764808368698519,
instance002.txt,SA-Mat,124283674427.65675,10080,4033,6047,0,7055604.324932218,0.6764808368698519,
instance002.txt,Flat-Mat,2663123829.838561,10080,4033,6047,0,7055604.324932218,0.6764808368698519,
instance002.txt,Ruiz,923684346195.3424,10080,4033,6047,0,7055604.324932218,0.6764808368698519,
instance003.txt,Base,751492404819.7625,10080,4020,6060,0,271315.74931720464,0.0,
instance003.txt,SA-Aug,977102828277.911,10080,4020,6060,0,271315.74931720464,0.0,
instance003.txt,Flat-Aug,10141787247.828295,10080,4020,6060,0,271315.74931720464,0.0,
instance003.txt,SA-Mat,120189011865.04741,10080,4020,6060,0,271315.74931720464,0.0,
instance003.txt,Flat-Mat,2575384281.6167216,10080,4020,6060,0,271315.74931720464,0.0,
instance003.txt,Ruiz,1205009536657.5059,10080,4020,6060,0,271315.74931720464,0.0,
instance004.txt,Base,505383994646.4836,10080,3960,6120,0,-6879471.8430484645,0.00043641499801238713,
instance004.txt,SA-Aug,286823178770.6146,10080,3960,6120,0,-6879471.8430484645,0.00043641499801238713,
instance004.txt,Flat-Aug,13150418894.730476,10080,3960,6120,0,-6879471.8430484645,0.00043641499801238713,
instance004.txt,SA-Mat,286823208111.20184,10080,3960,6120,0,-6879471.8430484645,0.00043641499801238713,
instance004.txt,Flat-Mat,6145985979.166612,10080,3960,6120,0,-6879471.8430484645,0.00043641499801238713,
