class,instance,kernel,policy,result,bytes
Simple,caso01a.txt,Augmented,selective,identical,1768449
Simple,caso01a.txt,Augmented,role-blind,identical,1779305
Simple,caso01a.txt,Matrix-only,selective,identical,1729862
Simple,caso01a.txt,Matrix-only,role-blind,identical,1729862
Simple,caso01b.txt,Augmented,selective,identical,1768449
Simple,caso01b.txt,Augmented,role-blind,identical,1779305
Simple,caso01b.txt,Matrix-only,selective,identical,1729862
Simple,caso01b.txt,Matrix-only,role-blind,identical,1729862
Simple,caso01c.txt,Augmented,selective,identical,1768449
Simple,caso01c.txt,Augmented,role-blind,identical,1779305
Simple,caso01c.txt,Matrix-only,selective,identical,1729862
Simple,caso01c.txt,Matrix-only,role-blind,identical,1729862
Simple,caso01d.txt,Augmented,selective,identical,1768471
Simple,caso01d.txt,Augmented,role-blind,identical,1779290
Simple,caso01d.txt,Matrix-only,selective,identical,1729884
Simple,caso01d.txt,Matrix-only,role-blind,identical,1729884
Simple,caso01e.txt,Augmented,selective,identical,1768471
Simple,caso01e.txt,Augmented,role-blind,identical,1779290
Simple,caso01e.txt,Matrix-only,selective,identical,1729884
Simple,caso01e.txt,Matrix-only,role-blind,identical,1729884
Simple,caso01f.txt,Augmented,selective,identical,1768471
Simple,caso01f.txt,Augmented,role-blind,identical,1779290
Simple,caso01f.txt,Matrix-only,selective,identical,1729884
Simple,caso01f.txt,Matrix-only,role-blind,identical,1729884
Simple,caso02a.txt,Augmented,selective,identical,1762964
Simple,caso02a.txt,Augmented,role-blind,identical,1773786
Simple,caso02a.txt,Matrix-only,selective,identical,1725021
Simple,caso02a.txt,Matrix-only,role-blind,identical,1725021
Simple,caso02b.txt,Augmented,selective,identical,1762964
Simple,caso02b.txt,Augmented,role-blind,identical,1773786
Simple,caso02b.txt,Matrix-only,selective,identical,1725021
Simple,caso02b.txt,Matrix-only,role-blind,identical,1725021
Simple,caso02c.txt,Augmented,selective,identical,1762961
Simple,caso02c.txt,Augmented,role-blind,identical,1773783
Simple,caso02c.txt,Matrix-only,selective,identical,1725018
Simple,caso02c.txt,Matrix-only,role-blind,identical,1725018
Simple,caso02d.txt,Augmented,selective,identical,1763006
Simple,caso02d.txt,Augmented,role-blind,identical,1773821
Simple,caso02d.txt,Matrix-only,selective,identical,1725063
Simple,caso02d.txt,Matrix-only,role-blind,identical,1725063
Simple,caso02e.txt,Augmented,selective,identical,1763006
Simple,caso02e.txt,Augmented,role-blind,identical,1773821
Simple,caso02e.txt,Matrix-only,selective,identical,1725063
Simple,caso02e.txt,Matrix-only,role-blind,identical,1725063
Simple,caso02f.txt,Augmented,selective,identical,1763003
Simple,caso02f.txt,Augmented,role-blind,identical,1773818
Simple,caso02f.txt,Matrix-only,selective,identical,1725060
Simple,caso02f.txt,Matrix-only,role-blind,identical,1725060
Simple,caso03a.txt,Augmented,selective,identical,1775259
Simple,caso03a.txt,Augmented,role-blind,identical,1786104
Simple,caso03a.txt,Matrix-only,selective,identical,1729899
Simple,caso03a.txt,Matrix-only,role-blind,identical,1729899
Simple,caso03b.txt,Augmented,selective,identical,1775259
Simple,caso03b.txt,Augmented,role-blind,identical,1786104
Simple,caso03b.txt,Matrix-only,selective,identical,1729899
Simple,caso03b.txt,Matrix-only,role-blind,identical,1729899
Simple,caso03c.txt,Augmented,selective,identical,1775259
Simple,caso03c.txt,Augmented,role-blind,identical,1786104
Simple,caso03c.txt,Matrix-only,selective,identical,1729899
Simple,caso03c.txt,Matrix-only,role-blind,identical,1729899
Simple,caso03d.txt,Augmented,selective,identical,1775303
Simple,caso03d.txt,Augmented,role-blind,identical,1786129
Simple,caso03d.txt,Matrix-only,selective,identical,1729943
Simple,caso03d.txt,Matrix-only,role-blind,identical,1729943
Simple,caso03e.txt,Augmented,selective,identical,1775303
Simple,caso03e.txt,Augmented,role-blind,identical,1786129
Simple,caso03e.txt,Matrix-only,selective,identical,1729943
Simple,caso03e.txt,Matrix-only,role-blind,identical,1729943
Simple,caso03f.txt,Augmented,selective,identical,1775303
Simple,caso03f.txt,Augmented,role-blind,identical,1786129
Simple,caso03f.txt,Matrix-only,selective,identical,1729943
Simple,caso03f.txt,Matrix-only,role-blind,identical,1729943
Simple,caso04a.txt,Augmented,selective,identical,1757156
Simple,caso04a.txt,Augmented,role-blind,identical,1768035
Simple,caso04a.txt,Matrix-only,selective,identical,1728623
Simple,caso04a.txt,Matrix-only,role-blind,identical,1728623
Simple,caso04b.txt,Augmented,selective,identical,1757153
Simple,caso04b.txt,Augmented,role-blind,identical,1768032
Simple,caso04b.txt,Matrix-only,selective,identical,1728620
Simple,caso04b.txt,Matrix-only,role-blind,identical,1728620
Simple,caso04c.txt,Augmented,selective,identical,1757156
Simple,caso04c.txt,Augmented,role-blind,identical,1768035
Simple,caso04c.txt,Matrix-only,selective,identical,1728623
Simple,caso04c.txt,Matrix-only,role-blind,identical,1728623
Simple,caso04d.txt,Augmented,selective,identical,1757213
Simple,caso04d.txt,Augmented,role-blind,identical,1768020
Simple,caso04d.txt,Matrix-only,selective,identical,1728680
Simple,caso04d.txt,Matrix-only,role-blind,identical,1728680
Simple,caso04e.txt,Augmented,selective,identical,1757210
Simple,caso04e.txt,Augmented,role-blind,identical,1768017
Simple,caso04e.txt,Matrix-only,selective,identical,1728677
Simple,caso04e.txt,Matrix-only,role-blind,identical,1728677
Simple,caso04f.txt,Augmented,selective,identical,1757213
Simple,caso04f.txt,Augmented,role-blind,identical,1768020
Simple,caso04f.txt,Matrix-only,selective,identical,1728680
Simple,caso04f.txt,Matrix-only,role-blind,identical,1728680
Simple,caso05a.txt,Augmented,selective,identical,1757767
Simple,caso05a.txt,Augmented,role-blind,identical,1768527
Simple,caso05a.txt,Matrix-only,selective,identical,1729136
Simple,caso05a.txt,Matrix-only,role-blind,identical,1729136
Simple,caso05b.txt,Augmented,selective,identical,1757767
Simple,caso05b.txt,Augmented,role-blind,identical,1768527
Simple,caso05b.txt,Matrix-only,selective,identical,1729136
Simple,caso05b.txt,Matrix-only,role-blind,identical,1729136
Simple,caso05c.txt,Augmented,selective,identical,1757767
Simple,caso05c.txt,Augmented,role-blind,identical,1768527
Simple,caso05c.txt,Matrix-only,selective,identical,1729136
Simple,caso05c.txt,Matrix-only,role-blind,identical,1729136
