grid,lambda_sa,lambda_flat,gap,class,kernel,n,median_sa_over_flat,r_rb,p,q6,q12
common,0.25,0.25,0.1%,Full,Augmented,27,0.877121,0.529101,0.015064374,0.045193121,0.090386242
common,0.25,0.25,0.1%,Full,Matrix-only,27,0.980307,0.052910,0.82233827,0.82233827,0.82233827
common,0.25,0.25,0.1%,SG-Ter-Mer,Augmented,67,1.015888,-0.312555,0.026161507,0.052323013,0.093463721
common,0.25,0.25,0.1%,SG-Ter-Mer,Matrix-only,67,1.000409,-0.108867,0.43858547,0.52630256,0.47845688
common,0.25,0.25,0.1%,Simple,Augmented,204,1.009355,-0.253085,0.0017225943,0.010335566,0.020671131
common,0.25,0.25,0.1%,Simple,Matrix-only,203,0.997983,0.091664,0.25745352,0.38618028,0.37899472
common,0.25,0.25,1%,Full,Augmented,31,0.919307,0.354839,0.08650197,0.17300394,0.17300394
common,0.25,0.25,1%,Full,Matrix-only,32,0.986565,0.246212,0.23122968,0.32060437,0.37899472
common,0.25,0.25,1%,SG-Ter-Mer,Augmented,67,1.007458,-0.302897,0.031154574,0.17300394,0.093463721
common,0.25,0.25,1%,SG-Ter-Mer,Matrix-only,67,0.997565,-0.139596,0.32060437,0.32060437,0.38472525
common,0.25,0.25,1%,Simple,Augmented,204,1.000393,-0.086466,0.28424604,0.32060437,0.37899472
common,0.25,0.25,1%,Simple,Matrix-only,204,1.000985,-0.147298,0.068121701,0.17300394,0.16349208
common,0.5,0.5,0.1%,Full,Augmented,27,0.877121,0.529101,0.015064374,0.045193121,0.090386242
common,0.5,0.5,0.1%,Full,Matrix-only,27,0.980308,0.052910,0.82233827,0.82233827,0.82233827
common,0.5,0.5,0.1%,SG-Ter-Mer,Augmented,67,1.015888,-0.312555,0.026161507,0.052323013,0.093463721
common,0.5,0.5,0.1%,SG-Ter-Mer,Matrix-only,67,1.000532,-0.108867,0.43858547,0.52630256,0.47845688
common,0.5,0.5,0.1%,Simple,Augmented,204,1.009365,-0.253276,0.001708737,0.010252422,0.020504844
common,0.5,0.5,0.1%,Simple,Matrix-only,203,0.998008,0.090698,0.2625018,0.3937527,0.37193688
common,0.5,0.5,1%,Full,Augmented,31,0.919316,0.354839,0.08650197,0.17300394,0.17300394
common,0.5,0.5,1%,Full,Matrix-only,32,0.986575,0.246212,0.23122968,0.32060437,0.37193688
common,0.5,0.5,1%,SG-Ter-Mer,Augmented,67,1.007470,-0.302897,0.031154574,0.16317554,0.093463721
common,0.5,0.5,1%,SG-Ter-Mer,Matrix-only,67,0.997567,-0.139596,0.32060437,0.32060437,0.38472525
common,0.5,0.5,1%,Simple,Augmented,204,1.000402,-0.087422,0.27895266,0.32060437,0.37193688
common,0.5,0.5,1%,Simple,Matrix-only,204,1.001033,-0.155332,0.054391847,0.16317554,0.13054043
common,1.0,1.0,0.1%,Full,Augmented,27,0.877122,0.529101,0.015064374,0.045193121,0.090386242
common,1.0,1.0,0.1%,Full,Matrix-only,27,0.980312,0.052910,0.82233827,0.82233827,0.82233827
common,1.0,1.0,0.1%,SG-Ter-Mer,Augmented,67,1.015888,-0.313433,0.025743955,0.05148791,0.092153889
common,1.0,1.0,0.1%,SG-Ter-Mer,Matrix-only,67,1.000778,-0.108867,0.43858547,0.52630256,0.47845688
common,1.0,1.0,0.1%,Simple,Augmented,204,1.009386,-0.253276,0.001708737,0.010252422,0.020504844
common,1.0,1.0,0.1%,Simple,Matrix-only,203,0.998060,0.088670,0.27332458,0.40998687,0.36443277
common,1.0,1.0,1%,Full,Augmented,31,0.919336,0.354839,0.08650197,0.17300394,0.17300394
common,1.0,1.0,1%,Full,Matrix-only,32,0.986596,0.246212,0.23122968,0.3175703,0.36443277
common,1.0,1.0,1%,SG-Ter-Mer,Augmented,67,1.007496,-0.302897,0.031154574,0.11519236,0.092153889
common,1.0,1.0,1%,SG-Ter-Mer,Matrix-only,67,0.997570,-0.140474,0.3175703,0.3175703,0.38108436
common,1.0,1.0,1%,Simple,Augmented,204,1.000421,-0.089909,0.26550521,0.3175703,0.36443277
common,1.0,1.0,1%,Simple,Matrix-only,204,1.001119,-0.167193,0.038397454,0.11519236,0.092153889
common,2.0,2.0,0.1%,Full,Augmented,27,0.877123,0.529101,0.015064374,0.045193121,0.062890844
common,2.0,2.0,0.1%,Full,Matrix-only,27,0.980318,0.052910,0.82233827,0.82233827,0.82233827
common,2.0,2.0,0.1%,SG-Ter-Mer,Augmented,67,1.015888,-0.313433,0.025743955,0.05148791,0.074770977
common,2.0,2.0,0.1%,SG-Ter-Mer,Matrix-only,67,1.001267,-0.108867,0.43858547,0.52630256,0.47845688
common,2.0,2.0,0.1%,Simple,Augmented,204,1.009426,-0.254041,0.0016543268,0.009925961,0.019851922
common,2.0,2.0,0.1%,Simple,Matrix-only,203,0.998164,0.085096,0.29312688,0.43969031,0.37029764
common,2.0,2.0,1%,Full,Augmented,31,0.919374,0.354839,0.08650197,0.17300394,0.17300394
common,2.0,2.0,1%,Full,Matrix-only,32,0.986638,0.246212,0.23122968,0.29484098,0.36855122
common,2.0,2.0,1%,SG-Ter-Mer,Augmented,67,1.007546,-0.302897,0.031154574,0.093463721,0.074770977
common,2.0,2.0,1%,SG-Ter-Mer,Matrix-only,67,0.997577,-0.143108,0.30858137,0.30858137,0.37029764
common,2.0,2.0,1%,Simple,Augmented,204,1.000461,-0.093735,0.24570082,0.29484098,0.36855122
common,2.0,2.0,1%,Simple,Matrix-only,204,1.001241,-0.195026,0.015722711,0.093463721,0.062890844
common,4.0,4.0,0.1%,Full,Augmented,27,0.877125,0.529101,0.015064374,0.045193121,0.060257494
common,4.0,4.0,0.1%,Full,Matrix-only,27,0.980331,0.052910,0.82233827,0.82233827,0.82233827
common,4.0,4.0,0.1%,SG-Ter-Mer,Augmented,67,1.015888,-0.314311,0.02533218,0.05066436,0.074770977
common,4.0,4.0,0.1%,SG-Ter-Mer,Matrix-only,67,1.002234,-0.113257,0.4203482,0.50441784,0.45856167
common,4.0,4.0,0.1%,Simple,Augmented,204,1.009506,-0.254902,0.0015950237,0.0095701422,0.015801121
common,4.0,4.0,0.1%,Simple,Matrix-only,203,0.998243,0.078142,0.33435948,0.50153922,0.40123138
common,4.0,4.0,1%,Full,Augmented,31,0.919451,0.354839,0.08650197,0.17300394,0.17300394
common,4.0,4.0,1%,Full,Matrix-only,32,0.986722,0.246212,0.23122968,0.27747561,0.34684452
common,4.0,4.0,1%,SG-Ter-Mer,Augmented,67,1.007645,-0.302897,0.031154574,0.093463721,0.074770977
common,4.0,4.0,1%,SG-Ter-Mer,Matrix-only,67,0.997591,-0.145742,0.29976233,0.29976233,0.39968311
common,4.0,4.0,1%,Simple,Augmented,204,1.000545,-0.101387,0.2092542,0.27747561,0.34684452
common,4.0,4.0,1%,Simple,Matrix-only,204,1.001484,-0.242850,0.0026335201,0.015801121,0.015801121
common,8.0,8.0,0.1%,Full,Augmented,27,0.877130,0.529101,0.015064374,0.045193121,0.060257494
common,8.0,8.0,0.1%,Full,Matrix-only,27,0.980357,0.052910,0.82233827,0.82233827,0.82233827
common,8.0,8.0,0.1%,SG-Ter-Mer,Augmented,67,1.015888,-0.313433,0.025743955,0.05148791,0.072456465
common,8.0,8.0,0.1%,SG-Ter-Mer,Matrix-only,67,1.004128,-0.116769,0.40608443,0.51295831,0.46632574
common,8.0,8.0,0.1%,Simple,Augmented,204,1.009655,-0.257580,0.0014228139,0.0085368834,0.0085368834
common,8.0,8.0,0.1%,Simple,Matrix-only,203,0.998384,0.064233,0.42746526,0.51295831,0.46632574
common,8.0,8.0,1%,Full,Augmented,31,0.919605,0.354839,0.08650197,0.17300394,0.17300394
common,8.0,8.0,1%,Full,Matrix-only,32,0.986889,0.242424,0.23864097,0.28636917,0.35796146
common,8.0,8.0,1%,SG-Ter-Mer,Augmented,67,1.007838,-0.304653,0.030190194,0.090570581,0.072456465
common,8.0,8.0,1%,SG-Ter-Mer,Matrix-only,67,0.997619,-0.148376,0.291113,0.291113,0.38815067
common,8.0,8.0,1%,Simple,Augmented,204,1.000616,-0.115925,0.15109632,0.22664447,0.25902226
common,8.0,8.0,1%,Simple,Matrix-only,204,1.001964,-0.337351,2.9422077e-05,0.00017653246,0.00035306492
policy-ratio,0.25,1.0,0.1%,Full,Augmented,27,0.877114,0.529101,0.015064374,0.045193121,0.090386242
policy-ratio,0.25,1.0,0.1%,Full,Matrix-only,27,0.980278,0.052910,0.82233827,0.82233827,0.82233827
policy-ratio,0.25,1.0,0.1%,SG-Ter-Mer,Augmented,67,1.015864,-0.307287,0.028791762,0.057583524,0.093463721
policy-ratio,0.25,1.0,0.1%,SG-Ter-Mer,Matrix-only,67,0.997536,-0.102722,0.46486616,0.5578394,0.61982155
policy-ratio,0.25,1.0,0.1%,Simple,Augmented,204,1.008845,-0.242946,0.0026232747,0.015739648,0.031479297
policy-ratio,0.25,1.0,0.1%,Simple,Matrix-only,203,0.997440,0.105187,0.19377556,0.29066335,0.38755113
policy-ratio,0.25,1.0,1%,Full,Augmented,31,0.919018,0.354839,0.08650197,0.25950591,0.20760473
policy-ratio,0.25,1.0,1%,Full,Matrix-only,32,0.986376,0.246212,0.23122968,0.46245936,0.39639373
policy-ratio,0.25,1.0,1%,SG-Ter-Mer,Augmented,67,1.003859,-0.302897,0.031154574,0.18692744,0.093463721
policy-ratio,0.25,1.0,1%,SG-Ter-Mer,Matrix-only,67,0.997529,-0.135206,0.33605792,0.50408688,0.50408688
policy-ratio,0.25,1.0,1%,Simple,Augmented,204,0.999915,-0.030129,0.7090502,0.7090502,0.77350931
policy-ratio,0.25,1.0,1%,Simple,Matrix-only,204,1.000327,-0.036155,0.65432756,0.7090502,0.77350931
policy-ratio,0.5,1.0,0.1%,Full,Augmented,27,0.877117,0.529101,0.015064374,0.045193121,0.090386242
policy-ratio,0.5,1.0,0.1%,Full,Matrix-only,27,0.980289,0.052910,0.82233827,0.82233827,0.82233827
policy-ratio,0.5,1.0,0.1%,SG-Ter-Mer,Augmented,67,1.015872,-0.309921,0.027449467,0.054898933,0.093463721
policy-ratio,0.5,1.0,0.1%,SG-Ter-Mer,Matrix-only,67,0.998629,-0.104478,0.4572693,0.54872315,0.54872315
policy-ratio,0.5,1.0,0.1%,Simple,Augmented,204,1.009025,-0.246772,0.0022421489,0.013452893,0.026905787
policy-ratio,0.5,1.0,0.1%,Simple,Matrix-only,203,0.997647,0.099971,0.21681071,0.32521606,0.39639373
policy-ratio,0.5,1.0,1%,Full,Augmented,31,0.919124,0.354839,0.08650197,0.25950591,0.20760473
policy-ratio,0.5,1.0,1%,Full,Matrix-only,32,0.986449,0.246212,0.23122968,0.39578386,0.39639373
