class,instance,kernel,reps_sa,reps_flat,median_sa_s,median_flat_s,median_diff_s,min_sa_s,min_flat_s,cv_sa,cv_flat
Simple,caso01a.txt,Augmented,20,20,0.324604,0.064984,0.259620,0.208600,0.019499,0.3003,0.5591
Simple,caso01a.txt,Matrix-only,20,20,0.417634,0.074365,0.343268,0.254144,0.015183,0.2537,0.5247
Simple,caso01b.txt,Augmented,20,20,0.307492,0.075452,0.232040,0.210016,0.014947,0.2978,0.6290
Simple,caso01b.txt,Matrix-only,20,20,0.415598,0.087734,0.327864,0.221034,0.015466,0.2560,0.4938
Simple,caso01c.txt,Augmented,20,20,0.372668,0.028133,0.344536,0.200421,0.014700,0.2523,1.5297
Simple,caso01c.txt,Matrix-only,20,20,0.432180,0.084213,0.347967,0.230305,0.015163,0.2357,0.5251
Simple,caso01d.txt,Augmented,20,20,0.359547,0.057976,0.301571,0.230101,0.014804,0.2580,0.7937
Simple,caso01d.txt,Matrix-only,20,20,0.360613,0.034527,0.326086,0.222731,0.015213,0.2416,1.1429
Simple,caso01e.txt,Augmented,20,20,0.401249,0.057722,0.343527,0.226656,0.014825,0.2379,0.6640
Simple,caso01e.txt,Matrix-only,20,20,0.353514,0.072866,0.280648,0.207537,0.015339,0.3654,0.6269
Simple,caso01f.txt,Augmented,20,20,0.326031,0.090609,0.235422,0.204594,0.013032,0.2630,0.4586
Simple,caso01f.txt,Matrix-only,20,20,0.335015,0.057026,0.277989,0.176664,0.014896,0.3596,0.7987
Simple,caso02a.txt,Augmented,20,20,0.377137,0.050494,0.326644,0.201814,0.014531,0.2059,1.0133
Simple,caso02a.txt,Matrix-only,20,20,0.473079,0.061568,0.411511,0.199092,0.015025,0.2539,0.6788
Simple,caso02b.txt,Augmented,20,20,0.358983,0.077538,0.281445,0.192496,0.013757,0.3140,0.5071
Simple,caso02b.txt,Matrix-only,20,20,0.348498,0.043541,0.304957,0.193941,0.013102,0.2872,1.0598
Simple,caso02c.txt,Augmented,20,20,0.318341,0.047131,0.271210,0.202272,0.014451,0.2658,0.6248
Simple,caso02c.txt,Matrix-only,20,20,0.359742,0.054909,0.304833,0.227907,0.014492,0.3078,0.6911
Simple,caso02d.txt,Augmented,20,20,0.368079,0.065286,0.302794,0.223576,0.015908,0.2409,0.5192
Simple,caso02d.txt,Matrix-only,20,20,0.362004,0.089590,0.272415,0.223696,0.014821,0.2910,0.5119
