class,instance,kernel,reps_sa,reps_flat,median_sa_s,median_flat_s,median_diff_s,min_sa_s,min_flat_s,cv_sa,cv_flat,rel_iqr_sa,rel_iqr_flat,meta_sa_s,meta_flat_s,diag_sa_s,diag_flat_s,apply_sa_s,apply_flat_s,cached_sa_s,cached_flat_s
Simple,caso01a.txt,Augmented,20,20,0.048744,0.008403,0.040341,0.048276,0.008221,0.0084,0.0221,0.0138,0.0168,0.039902,0.000192,0.004379,0.004171,0.004414,0.003946,0.008795,0.008140
Simple,caso01a.txt,Matrix-only,20,20,0.049876,0.008391,0.041485,0.049545,0.008229,0.0031,0.0122,0.0042,0.0155,0.039882,0.000193,0.004280,0.004211,0.005645,0.003949,0.009922,0.008143
Simple,caso01b.txt,Augmented,20,20,0.048701,0.008331,0.040370,0.048388,0.008096,0.0142,0.0173,0.0056,0.0171,0.039863,0.000193,0.004327,0.004143,0.004403,0.003940,0.008734,0.008080
Simple,caso01b.txt,Matrix-only,20,20,0.049848,0.008369,0.041478,0.049444,0.008286,0.0066,0.0091,0.0064,0.0141,0.039818,0.000192,0.004336,0.004192,0.005647,0.003933,0.009956,0.008123
Simple,caso01c.txt,Augmented,20,20,0.048715,0.008387,0.040328,0.048411,0.007976,0.0032,0.0129,0.0045,0.0119,0.039868,0.000192,0.004360,0.004191,0.004412,0.003936,0.008761,0.008141
Simple,caso01c.txt,Matrix-only,20,20,0.049755,0.008328,0.041428,0.049607,0.008223,0.0040,0.0141,0.0035,0.0109,0.039785,0.000193,0.004302,0.004152,0.005652,0.003932,0.009976,0.008083
Simple,caso01d.txt,Augmented,20,20,0.048555,0.008362,0.040193,0.048288,0.008156,0.0041,0.0136,0.0034,0.0228,0.039746,0.000192,0.004370,0.004183,0.004413,0.003931,0.008785,0.008116
Simple,caso01d.txt,Matrix-only,20,20,0.049768,0.008341,0.041427,0.049503,0.008153,0.0205,0.0130,0.0041,0.0229,0.039777,0.000192,0.004275,0.004154,0.005648,0.003934,0.009911,0.008096
Simple,caso01e.txt,Augmented,20,20,0.048625,0.008338,0.040287,0.048321,0.008092,0.0067,0.0120,0.0054,0.0099,0.039803,0.000194,0.004367,0.004156,0.004402,0.003941,0.008788,0.008083
Simple,caso01e.txt,Matrix-only,20,20,0.049777,0.008347,0.041430,0.049513,0.008134,0.0031,0.0124,0.0035,0.0139,0.039771,0.000192,0.004313,0.004183,0.005648,0.003933,0.009951,0.008103
Simple,caso01f.txt,Augmented,20,20,0.048821,0.008421,0.040399,0.048330,0.008141,0.0060,0.0215,0.0077,0.0214,0.039861,0.000194,0.004384,0.004209,0.004405,0.003962,0.008780,0.008171
Simple,caso01f.txt,Matrix-only,20,20,0.049956,0.008381,0.041575,0.049559,0.008002,0.0210,0.0204,0.0075,0.0336,0.039874,0.000193,0.004330,0.004185,0.005660,0.003936,0.009970,0.008124
Simple,caso02a.txt,Augmented,20,20,0.048640,0.008334,0.040306,0.048361,0.008190,0.0044,0.0123,0.0039,0.0157,0.039765,0.000192,0.004342,0.004129,0.004410,0.003942,0.008764,0.008086
Simple,caso02a.txt,Matrix-only,20,20,0.049665,0.008295,0.041370,0.049215,0.008049,0.0043,0.0106,0.0049,0.0100,0.039663,0.000193,0.004287,0.004114,0.005618,0.003938,0.009887,0.008037
Simple,caso02b.txt,Augmented,20,20,0.048567,0.008290,0.040277,0.048242,0.008125,0.0162,0.0088,0.0054,0.0120,0.039726,0.000192,0.004326,0.004091,0.004396,0.003942,0.008739,0.008041
Simple,caso02b.txt,Matrix-only,20,20,0.050115,0.008319,0.041796,0.049570,0.008152,0.0105,0.0124,0.0072,0.0189,0.040037,0.000194,0.004310,0.004066,0.005683,0.003952,0.010002,0.008044
Simple,caso02c.txt,Augmented,20,20,0.048771,0.008472,0.040299,0.048238,0.008148,0.2434,0.8502,0.0094,0.0260,0.039969,0.000193,0.004356,0.004267,0.004419,0.003957,0.008770,0.008222
Simple,caso02c.txt,Matrix-only,20,20,0.049271,0.008045,0.041227,0.048890,0.007957,0.0084,0.0112,0.0079,0.0145,0.039510,0.000194,0.004113,0.003912,0.005585,0.003896,0.009707,0.007788
Simple,caso02d.txt,Augmented,20,20,0.047942,0.008005,0.039936,0.047685,0.007935,0.0079,0.0111,0.0048,0.0177,0.039411,0.000193,0.004106,0.003871,0.004358,0.003899,0.008490,0.007755
