class,instance,kernel,reps_sa,reps_flat,median_sa_s,median_flat_s,median_diff_s,min_sa_s,min_flat_s,cv_sa,cv_flat,rel_iqr_sa,rel_iqr_flat,meta_sa_s,meta_flat_s,diag_sa_s,diag_flat_s,apply_sa_s,apply_flat_s,cached_sa_s,cached_flat_s
Simple,caso01a.txt,Augmented,20,20,0.008391,0.001420,0.006971,0.008296,0.001374,0.0101,0.1140,0.0111,0.0386,0.006983,0.000072,0.000647,0.000633,0.000713,0.000650,0.001359,0.001299
Simple,caso01a.txt,Matrix-only,20,20,0.008611,0.001458,0.007153,0.008408,0.001362,0.0108,0.0596,0.0149,0.0780,0.006991,0.000073,0.000648,0.000678,0.000876,0.000653,0.001524,0.001336
Simple,caso01b.txt,Augmented,20,20,0.008411,0.001407,0.007004,0.008271,0.001348,0.0094,0.0575,0.0148,0.0545,0.006988,0.000072,0.000648,0.000631,0.000713,0.000648,0.001362,0.001286
Simple,caso01b.txt,Matrix-only,20,20,0.008535,0.001395,0.007140,0.008437,0.001358,0.0119,0.0693,0.0134,0.0400,0.006965,0.000073,0.000647,0.000624,0.000877,0.000648,0.001523,0.001274
Simple,caso01c.txt,Augmented,20,20,0.008434,0.001391,0.007043,0.008295,0.001362,0.0553,0.0185,0.0154,0.0183,0.006991,0.000072,0.000654,0.000617,0.000709,0.000645,0.001360,0.001268
Simple,caso01c.txt,Matrix-only,20,20,0.008565,0.001392,0.007172,0.008427,0.001361,0.0126,0.0672,0.0106,0.0327,0.007006,0.000072,0.000645,0.000621,0.000878,0.000645,0.001523,0.001274
Simple,caso01d.txt,Augmented,20,20,0.008433,0.001453,0.006979,0.008293,0.001391,0.0125,0.0518,0.0165,0.0726,0.007024,0.000073,0.000646,0.000663,0.000711,0.000654,0.001357,0.001330
Simple,caso01d.txt,Matrix-only,20,20,0.008622,0.001395,0.007227,0.008457,0.001370,0.0121,0.0699,0.0191,0.0347,0.006998,0.000072,0.000649,0.000628,0.000882,0.000646,0.001530,0.001275
Simple,caso01e.txt,Augmented,20,20,0.008377,0.001395,0.006982,0.008292,0.001367,0.0080,0.0791,0.0090,0.0610,0.006959,0.000073,0.000646,0.000621,0.000714,0.000647,0.001360,0.001273
Simple,caso01e.txt,Matrix-only,20,20,0.008569,0.001394,0.007175,0.008464,0.001365,0.0152,0.0263,0.0157,0.0395,0.006994,0.000072,0.000645,0.000621,0.000880,0.000646,0.001525,0.001276
Simple,caso01f.txt,Augmented,20,20,0.008407,0.001391,0.007017,0.008332,0.001365,0.0098,0.0293,0.0164,0.0207,0.006999,0.000073,0.000646,0.000625,0.000707,0.000648,0.001356,0.001273
Simple,caso01f.txt,Matrix-only,20,20,0.008654,0.001447,0.007207,0.008491,0.001368,0.0118,0.0988,0.0166,0.0919,0.007013,0.000073,0.000659,0.000673,0.000885,0.000649,0.001558,0.001325
Simple,caso02a.txt,Augmented,20,20,0.008371,0.001412,0.006959,0.008263,0.001351,0.0113,0.0516,0.0093,0.0361,0.006971,0.000073,0.000646,0.000642,0.000711,0.000649,0.001361,0.001290
Simple,caso02a.txt,Matrix-only,20,20,0.008557,0.001391,0.007166,0.008443,0.001353,0.0142,0.0397,0.0107,0.0465,0.006957,0.000072,0.000647,0.000623,0.000887,0.000648,0.001532,0.001271
Simple,caso02b.txt,Augmented,20,20,0.008378,0.001395,0.006983,0.008295,0.001367,0.0109,0.0362,0.0103,0.0431,0.006978,0.000073,0.000648,0.000625,0.000711,0.000645,0.001358,0.001274
Simple,caso02b.txt,Matrix-only,20,20,0.008551,0.001449,0.007101,0.008435,0.001367,0.0097,0.0732,0.0117,0.1298,0.006956,0.000073,0.000646,0.000631,0.000878,0.000650,0.001523,0.001307
Simple,caso02c.txt,Augmented,20,20,0.008432,0.001442,0.006989,0.008302,0.001381,0.0109,0.0488,0.0168,0.0504,0.007011,0.000073,0.000655,0.000664,0.000715,0.000649,0.001369,0.001319
Simple,caso02c.txt,Matrix-only,20,20,0.008547,0.001399,0.007148,0.008425,0.001372,0.0127,0.0697,0.0113,0.0540,0.006982,0.000073,0.000646,0.000627,0.000877,0.000649,0.001524,0.001280
Simple,caso02d.txt,Augmented,20,20,0.008441,0.001405,0.007036,0.008378,0.001367,0.0054,0.0538,0.0085,0.0504,0.007033,0.000072,0.000644,0.000630,0.000709,0.000647,0.001355,0.001282
Simple,caso02d.txt,Matrix-only,20,20,0.008577,0.001387,0.007191,0.008533,0.001372,0.0116,0.0244,0.0175,0.0120,0.007028,0.000072,0.000647,0.000623,0.000873,0.000641,0.001519,0.001266
Simple,caso02e.txt,Augmented,20,20,0.008481,0.001399,0.007082,0.008355,0.001356,0.0645,0.0563,0.0166,0.0498,0.007028,0.000073,0.000654,0.000635,0.000721,0.000646,0.001373,0.001282
Simple,caso02e.txt,Matrix-only,20,20,0.008623,0.001432,0.007191,0.008521,0.001372,0.0086,0.0475,0.0097,0.0450,0.007029,0.000072,0.000653,0.000643,0.000882,0.000647,0.001538,0.001297
Simple,caso02f.txt,Augmented,20,20,0.008405,0.001392,0.007012,0.008327,0.001349,0.0091,0.0567,0.0109,0.0684,0.007009,0.000072,0.000642,0.000620,0.000702,0.000646,0.001343,0.001272
Simple,caso02f.txt,Matrix-only,20,20,0.008646,0.001386,0.007261,0.008506,0.001350,0.0156,0.0505,0.0093,0.0407,0.007052,0.000073,0.000646,0.000621,0.000879,0.000645,0.001527,0.001269
Simple,caso03a.txt,Augmented,20,20,0.008367,0.001414,0.006953,0.008255,0.001358,0.0096,0.0750,0.0113,0.0752,0.006961,0.000072,0.000648,0.000647,0.000710,0.000649,0.001359,0.001293
Simple,caso03a.txt,Matrix-only,20,20,0.008641,0.001464,0.007177,0.008444,0.001365,0.0211,0.0735,0.0263,0.0590,0.007039,0.000073,0.000652,0.000693,0.000879,0.000648,0.001532,0.001343
Simple,caso03b.txt,Augmented,20,20,0.008532,0.001419,0.007112,0.008323,0.001363,0.0338,0.0788,0.0210,0.1187,0.007051,0.000072,0.000652,0.000644,0.000713,0.000651,0.001369,0.001300
