instancia,variante,status,rc,tiempo_solver_s,gap_pct,objetivo_solver,objetivo_post,status_solver,best_bound,nodos_explorados,iter_simplex,presolve_time_s,rows_cargadas,cols_cargadas,nz_cargados,rows_presolved,cols_presolved,nz_presolved,reduccion_rows_pct,reduccion_cols_pct,reduccion_nz_pct,solver_warnings,solver_warnings_txt,matrix_min,matrix_max,objective_min,objective_max,rhs_min,rhs_max,bounds_min,bounds_max,matrix_range_ratio_vs_base,objective_range_ratio_vs_base,rhs_range_ratio_vs_base,bounds_range_ratio_vs_base,kappa_antes,kappa_despues,rho_antes,rho_despues,tiempo_preprocesamiento_s,tiempo_total_s,speedup_vs_base,speedup_solver_vs_base,speedup_total_vs_base,overhead_preprocesamiento_vs_base,ratio_preproc_solver,gap_delta_vs_base,obj_solver_delta_vs_base,obj_solver_rel_delta_vs_base,obj_post_delta_vs_base,obj_post_rel_delta_vs_base,matrix_kappa_ratio_vs_base,kappa_proxy_ratio,kappa_solver,kappa_solver_exact,kappa_solver_ratio_vs_base,work_units,dettime_ticks,root_gap,root_time,tiempo_determinista,speedup_det_vs_base,primal_integral,kappa_arbol_max,kappa_attention,kappa_stable_frac,kappa_suspicious_frac,kappa_unstable_frac,kappa_illposed_frac,kappa_arbol_max_ratio_vs_base,mip_equivalente,post_factible,solver_max_viol,solver_int_viol,solver_obj_diff,post_max_viol,post_int_viol,verif_solver_avg_viol,verif_solver_p95_viol,verif_solver_p99_viol,verif_solver_max_viol_rel,verif_post_avg_viol,verif_post_p95_viol,verif_post_p99_viol,verif_post_max_viol_rel,verif_solver_max_le,verif_solver_max_ge,verif_solver_max_eq,verif_solver_max_lb,verif_solver_max_ub,verif_solver_max_int,verif_solver_viol_le_count,verif_solver_viol_ge_count,verif_solver_viol_eq_count,verif_solver_viol_lb_count,verif_solver_viol_ub_count,verif_solver_viol_int_count,verif_solver_missing,verif_solver_obj_original,verif_post_max_le,verif_post_max_ge,verif_post_max_eq,verif_post_max_lb,verif_post_max_ub,verif_post_max_int,verif_post_viol_le_count,verif_post_viol_ge_count,verif_post_viol_eq_count,verif_post_viol_lb_count,verif_post_viol_ub_count,verif_post_viol_int_count,verif_post_missing,verif_post_obj_original,obj_original_variante,abs_obj_diff_vs_base,rel_obj_diff_vs_base,sentido_obj_vs_base,best_bound_delta_vs_base,equivalente_vs_base,max_diff_post_csv,diffs_post_csv,csv,csv_post,log
instance001.txt,base,OK,0,16.792612333,0.996144296697631,-989852.5620628067,-989853.0,OPTIMAL,-999712.9219055107,0.0,3659.0,0.02,10080.0,6120.0,22679.0,9140.0,5673.0,21116.0,9.325396825396826,7.303921568627451,6.891838264473742,0,,,,,,,,,,,,,,,,,,0.0,16.792612333,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,27982.118335,0.009961,1781535380.150011,27982.118335,1.0,9.66271e-10,1.884389073059425e+19,1.0,0.0,0.0,0.0,1.0,,BASE,BASE,,,,,,3.50465794341741e-09,5.6843418860808e-14,1.28522515296936e-07,3.69482222595252e-13,0.237627686294141,0.032403584851652,8.41367268803055,7.67125768699313,3.69482222595252e-13,0.0,2.36555933952332e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-989852.562062807,33.5605688968259,0.0,1.76373869180679e-05,0.0,0.0,0.0,517.0,0.0,189.0,0.0,0.0,0.0,0.0,-989852.562062807,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/resultados/instance001_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/resultados/instance001_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/logs/instance001_base.log
instance002.txt,base,OK,0,6.135359639,0.0,2404510.71173005,2404510.0,OPTIMAL,2404510.71173005,0.0,3281.0,0.02,10080.0,6120.0,22679.0,9129.0,5659.0,21087.0,9.43452380952381,7.532679738562091,7.019709863750606,0,,,,,,,,,,,,,,,,,,0.0,6.135359639,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,7495.931529,0.0,1781535389.334212,7495.931529,1.0,3.28518e-10,1.4167977257238966e+19,1.0,0.0,0.0,0.0,1.0,,BASE,BASE,,,,,,7.52821004829184e-10,5.6843418860808e-14,2.04890966415405e-08,1.70530256582424e-13,0.105542000447361,3.72529029846191e-09,3.00378183099966,6.04053760956111,1.70530256582424e-13,0.0,2.34693288803101e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2404510.71173004,30.4591676559448,5.82076609134674e-11,1.59274786710739e-05,0.0,0.0,0.0,184.0,0.0,59.0,0.0,0.0,0.0,0.0,2404510.71173004,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/resultados/instance002_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/resultados/instance002_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/logs/instance002_base.log
instance003.txt,base,OK,0,5.946981347,0.987492763886509,273452.8258436435,273453.0,OPTIMAL,270752.49897579435,122.0,14919.0,0.02,10080.0,6120.0,22679.0,9260.0,5724.0,21381.0,8.134920634920634,6.470588235294118,5.723356409012743,0,,,,,,,,,,,,,,,,,,0.0,5.946981347,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,7643.421837,0.076939,1781535395.715186,7643.421837,1.0,4.88227e-10,2.5192071702936417e+18,1.0,0.0,0.0,0.0,1.0,,BASE,BASE,,,,,,5.13153723476454e-10,4.2632564145606e-14,1.94087624549833e-08,2.27373675443232e-13,0.0554017209050567,7.85149723014859e-14,0.0763762470724469,2.14998144047334,2.27373675443232e-13,0.0,1.19209289550781e-07,1.1518563880486e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273452.825843643,25.0117380578394,5.82076609134674e-11,1.30403786897659e-05,1.1518563880486e-13,0.0,0.0,121.0,0.0,33.0,0.0,0.0,0.0,0.0,273452.825843643,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/resultados/instance003_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/resultados/instance003_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/logs/instance003_base.log
instance004.txt,base,OK,0,1.038830374,0.936172337284648,-6818255.885881137,-6818260.0,OPTIMAL,-6882086.511370039,0.0,400.0,0.02,10080.0,6120.0,22679.0,9260.0,5720.0,21380.0,8.134920634920634,6.5359477124183005,5.727765774505048,0,,,,,,,,,,,,,,,,,,0.0,1.038830374,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,1389.363508,0.009362,1781535400.010187,1389.363508,1.0,9.773e-12,7.889697934966972e+18,1.0,0.0,0.0,0.0,1.0,,BASE,BASE,,,,,,4.20019400747306e-09,8.61755111714043e-14,1.73225998878479e-07,3.01980662698043e-13,3.18962701226597,26.5803215856745,59.4228612535738,20.4849765631426,1.13686837721616e-13,0.0,2.38418579101562e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6818255.88588114,88.6108178550409,0.0,5.68851828575134e-05,0.0,0.0,0.0,2385.0,0.0,322.0,0.0,0.0,0.0,0.0,-6818255.88588114,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/resultados/instance004_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/resultados/instance004_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/logs/instance004_base.log
instance005.txt,base,OK,0,2.786630204,0.0,-2540302.931105594,-2540300.0,OPTIMAL,-2540302.931105594,14.0,604.0,0.02,10080.0,6120.0,22679.0,9249.0,5731.0,21363.0,8.244047619047619,6.356209150326797,5.802724987874245,0,,,,,,,,,,,,,,,,,,0.0,2.786630204,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,3829.794891,0.038683,1781535420.794701,3829.794891,1.0,4.49258e-10,5.478336791933408e+19,1.0,0.0,0.0,0.0,1.0,,BASE,BASE,,,,,,2.81817608537985e-09,3.90798504668055e-14,1.2572854757309e-07,1.62980740014973e-13,1.04315345598152,6.25318851773057,30.211417549175,10.7399770499902,1.13686837721616e-13,0.0,2.36555933952332e-07,2.23376872554581e-13,5.6843418860808e-14,5.6843418860808e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2540302.93110559,45.1325427818518,0.0,2.32579186558723e-05,2.23376872554581e-13,5.6843418860808e-14,5.6843418860808e-14,2363.0,0.0,187.0,0.0,0.0,0.0,0.0,-2540302.93110559,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/resultados/instance005_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/resultados/instance005_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/logs/instance005_base.log
instance009.txt,base,OK,0,0.614362357,0.186868651835071,-26137192.741248105,-26137200.0,OPTIMAL,-26186034.96095121,0.0,43.0,0.02,10080.0,6120.0,22679.0,9134.0,5718.0,21127.0,9.384920634920634,6.568627450980392,6.84333524405838,0,,,,,,,,,,,,,,,,,,0.0,0.614362357,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,471.035706,0.001869,1781535428.968492,471.035706,1.0,0.0,7.297321253871031e+18,1.0,0.0,0.0,0.0,1.0,,BASE,BASE,,,,,,3.21232720683723e-09,7.105427357601e-14,1.45677477121352e-07,2.01575763783662e-12,1.38458354854053,7.22112002962034,36.7938728912691,10.039450458062,2.01575763783662e-12,0.0,3.3155083656311e-07,4.65661287307739e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26137192.7412482,46.9086001746104,0.0,2.4162232875824e-05,4.65661287307739e-10,0.0,0.0,2304.0,0.0,238.0,0.0,0.0,0.0,0.0,-26137192.7412482,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/resultados/instance009_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/resultados/instance009_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/logs/instance009_base.log
instance010.txt,base,OK,0,1.736935547,0.0,71613.86077580127,71613.9,OPTIMAL,71613.86077580127,0.0,4651.0,0.02,10080.0,6120.0,22679.0,9095.0,5709.0,21044.0,9.771825396825397,6.715686274509804,7.209312579919749,0,,,,,,,,,,,,,,,,,,0.0,1.736935547,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,2075.776647,0.371099,1781535438.454927,2075.776647,1.0,2.1e-14,1.2616106018021966e+19,1.0,0.0,0.0,0.0,1.0,,BASE,BASE,,,,,,3.82139812915043e-10,0.0,1.52923166751845e-08,3.69482222595252e-13,0.037541466867906,0.0,2.42143869400024e-08,68.2748437047899,3.69482222595252e-13,0.0,9.31322574615479e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71613.8607758013,68.2748437047899,0.0,7.63386487960815e-05,0.0,0.0,0.0,10.0,0.0,21.0,0.0,0.0,0.0,0.0,71613.8607758013,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/resultados/instance010_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/resultados/instance010_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/logs/instance010_base.log
instance011.txt,base,OK,0,24.915421934,0.998941300650802,-232667.47312708668,-232667.0,OPTIMAL,-234991.68460933375,0.0,2260.0,0.02,10080.0,6120.0,22679.0,9102.0,5677.0,21042.0,9.702380952380953,7.238562091503268,7.2181313109043606,0,,,,,,,,,,,,,,,,,,0.0,24.915421934,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,41071.288963,0.009989,1781535474.034091,41071.288963,1.0,4.282722e-09,2.1514148144074146e+19,1.0,0.0,0.0,0.0,1.0,,BASE,BASE,,,,,,2.34216843908843e-09,5.6843418860808e-14,8.5681676864624e-08,3.97903932025656e-13,0.220955148919715,0.00735555720862876,7.78710224026882,9.50844291712087,3.97903932025656e-13,0.0,2.36555933952332e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-232667.473127087,39.2749241019771,0.0,2.56150960922241e-05,0.0,0.0,0.0,545.0,0.0,94.0,0.0,0.0,0.0,0.0,-232667.473127087,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/resultados/instance011_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/resultados/instance011_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/logs/instance011_base.log
instance012.txt,base,OK,0,3.019056563,0.0,148578.79467164332,148579.0,OPTIMAL,148578.79467164332,0.0,6610.0,0.02,10080.0,6120.0,22679.0,9140.0,5667.0,21113.0,9.325396825396826,7.401960784313726,6.905066360950659,0,,,,,,,,,,,,,,,,,,0.0,3.019056563,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,3732.813428,0.402226,1781535479.635068,3732.813428,1.0,2.2e-14,1.2523795668553783e+19,1.0,0.0,0.0,0.0,1.0,,BASE,BASE,,,,,,4.62915798286427e-11,0.0,1.70530256582424e-13,2.55795384873636e-13,0.0786243955063154,7.105427357601e-15,3.72529029846191e-09,75.7038931341358,2.55795384873636e-13,0.0,2.60770320892334e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148578.794671643,75.7038931341358,0.0,0.000160995870828629,0.0,0.0,0.0,30.0,0.0,22.0,0.0,0.0,0.0,0.0,148578.794671643,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/resultados/instance012_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/resultados/instance012_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/logs/instance012_base.log
instance014.txt,base,OK,0,1.286111193,0.0,331523.83321676555,331524.0,OPTIMAL,331523.83321676555,0.0,5902.0,0.02,10080.0,6120.0,22679.0,9215.0,5715.0,21287.0,8.581349206349206,6.617647058823529,6.1378367652894745,0,,,,,,,,,,,,,,,,,,0.0,1.286111193,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,1424.539674,0.284576,1781535488.362404,1424.539674,1.0,1.5e-14,5.891693905806291e+18,1.0,0.0,0.0,0.0,1.0,,BASE,BASE,,,,,,6.65466341643654e-12,0.0,5.6843418860808e-14,3.12638803734444e-13,0.190853556961834,0.0,3.72529029846191e-09,72.6996405006572,3.12638803734444e-13,0.0,7.45058059692383e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331523.833216766,72.6996405006572,0.0,0.000167116522789001,0.0,0.0,0.0,52.0,0.0,45.0,0.0,0.0,0.0,0.0,331523.833216766,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/resultados/instance014_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/resultados/instance014_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/sgtm-cplex-1pct/base-cplexscalem1/logs/instance014_base.log
