instancia,variante,status,rc,tiempo_solver_s,gap_pct,objetivo_solver,objetivo_post,status_solver,best_bound,nodos_explorados,iter_simplex,presolve_time_s,rows_cargadas,cols_cargadas,nz_cargados,rows_presolved,cols_presolved,nz_presolved,reduccion_rows_pct,reduccion_cols_pct,reduccion_nz_pct,solver_warnings,solver_warnings_txt,matrix_min,matrix_max,objective_min,objective_max,rhs_min,rhs_max,bounds_min,bounds_max,matrix_range_ratio_vs_base,objective_range_ratio_vs_base,rhs_range_ratio_vs_base,bounds_range_ratio_vs_base,kappa_antes,kappa_despues,rho_antes,rho_despues,tiempo_preprocesamiento_s,tiempo_total_s,speedup_vs_base,speedup_solver_vs_base,speedup_total_vs_base,overhead_preprocesamiento_vs_base,ratio_preproc_solver,gap_delta_vs_base,obj_solver_delta_vs_base,obj_solver_rel_delta_vs_base,obj_post_delta_vs_base,obj_post_rel_delta_vs_base,matrix_kappa_ratio_vs_base,kappa_proxy_ratio,kappa_solver,kappa_solver_exact,kappa_solver_ratio_vs_base,work_units,dettime_ticks,root_gap,root_time,tiempo_determinista,speedup_det_vs_base,primal_integral,kappa_arbol_max,kappa_attention,kappa_stable_frac,kappa_suspicious_frac,kappa_unstable_frac,kappa_illposed_frac,kappa_arbol_max_ratio_vs_base,mip_equivalente,post_factible,solver_max_viol,solver_int_viol,solver_obj_diff,post_max_viol,post_int_viol,verif_solver_avg_viol,verif_solver_p95_viol,verif_solver_p99_viol,verif_solver_max_viol_rel,verif_post_avg_viol,verif_post_p95_viol,verif_post_p99_viol,verif_post_max_viol_rel,verif_solver_max_le,verif_solver_max_ge,verif_solver_max_eq,verif_solver_max_lb,verif_solver_max_ub,verif_solver_max_int,verif_solver_viol_le_count,verif_solver_viol_ge_count,verif_solver_viol_eq_count,verif_solver_viol_lb_count,verif_solver_viol_ub_count,verif_solver_viol_int_count,verif_solver_missing,verif_solver_obj_original,verif_post_max_le,verif_post_max_ge,verif_post_max_eq,verif_post_max_lb,verif_post_max_ub,verif_post_max_int,verif_post_viol_le_count,verif_post_viol_ge_count,verif_post_viol_eq_count,verif_post_viol_lb_count,verif_post_viol_ub_count,verif_post_viol_int_count,verif_post_missing,verif_post_obj_original,obj_original_variante,abs_obj_diff_vs_base,rel_obj_diff_vs_base,sentido_obj_vs_base,best_bound_delta_vs_base,equivalente_vs_base,max_diff_post_csv,diffs_post_csv,csv,csv_post,log
caso01a.txt,base,OK,0,1.242425264,0.039526430080909,-344334860.24179924,-354386000.0,OPTIMAL,-344470963.5195769,0.0,305.0,0.03,14400.0,10800.0,35590.0,11181.0,8831.0,29061.0,22.354166666666668,18.23148148148148,18.3450407417814,0,,,,,,,,,,,,,,,,,,0.0,1.242425264,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,1176.651038,0.000395,1781551292.687261,1176.651038,1.0,0.0,2.207509795841303e+18,1.0,0.0,0.0,0.0,1.0,,BASE,BASE,,,,,,3.03915864962674e-09,9.12478981263119e-12,9.4999559223652e-08,5.31598925590515e-06,3509002.21073198,6.50796789092296,133779571.46247,815476853.383757,3.63797880709171e-12,0.0,5.31598925590515e-06,2.8421709430404e-14,2.27373675443232e-13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-344334860.241799,1200.26937797562,0.0,815476853.383757,0.0,2.27373675443232e-13,0.0,217.0,0.0,958.0,0.0,0.0,0.0,0.0,-354385757.024234,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/resultados/caso01a_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/resultados/caso01a_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/logs/caso01a_base.log
caso01b.txt,base,OK,0,1.928411123,0.038897697975824,-353071903.56768525,-352390000.0,OPTIMAL,-353209240.4103725,0.0,597.0,0.03,14400.0,10800.0,35590.0,11181.0,8831.0,29061.0,22.354166666666668,18.23148148148148,18.3450407417814,0,,,,,,,,,,,,,,,,,,0.0,1.928411123,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,1642.808743,0.000389,1781551298.618102,1642.808743,1.0,0.0,1.6613995427221018e+18,1.0,0.0,0.0,0.0,1.0,,BASE,BASE,,,,,,2.44926258456103e-07,1.86264514923096e-09,1.43451616168023e-07,0.000254292041063309,455905.337825535,2.30734767107029,26839250.7115631,39015566.7586848,3.63797880709171e-12,0.0,0.000254292041063309,2.8421709430404e-14,1.13686837721616e-13,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,-353071903.567685,1567.0441801533,0.0,39015566.7586848,0.0,1.13686837721616e-13,0.0,886.0,0.0,984.0,0.0,0.0,0.0,0.0,-352389718.569489,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/resultados/caso01b_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/resultados/caso01b_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/logs/caso01b_base.log
caso01c.txt,base,OK,0,2.217537349,0.038394416814101,-347925393.40672255,-348523000.0,OPTIMAL,-348058977.3324692,0.0,1723.0,0.03,14400.0,10800.0,35590.0,11181.0,8831.0,29061.0,22.354166666666668,18.23148148148148,18.3450407417814,0,,,,,,,,,,,,,,,,,,0.0,2.217537349,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,1937.046193,0.000384,1781551304.918244,1937.046193,1.0,0.0,1.66008545222258e+18,1.0,0.0,0.0,0.0,1.0,,BASE,BASE,,,,,,1.06265404602741e-08,2.3283064365387e-10,1.11758708953857e-07,9.49446111917496e-05,1420192.70151488,3.14726690707193,64442723.404116,351878721.771671,3.63797880709171e-12,0.0,9.49446111917496e-05,2.8421709430404e-14,2.27373675443232e-13,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-347925393.406723,1311.60342755934,0.0,351878721.771671,0.0,2.27373675443232e-13,0.0,469.0,0.0,951.0,0.0,0.0,0.0,0.0,-348522515.928654,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/resultados/caso01c_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/resultados/caso01c_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/logs/caso01c_base.log
caso01d.txt,base,OK,0,2.744948323,0.463038790700609,-272128039.42391676,-273481000.0,OPTIMAL,-273388097.80682254,0.0,2233.0,0.03,14400.0,10800.0,35590.0,11187.0,8831.0,29073.0,22.3125,18.23148148148148,18.31132340545097,0,,,,,,,,,,,,,,,,,,0.0,2.744948323,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,2489.414415,0.00463,1781551313.599723,2489.414415,1.0,0.0,1.1265691161780449e+18,1.0,0.0,0.0,0.0,1.0,,BASE,BASE,,,,,,4.26167848176441e-08,7.28013205275596e-12,8.00937414169312e-08,0.000141706317663193,897328.171496482,6.4704991018564,37803942.5970172,753146739.323376,3.63797880709171e-12,0.0,0.000141706317663193,0.0,2.27373675443232e-13,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,-272128039.423917,933.904407572823,0.0,753146739.323376,0.0,2.27373675443232e-13,0.0,373.0,0.0,1043.0,0.0,0.0,0.0,0.0,-273481107.675286,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/resultados/caso01d_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/resultados/caso01d_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/logs/caso01d_base.log
caso01e.txt,base,OK,0,2.87680898,0.31926254382636,-282913054.8397436,-283243000.0,OPTIMAL,-283816290.25544184,0.0,2915.0,0.03,14400.0,10800.0,35590.0,11187.0,8831.0,29073.0,22.3125,18.23148148148148,18.31132340545097,0,,,,,,,,,,,,,,,,,,0.0,2.87680898,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,2460.50228,0.003193,1781551320.075869,2460.50228,1.0,0.0,1.662991931697646e+18,1.0,0.0,0.0,0.0,1.0,,BASE,BASE,,,,,,7.92163448195872e-08,4.65661287307739e-10,1.06170773506165e-07,0.000156078487634659,572707.739155136,2.43202394952108,23038390.8617153,69682629.7045881,7.95807864051312e-12,0.0,0.000156078487634659,2.8421709430404e-14,2.27373675443232e-13,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,-282913054.839744,569.453907056599,0.0,69682629.7045881,0.0,2.27373675443232e-13,0.0,843.0,0.0,1045.0,0.0,0.0,0.0,0.0,-283242713.986862,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/resultados/caso01e_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/resultados/caso01e_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/logs/caso01e_base.log
caso01f.txt,base,OK,0,2.053860895,0.435757730387898,-276939802.7844213,-278011000.0,OPTIMAL,-278146589.38357544,0.0,1039.0,0.03,14400.0,10800.0,35590.0,11187.0,8831.0,29073.0,22.3125,18.23148148148148,18.31132340545097,0,,,,,,,,,,,,,,,,,,0.0,2.053860895,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,1717.620363,0.004358,1781551326.498884,1717.620363,1.0,0.0,2.1878822588042314e+18,1.0,0.0,0.0,0.0,1.0,,BASE,BASE,,,,,,2.72734665314043e-08,1.16415321826935e-10,8.19610431790353e-08,0.000102905556559563,249438.824931903,3.21572072881517,9791719.43438708,244542212.929587,3.63797880709171e-12,0.0,0.000102905556559563,2.8421709430404e-14,2.27373675443232e-13,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,-276939802.784421,523.432734159782,0.0,244542212.929587,0.0,2.27373675443232e-13,0.0,782.0,0.0,1043.0,0.0,0.0,0.0,0.0,-278010795.318811,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/resultados/caso01f_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/resultados/caso01f_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/logs/caso01f_base.log
caso02a.txt,base,OK,0,1.491767118,0.021548999596413,-371536433.9075162,-383180000.0,OPTIMAL,-371616496.29215944,0.0,227.0,0.03,14400.0,10800.0,35590.0,11148.0,8814.0,28987.0,22.583333333333332,18.38888888888889,18.55296431581905,0,,,,,,,,,,,,,,,,,,0.0,1.491767118,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,1397.09638,0.000215,1781551332.541368,1397.09638,1.0,0.0,2.32510485809388e+18,1.0,0.0,0.0,0.0,1.0,,BASE,BASE,,,,,,5.1781224724281e-08,1.13413278768348e-11,1.04308128356934e-07,0.000200696289539337,3189840.57963843,6.63638063703893,66403971.8417847,754108070.137387,7.27595761418343e-12,0.0,0.000200696289539337,2.8421709430404e-14,2.27373675443232e-13,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,-371536433.907516,1466.48929385012,0.0,754108070.137387,0.0,2.27373675443232e-13,0.0,338.0,0.0,968.0,0.0,0.0,0.0,0.0,-383179590.970908,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/resultados/caso02a_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/resultados/caso02a_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/logs/caso02a_base.log
caso02b.txt,base,OK,0,1.78826571,0.018875156037074,-378921193.7634313,-378304000.0,OPTIMAL,-378992715.7300117,0.0,521.0,0.03,14400.0,10800.0,35590.0,11148.0,8814.0,28987.0,22.583333333333332,18.38888888888889,18.55296431581905,0,,,,,,,,,,,,,,,,,,0.0,1.78826571,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,1608.858247,0.000189,1781551338.370852,1608.858247,1.0,0.0,8.819769043212799e+17,1.0,0.0,0.0,0.0,1.0,,BASE,BASE,,,,,,2.06759142693776e-07,2.3283064365387e-09,1.54608860611916e-07,0.000307289883494377,140754.262726658,2.18502272144176,4332575.71133249,24172180.9590177,7.27595761418343e-12,0.0,0.000307289883494377,2.8421709430404e-14,1.13686837721616e-13,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,-378921193.763431,1848.6231193334,0.0,24172180.9590177,0.0,1.13686837721616e-13,0.0,1088.0,0.0,984.0,0.0,0.0,0.0,0.0,-378304283.692882,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/resultados/caso02b_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/resultados/caso02b_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/logs/caso02b_base.log
caso02c.txt,base,OK,0,3.529246492,0.021092809472196,-374433133.37892866,-372650000.0,OPTIMAL,-374512111.84635305,0.0,8179.0,0.03,14400.0,10800.0,35590.0,11148.0,8814.0,28987.0,22.583333333333332,18.38888888888889,18.55296431581905,0,,,,,,,,,,,,,,,,,,0.0,3.529246492,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,3152.390989,0.000211,1781551346.201278,3152.390989,1.0,0.0,1.8753252934870945e+18,1.0,0.0,0.0,0.0,1.0,,BASE,BASE,,,,,,1.14669664596575e-07,8.73114913702011e-10,1.24815851449967e-07,0.000254662707448006,532069.366955282,3.09997811865219,18629357.8223387,176609691.014313,7.27595761418343e-12,0.0,0.000254662707448006,2.8421709430404e-14,2.27373675443232e-13,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,-374433133.378929,1150.4605610908,0.0,176609691.014313,0.0,2.27373675443232e-13,0.0,653.0,0.0,964.0,0.0,0.0,0.0,0.0,-372649538.799627,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/resultados/caso02c_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/resultados/caso02c_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/logs/caso02c_base.log
caso02d.txt,base,OK,0,3.291292362,0.58441007688461,-282073437.4694154,-282154000.0,OPTIMAL,-283721903.0622015,0.0,2240.0,0.03,14400.0,10800.0,35590.0,11152.0,8814.0,28995.0,22.555555555555557,18.38888888888889,18.530486091598764,0,,,,,,,,,,,,,,,,,,0.0,3.291292362,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,2484.690284,0.005844,1781551353.656529,2484.690284,1.0,0.0,3.2603808035592326e+20,1.0,0.0,0.0,0.0,1.0,,BASE,BASE,,,,,,1.16102264342259e-08,5.23527887708034e-12,8.52206721901895e-08,5.97666949033737e-05,838527.233391763,4.0466735593012,21682148.3988658,829711909.365138,8.44461566073263e-11,0.0,5.97666949033737e-05,2.8421709430404e-14,2.27373675443232e-13,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-282073437.469415,1343.26708153571,0.0,829711909.365138,0.0,2.27373675443232e-13,0.0,239.0,0.0,1056.0,0.0,0.0,0.0,0.0,-282153637.635833,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/resultados/caso02d_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/resultados/caso02d_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-cplex-1pct/base-cplexscalem1/logs/caso02d_base.log
