instancia,variante,status,rc,tiempo_solver_s,gap_pct,objetivo_solver,objetivo_post,status_solver,best_bound,nodos_explorados,iter_simplex,presolve_time_s,rows_cargadas,cols_cargadas,nz_cargados,rows_presolved,cols_presolved,nz_presolved,reduccion_rows_pct,reduccion_cols_pct,reduccion_nz_pct,solver_warnings,solver_warnings_txt,matrix_min,matrix_max,objective_min,objective_max,rhs_min,rhs_max,bounds_min,bounds_max,matrix_range_ratio_vs_base,objective_range_ratio_vs_base,rhs_range_ratio_vs_base,bounds_range_ratio_vs_base,kappa_antes,kappa_despues,rho_antes,rho_despues,tiempo_preprocesamiento_s,tiempo_total_s,speedup_vs_base,speedup_solver_vs_base,speedup_total_vs_base,overhead_preprocesamiento_vs_base,ratio_preproc_solver,gap_delta_vs_base,obj_solver_delta_vs_base,obj_solver_rel_delta_vs_base,obj_post_delta_vs_base,obj_post_rel_delta_vs_base,matrix_kappa_ratio_vs_base,kappa_proxy_ratio,kappa_solver,kappa_solver_exact,kappa_solver_ratio_vs_base,work_units,dettime_ticks,root_gap,root_time,tiempo_determinista,speedup_det_vs_base,primal_integral,kappa_arbol_max,kappa_attention,kappa_stable_frac,kappa_suspicious_frac,kappa_unstable_frac,kappa_illposed_frac,kappa_arbol_max_ratio_vs_base,mip_equivalente,post_factible,solver_max_viol,solver_int_viol,solver_obj_diff,post_max_viol,post_int_viol,verif_solver_avg_viol,verif_solver_p95_viol,verif_solver_p99_viol,verif_solver_max_viol_rel,verif_post_avg_viol,verif_post_p95_viol,verif_post_p99_viol,verif_post_max_viol_rel,verif_solver_max_le,verif_solver_max_ge,verif_solver_max_eq,verif_solver_max_lb,verif_solver_max_ub,verif_solver_max_int,verif_solver_viol_le_count,verif_solver_viol_ge_count,verif_solver_viol_eq_count,verif_solver_viol_lb_count,verif_solver_viol_ub_count,verif_solver_viol_int_count,verif_solver_missing,verif_solver_obj_original,verif_post_max_le,verif_post_max_ge,verif_post_max_eq,verif_post_max_lb,verif_post_max_ub,verif_post_max_int,verif_post_viol_le_count,verif_post_viol_ge_count,verif_post_viol_eq_count,verif_post_viol_lb_count,verif_post_viol_ub_count,verif_post_viol_int_count,verif_post_missing,verif_post_obj_original,obj_original_variante,abs_obj_diff_vs_base,rel_obj_diff_vs_base,sentido_obj_vs_base,best_bound_delta_vs_base,equivalente_vs_base,max_diff_post_csv,diffs_post_csv,csv,csv_post,log
caso01a.txt,base,OK,0,1.599175414,0.035407548835434,-344348815.0876292,-353181000.0,OPTIMAL,-344470740.5624956,1.0,8446.0,0.23,14400.0,10800.0,35590.0,10911.0,8715.0,28973.0,24.229166666666668,19.305555555555557,18.592301208204553,3,Model contains large bounds | Model contains large matrix coefficients | Model contains large rhs,0.002,2000000000.0,0.003,3000.0,5.0,5000000000.0,1.0,10000000000.0,,,,,,,,,0.0,1.599175414,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,90363709.491551,,,1.589856,,,,1.589856,1.0,0.2422140039119,,,,,,,,BASE,BASE,,,,,,1.98230375311826e-09,4.17443857259059e-14,7.07991421222691e-08,2.58907675743103e-07,4479313.64909578,6.30315195509877,141182319.986202,815406028.065008,3.63797880709171e-12,0.0,2.58907675743103e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-344348815.087629,1201.66395897249,0.0,815406028.065008,0.0,0.0,0.0,222.0,0.0,960.0,0.0,0.0,0.0,0.0,-353181178.092118,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/resultados/caso01a_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/resultados/caso01a_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/logs/caso01a_base.log
caso01a.txt,estructurado,OK,0,1.708868248,0.035413654274972,-344348824.07735085,-353181000.0,OPTIMAL,-344470770.57940954,1.0,8435.0,0.24,14400.0,10800.0,35590.0,10914.0,8718.0,28969.0,24.208333333333332,19.27777777777778,18.603540320314696,1,Model contains large bounds,1e-05,40000.0,0.003,3000.0,0.1,70000.0,1.0,10000000000.0,0.003999999999999999,1.0,0.0007,1.0,2341000000000.0,5345000000.0,0.0002863,1.0,0.077069705,1.785937953,0.9358096599147532,0.9358096599147532,0.8954260764287594,0.077069705,0.045099851957691714,-6.105439538002522e-06,-8.989721655845642,-2.6106439929401108e-08,0.0,0.0,0.003999999999999999,0.002283212302434857,5201537.0,,0.05756223410113928,2.0,,,,2.0,0.794928,0.215674876549781,,,,,,,,OK,REVISAR,5.28793316334486e-06,0.0,1.1920928955078125e-07,815405786.244153,0.0,9.95469290094843e-09,4.65672655991511e-10,2.21287127715187e-07,1.45389367389726e-06,4487245.83394737,6.3031519520021,141182541.090865,815405786.244153,9.5367431640625e-07,0.0,5.28793316334486e-06,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-344348824.077351,1201.66395897249,0.0,815405786.244153,0.0,0.0,0.0,222.0,0.0,963.0,0.0,0.0,0.0,0.0,-353180853.754412,-344348824.077351,-8.989721775054932,2.6106440275588708e-08,igual,-30.016913950443268,DIFIERE,16000.0,305,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/resultados/caso01a_estructurado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/resultados/caso01a_estructurado_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/logs/caso01a_estructurado.log
caso01a.txt,estructurado_matricial,OK,0,1.759975619,0.035404937276353,-344348824.077351,-353181000.0,OPTIMAL,-344470740.5625274,1.0,8341.0,0.24,14400.0,10800.0,35590.0,10912.0,8716.0,28972.0,24.22222222222222,19.296296296296298,18.595110986232086,1,Model contains large bounds,2e-05,40000.0,0.003,3000.0,0.02,90000000.0,1.0,10000000000.0,0.0019999999999999996,1.0,4.5,1.0,2341000000000.0,3666000000000.0,0.0002863,0.02149,0.079487498,1.839463117,0.9086349814940249,0.9086349814940249,0.8693707415064197,0.079487498,0.04516397678574887,2.611559080996362e-06,-8.989721775054932,-2.6106440275588708e-08,0.0,0.0,0.0019999999999999996,1.565997436992738,10987447.0,,0.12159136739541802,2.0,,,,2.0,0.794928,0.209739118509958,,,,,,,,OK,REVISAR,1.828708263929e-06,0.0,0.0,815405786.244151,0.0,8.70240792500378e-09,4.65661287307739e-10,2.3737084120512e-07,1.828708263929e-06,4487245.83394744,6.30315195200213,141182541.090867,815405786.244151,1.43051147460938e-06,0.0,1.828708263929e-06,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,-344348824.077351,1201.66395897249,0.0,815405786.244151,0.0,0.0,0.0,223.0,0.0,962.0,0.0,0.0,0.0,0.0,-353180853.754412,-344348824.077351,-8.989721775054932,2.6106440275588708e-08,igual,-3.1828880310058594e-05,DIFIERE,16000.0,302,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/resultados/caso01a_estructurado_matricial.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/resultados/caso01a_estructurado_matricial_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/logs/caso01a_estructurado_matricial.log
caso01a.txt,ruiz,OK,0,17.159589142,0.000447399531994,-344468467.82170665,-352889000.0,OPTIMAL,-344470008.97201955,4451.0,82515.0,0.23,14400.0,10800.0,35590.0,10914.0,8718.0,28969.0,24.208333333333332,19.27777777777778,18.603540320314696,2,Model contains large bounds | max constraint violation (2.2066e-05) exceeds tolerance,1e-05,70000.0,0.003,3000.0,30.0,80000.0,1.0,10000000000.0,0.006999999999999999,1.0,2.6666666666666664e-06,1.0,2341000000000.0,5345000000.0,0.0002863,0.9647,4.86362764,22.023216782000002,0.09319427177226758,0.09319427177226758,0.07261316227459727,4.86362764,0.28343497036859294,0.03496014930344,-119652.73407745361,-0.0003474753762315245,292000.0,0.0008267715420704965,0.006999999999999999,0.002283212302434857,253384275.0,,2.804049063785849,16.0,,,3.0,16.0,0.099366,0.984962149750888,,,,,,,,OK,REVISAR,1.14876311272383e-05,0.0,3.5762786865234375e-07,813343282.217208,0.0,1.26843895487034e-08,7.45058059692383e-09,2.57580541074277e-07,1.54196550283814e-06,3543135.50963784,6.45664289482627,136558124.418997,813343282.217208,2.86102294921875e-06,0.0,1.14876311272383e-05,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,-344468467.821707,600.831979486244,0.0,813343282.217208,0.0,0.0,0.0,193.0,0.0,956.0,0.0,0.0,0.0,0.0,-352889316.759381,-344468467.821707,-119652.73407781124,0.00034747537623256304,mejora,731.5904760360718,DIFIERE,5780000.0,4379,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/resultados/caso01a_ruiz.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/resultados/caso01a_ruiz_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/logs/caso01a_ruiz.log
caso01a.txt,ruiz_columnas,OK,0,1.449123892,0.035910029148462,-344346952.28580594,-347821000.0,OPTIMAL,-344470607.3767436,1.0,6869.0,0.09,14400.0,10800.0,35590.0,10789.0,8588.0,29111.0,25.07638888888889,20.48148148148148,18.20455184040461,1,max constraint violation (9.8627e-06) exceeds tolerance,0.0001,7000.0,0.3,3000.0,1.0,8000.0,0.1,100000000.0,7e-05,0.01,8e-06,0.1,2341000000000.0,52990000.0,0.0002863,0.9647,51.41904828,52.868172172,1.1035463722793966,1.1035463722793966,0.03024835829007446,51.41904828,35.482851786422685,-0.0005024803130280059,1862.8018232584,5.40963622245762e-06,5360000.0,0.015176354333896783,7e-05,2.2635625800939768e-05,521861009.0,,5.775117156393342,1.0,,,,1.0,1.589856,0.236002982027422,,,,,,,,OK,REVISAR,1.64713710546494e-05,0.0,5.960464477539063e-08,815431564.996053,0.0,2.09467201585985e-08,1.78522896021599e-08,5.14624407514931e-07,9.5367431640625e-07,4482330.78472046,24.2839084728896,141136500.635925,815431564.996053,3.63797880709171e-12,0.0,1.64713710546494e-05,0.0,2.27373675443232e-13,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,-344346952.285806,3193.35805267371,0.0,815431564.996053,0.0,2.27373675443232e-13,0.0,902.0,0.0,997.0,0.0,0.0,0.0,0.0,-347820525.69676,-344346952.285806,1862.8018231987953,5.409636222284526e-06,empeora,133.18575197458267,DIFIERE,300000.0,2839,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/resultados/caso01a_ruiz_columnas.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/resultados/caso01a_ruiz_columnas_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/logs/caso01a_ruiz_columnas.log
caso01b.txt,base,OK,0,2.151895109,0.038843862469319,-353071954.4255615,-352389000.0,OPTIMAL,-353209101.2099563,1.0,12362.0,0.23,14400.0,10800.0,35590.0,10911.0,8715.0,28973.0,24.229166666666668,19.305555555555557,18.592301208204553,3,Model contains large bounds | Model contains large matrix coefficients | Model contains large rhs,0.002,2000000000.0,0.003,3000.0,5.0,5000000000.0,1.0,10000000000.0,,,,,,,,,0.0,2.151895109,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,30622369.866918,,,2.124571,,,,2.124571,1.0,0.203116952776661,,,,,,,,BASE,BASE,,,,,,3.17156419366143e-09,5.66204860774629e-12,8.7544322013855e-08,9.29867383092642e-07,456099.156601258,2.30734767107029,26841250.1747578,39018588.3065217,3.63797880709171e-12,0.0,9.29867383092642e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-353071954.425561,1567.27661031944,0.0,39018588.3065217,0.0,0.0,0.0,885.0,0.0,984.0,0.0,0.0,0.0,0.0,-352389157.746049,,,,,,BASE,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/resultados/caso01b_base.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/resultados/caso01b_base_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/logs/caso01b_base.log
caso01b.txt,estructurado,OK,0,2.212607487,0.038850776229132,-353071954.4255615,-352389000.0,OPTIMAL,-353209125.6205032,1.0,11097.0,0.24,14400.0,10800.0,35590.0,10914.0,8718.0,28969.0,24.208333333333332,19.27777777777778,18.603540320314696,1,Model contains large bounds,1e-05,40000.0,0.003,3000.0,0.1,70000.0,1.0,10000000000.0,0.003999999999999999,1.0,0.0007,1.0,2341000000000.0,5345000000.0,0.0002863,1.0,0.079166259,2.291773746,0.9725607102223458,0.9725607102223458,0.9389649012062641,0.079166259,0.03577962176533121,-6.913759813001463e-06,0.0,0.0,0.0,0.0,0.003999999999999999,0.002283212302434857,491336.0,,0.016045002465037848,2.0,,,,2.0,1.0622855,0.214495983030972,,,,,,,,OK,REVISAR,1.22166238725185e-06,0.0,5.364418029785156e-07,39018588.3065225,0.0,6.47514204579411e-09,5.59666659682976e-09,1.48435356095433e-07,1.22166238725185e-06,456099.156601267,2.30734767107029,26841250.174758,39018588.3065225,3.63797880709171e-12,0.0,1.22166238725185e-06,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-353071954.425562,1567.27661031944,0.0,39018588.3065225,0.0,0.0,0.0,885.0,0.0,986.0,0.0,0.0,0.0,0.0,-352389157.746047,-353071954.425562,-5.364418029785156e-07,1.5193554635379973e-15,igual,-24.410546898841858,DIFIERE,9.999999999732445e-07,3,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/resultados/caso01b_estructurado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/resultados/caso01b_estructurado_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/logs/caso01b_estructurado.log
caso01b.txt,estructurado_matricial,OK,0,2.130520127,0.038843862469319,-353071954.42556155,-352389000.0,OPTIMAL,-353209101.20995635,1.0,11189.0,0.24,14400.0,10800.0,35590.0,10912.0,8716.0,28972.0,24.22222222222222,19.296296296296298,18.595110986232086,1,Model contains large bounds,2e-05,40000.0,0.003,3000.0,0.02,90000000.0,1.0,10000000000.0,0.0019999999999999996,1.0,4.5,1.0,2341000000000.0,3666000000000.0,0.0002863,0.02149,0.079350306,2.209870433,1.0100327529081352,1.0100327529081352,0.9737652836409527,0.079350306,0.037244569996967694,0.0,-5.960464477539063e-08,-1.6881727372644414e-16,0.0,0.0,0.0019999999999999996,1.565997436992738,496120.0,,0.016201228126891936,2.0,,,,2.0,1.0622855,0.21101390167782,,,,,,,,OK,REVISAR,1.13015994429588e-06,0.0,4.76837158203125e-07,39018588.3065227,0.0,5.6937956428532e-09,3.72529029846191e-09,1.58324837684631e-07,9.5367431640625e-07,456099.15660127,2.30734767107032,26841250.1747578,39018588.3065227,3.63797880709171e-12,0.0,1.13015994429588e-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-353071954.425562,1567.27661031944,0.0,39018588.3065227,0.0,0.0,0.0,885.0,0.0,985.0,0.0,0.0,0.0,0.0,-352389157.746048,-353071954.425562,-5.364418029785156e-07,1.5193554635379973e-15,igual,-5.960464477539063e-08,OK,0.0,0,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/resultados/caso01b_estructurado_matricial.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/resultados/caso01b_estructurado_matricial_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/logs/caso01b_estructurado_matricial.log
caso01b.txt,ruiz,OK,0,146.995742523,0.005538044986354,-353179983.126842,-351757000.0,OPTIMAL,-353199542.3931904,14903.0,2228759.0,0.23,14400.0,10800.0,35590.0,10914.0,8718.0,28969.0,24.208333333333332,19.27777777777778,18.603540320314696,2,Model contains large bounds | max constraint violation (2.1786e-05) exceeds tolerance,1e-05,70000.0,0.003,3000.0,30.0,80000.0,1.0,10000000000.0,0.006999999999999999,1.0,2.6666666666666664e-06,1.0,2341000000000.0,5345000000.0,0.0002863,0.9647,4.85814096,151.853883483,0.014639166223901342,0.014639166223901342,0.014170826979481917,4.85814096,0.03304953515398489,0.033305817482965,-108028.70128053427,-0.0003059679476844714,632000.0,0.0017934725544781478,0.006999999999999999,0.002283212302434857,1094675.0,,0.03574755986415672,188.0,,,5.0,188.0,0.011300909574468086,0.849837431035738,,,,,,,,OK,REVISAR,1.9073486328125e-06,0.0,0.0,38342121.6305479,0.0,6.99523830088791e-09,5.82937238326438e-09,1.74166634678841e-07,9.5367431640625e-07,445812.677449307,1.85758803838466,25824636.3334131,38342121.6305479,1.19209289550781e-07,0.0,1.9073486328125e-06,2.24515223860459e-11,2.27373675443232e-13,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-353179983.126842,797.003039713083,0.0,38342121.6305479,2.24515223860459e-11,2.27373675443232e-13,0.0,744.0,0.0,990.0,0.0,0.0,0.0,0.0,-351756796.569639,-353179983.126842,-108028.70128053427,0.0003059679476844714,mejora,9558.816765904427,DIFIERE,13948000.0,5852,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/resultados/caso01b_ruiz.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/resultados/caso01b_ruiz_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/logs/caso01b_ruiz.log
caso01b.txt,ruiz_columnas,OK,0,1.935662815,0.038778133828118,-353071954.4255615,-350762000.0,OPTIMAL,-353208869.1405582,1.0,9667.0,0.09,14400.0,10800.0,35590.0,10789.0,8588.0,29111.0,25.07638888888889,20.48148148148148,18.20455184040461,1,max constraint violation (1.1144e-05) exceeds tolerance,0.0001,7000.0,0.5,3000.0,1.0,8000.0,0.1,100000000.0,7e-05,0.006,8e-06,0.1,2341000000000.0,52990000.0,0.0002863,0.9647,52.04394186,53.979604675,1.1117096905123942,1.1117096905123942,0.03986496607294762,52.04394186,26.886884149809944,6.572864120100302e-05,0.0,0.0,1627000.0,0.004617056718569535,7e-05,2.2635625800939768e-05,1649645.0,,0.053870585691741205,2.0,,,,2.0,1.0622855,0.190889158685969,,,,,,,,OK,REVISAR,3.05951107293367e-06,0.0,5.364418029785156e-07,39018588.3065213,0.0,1.78112800923052e-08,2.98488885164254e-08,5.19934110343462e-07,1.04613718576729e-06,455816.569992184,3.63997543200961,26841250.1747576,39018588.3065213,3.63797880709171e-12,0.0,3.05951107293367e-06,0.0,4.54747350886464e-13,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,-353071954.425562,1651.64876063028,0.0,39018588.3065213,0.0,1.13686837721616e-13,0.0,1021.0,0.0,1025.0,0.0,0.0,0.0,0.0,-350761979.927039,-353071954.425562,-5.364418029785156e-07,1.5193554635379973e-15,igual,232.0693981051445,DIFIERE,71.06,1255,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/resultados/caso01b_ruiz_columnas.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/resultados/caso01b_ruiz_columnas_postprocesado.csv,/clusteruy/home/mathiasr/generator-aware-row-scaling/results-revision/r1-internal-scaling/simple-gurobi-01pct/aware-default/logs/caso01b_ruiz_columnas.log
