instance,variant,rows,cols,sigma_max,sigma_min,sigma_min_pos,kappa2,kappa2_pos,range_proxy,rank_deficient
coupling_heterogeneo_S0_seed1000,Base,123,125,360.1354304323637,2.6041208514136476e-16,0.004545183072070819,1.3829443830798564e+18,79234.52690944819,25081.921787258834,1
coupling_heterogeneo_S0_seed1000,Flat,123,125,17.834655779111703,6.610794860909335e-17,0.001028870149797593,2.697808078204153e+17,17334.21441240206,24011.207367351984,1
coupling_heterogeneo_S0_seed1000,Ruiz,123,125,23.816042672151706,8.590675372610169e-19,0.0013060524929202262,2.772313192986537e+19,18235.13434663027,526718.8043654661,1
coupling_heterogeneo_S0_seed1000,SAAug,123,125,10.000506672970747,3.629432406350021e-17,0.0010246144701488622,2.755391354161591e+17,9760.262971415788,221172.40396420239,1
coupling_heterogeneo_S0_seed1000,SAMat,123,125,10.00065282701863,3.486558428862993e-17,0.00818738392619004,2.8683451119676083e+17,1221.4710971386419,251397.4786753608,1
coupling_heterogeneo_S0_seed1001,Base,123,125,361.5974733388628,2.7349784759604894e-15,9.152411233234442e-05,1.32212182478648e+17,3950843.817264481,27034.089762665935,1
coupling_heterogeneo_S0_seed1001,Flat,123,125,14.194756582648804,1.3509415918728855e-17,0.00031136624312436806,1.050730591762285e+18,45588.617572069415,13485.235912332219,1
coupling_heterogeneo_S0_seed1001,Ruiz,123,125,24.484892652998678,8.577850312572114e-18,0.00036576960991045954,2.854432259923262e+18,66940.75174532019,348669.91181084595,1
coupling_heterogeneo_S0_seed1001,SAAug,123,125,10.000506124413759,1.2840546517670905e-17,0.0003112476352956687,7.78822467614697e+17,32130.3842675425,142409.17898842553,1
coupling_heterogeneo_S0_seed1001,SAMat,123,125,10.000625841873163,4.6892590752360076e-20,0.003555415694687492,2.1326665218150348e+20,2812.7866614348677,102900.29746373143,1
coupling_heterogeneo_S0_seed1002,Base,123,126,334.21107420431383,0.0011500383641755616,0.0011500383641755616,290608.63064677216,290608.63064677216,29170.3613926915,0
coupling_heterogeneo_S0_seed1002,Flat,123,126,22.48083799202205,0.00022694340919486878,0.00022694340919486878,99059.223935067,99059.223935067,21110.57102736167,0
coupling_heterogeneo_S0_seed1002,Ruiz,123,126,24.93468370093937,0.00025236115446927894,0.00025236115446927894,98805.55410113557,98805.55410113557,450185.62470819755,0
coupling_heterogeneo_S0_seed1002,SAAug,123,126,10.000507486765109,0.0002269367831279771,0.0002269367831279771,44067.371313382435,44067.371313382435,180554.98122944956,0
coupling_heterogeneo_S0_seed1002,SAMat,123,126,10.000601047810338,0.002685776490011922,0.002685776490011922,3723.5418081144744,3723.5418081144744,218037.96489970863,0
coupling_heterogeneo_S0_seed1003,Base,123,126,357.4112436655512,0.00027843866334234616,0.00027843866334234616,1283626.4884166126,1283626.4884166126,28986.387563525746,0
coupling_heterogeneo_S0_seed1003,Flat,123,126,16.11920424139364,5.82090657603336e-05,5.82090657603336e-05,276919.13675031054,276919.13675031054,14712.906184762842,0
coupling_heterogeneo_S0_seed1003,Ruiz,123,126,24.8143279960374,6.645827132350314e-05,6.645827132350314e-05,373382.0862605216,373382.0862605216,334757.7851617392,0
coupling_heterogeneo_S0_seed1003,SAAug,123,126,10.000507216726076,5.820828896225823e-05,5.820828896225823e-05,171805.55201013247,171805.55201013247,134911.78316051266,0
coupling_heterogeneo_S0_seed1003,SAMat,123,126,10.000597967098898,0.0005522539551066071,0.0005522539551066071,18108.69415171211,18108.69415171211,159179.3317947326,0
coupling_heterogeneo_S0_seed1004,Base,123,124,409.5987433852056,4.531982393370865e-15,0.00045641824342674615,9.037959723416933e+16,897419.7444650239,29432.902365970942,1
