block_range,severity_S,pattern,n,med_ratio,wins,p,med_kappa_samat,med_kappa_flatmat
"[-1,1]",3,coupling,30,0.915806152937459,22,0.12935307621955872,139.24942605196185,149.83172160359493
"[-1,1]",3,coupling_uniform,30,1.0038922426210557,14,0.9676735773682594,131.79170281057515,139.60440407627868
"[-1,1]",3,mixed,30,1.151388446653138,7,0.007111456245183945,168.7224925212381,145.67690939368435
"[-1,1]",6,coupling,30,0.9452683246495006,21,0.28936620615422726,138.9264569839063,149.8264655792761
"[-1,1]",6,coupling_uniform,30,1.008358004957758,13,0.7921590935438871,130.3467224288089,139.6044040762785
"[-1,1]",6,mixed,30,1.0574608705769688,11,0.3284698575735092,137.69876525708685,133.51325559914955
"[-2,2]",3,coupling,30,0.09871412342732583,30,1.862645149230957e-09,1361.512221572601,13584.029667507391
"[-2,2]",3,coupling_uniform,30,0.11098904999634364,30,1.862645149230957e-09,1293.2303423593612,11820.164240926702
"[-2,2]",3,mixed,30,0.1378700089655645,30,1.862645149230957e-09,1582.0260965617986,10849.811811358566
"[-2,2]",6,coupling,30,0.09818823016327735,30,1.862645149230957e-09,1333.7925857008079,13584.021976635133
"[-2,2]",6,coupling_uniform,30,0.10811474069479172,30,1.862645149230957e-09,1293.2303423593537,11820.164240926955
"[-2,2]",6,mixed,30,0.11722226551792989,30,1.862645149230957e-09,1401.538554902534,11316.257982892757
"[-3,3]",3,coupling,30,0.009687931381339448,30,1.862645149230957e-09,13166.027245963,1354645.1590527808
"[-3,3]",3,coupling_uniform,30,0.011108186558389545,30,1.862645149230957e-09,12927.79662705763,1180422.3886903813
"[-3,3]",3,mixed,30,0.013549203367553895,30,1.862645149230957e-09,14931.959464546391,1101691.4906695515
"[-3,3]",6,coupling,30,0.009828295798153357,30,1.862645149230957e-09,13328.911503101317,1354645.1512547852
"[-3,3]",6,coupling_uniform,30,0.010553809986314949,30,1.862645149230957e-09,12701.188560475417,1180422.3886903846
"[-3,3]",6,mixed,30,0.011409795546421781,30,1.862645149230957e-09,13303.999814333982,1123590.267347394
