instance,variant,rows,cols,sigma_max,sigma_min,sigma_min_pos,kappa2,kappa2_pos,range_proxy,rank_deficient
coupling_S0_seed10,Base,163,166,100.00500896078786,9.618344420678713e-15,0.008646432679937746,1.0397320431339998e+16,11566.04262851994,199.9574807201438,1
coupling_S0_seed10,Flat,163,166,10.000500831150294,4.182245889785137e-16,0.0009029759641624402,2.3911795467540216e+16,11075.04654393133,332.6754559943418,1
coupling_S0_seed10,Ruiz,163,166,17.605903515610173,1.6069592493869515e-16,0.001189885541761247,1.0956036080147493e+17,14796.30006223139,309.9366366100014,1
coupling_S0_seed10,RuizColsCols,163,166,17.605903515610173,1.6069592493869515e-16,0.001189885541761247,1.0956036080147493e+17,14796.30006223139,309.9366366100014,1
coupling_S0_seed10,SAAug,163,166,10.000569731489357,1.10259592101294e-15,0.0009029942777947219,9070022426984828.0,11074.898232924119,193.4311646973896,1
coupling_S0_seed10,SAMat,163,166,10.000572125637886,9.006532194698448e-16,0.008645738763849772,1.1103687756231598e+16,1156.70533181653,100.0,1
coupling_S0_seed11,Base,163,166,100.00500962060224,0.0007540233158229485,0.0007540233158229485,132628.53750279034,132628.53750279034,199.10686892823475,0
coupling_S0_seed11,Flat,163,166,10.000500797162012,6.329361435705879e-05,6.329361435705879e-05,158001.7336464008,158001.7336464008,362.730919819271,0
coupling_S0_seed11,Ruiz,163,166,16.91891734971032,8.36559949440105e-05,8.36559949440105e-05,202243.93196248345,202243.93196248345,286.2210027214459,0
coupling_S0_seed11,RuizColsCols,163,166,16.91891734971032,8.36559949440105e-05,8.36559949440105e-05,202243.93196248345,202243.93196248345,286.2210027214459,0
coupling_S0_seed11,SAAug,163,166,10.000576340589669,6.32936163621705e-05,6.32936163621705e-05,158002.92218042453,158002.92218042453,187.26594832545777,0
coupling_S0_seed11,SAMat,163,166,10.000582890053861,0.0007540231147726636,0.0007540231147726636,13262.965941129027,13262.965941129027,100.0,0
coupling_S0_seed12,Base,163,166,100.00500931637944,4.8025184555709255e-15,0.055508692678430345,2.0823451329036236e+16,1801.6098829010891,199.99068404370533,1
coupling_S0_seed12,Flat,163,166,10.000500805714552,1.0972042765540585e-15,0.004708288929413782,9114529554261934.0,2124.020202591877,280.92333082939,1
coupling_S0_seed12,Ruiz,163,166,16.759292198546063,3.4290125603760194e-16,0.005464270258250526,4.887498048915945e+16,3067.0686855653107,280.8456193074825,1
coupling_S0_seed12,RuizColsCols,163,166,16.759292198546063,3.4290125603760194e-16,0.005464270258250526,4.887498048915945e+16,3067.0686855653107,280.8456193074825,1
coupling_S0_seed12,SAAug,163,166,10.000566305563844,1.5668640600938731e-15,0.004709063307135067,6382536022279237.0,2123.6848292974128,181.1564398771661,1
coupling_S0_seed12,SAMat,163,166,10.000594559762588,6.319346431979013e-16,0.05540012273224574,1.5825362112060578e+16,180.51574737652564,100.0,1
coupling_S0_seed13,Base,163,166,100.00500871237607,2.5901594132235412e-15,0.011797804572771976,3.860959607421091e+16,8476.577832385572,198.12482253678985,1
coupling_S0_seed13,Flat,163,166,10.000500727065436,4.541310618734196e-16,0.0013861487463085436,2.2021177511642852e+16,7214.594215590351,337.22231443134126,1
coupling_S0_seed13,Ruiz,163,166,17.55797356723646,1.560809216297988e-16,0.0014559666841276497,1.1249275942181718e+17,12059.323718493199,308.2514431766406,1
coupling_S0_seed13,RuizColsCols,163,166,17.55797356723646,1.560809216297988e-16,0.0014559666841276497,1.1249275942181718e+17,12059.323718493199,308.2514431766406,1
coupling_S0_seed13,SAAug,163,166,10.000571140031397,5.340039022408309e-17,0.0013861795449707202,1.872752445827864e+17,7214.484715428863,192.87866153061321,1
coupling_S0_seed13,SAMat,163,166,10.000582428931528,2.994498070776946e-16,0.011797030212909933,3.3396523198750296e+16,847.720337105479,100.0,1
coupling_S0_seed14,Base,163,166,100.00500855675722,7.931574860110543e-15,0.000994751439750585,1.260846809373283e+16,100532.66028127748,197.54993791751133,1
coupling_S0_seed14,Flat,163,166,10.000500789437123,7.352070529985186e-16,0.00010687347728901412,1.360229169272846e+16,93573.27040452822,292.1740530621694,1
coupling_S0_seed14,Ruiz,163,166,17.372670421204536,4.3027994353547817e-16,0.00011839388060453908,4.0375273545075416e+16,146736.21924120365,301.77939107179554,1
coupling_S0_seed14,RuizColsCols,163,166,17.372670421204536,4.3027994353547817e-16,0.00011839388060453908,4.0375273545075416e+16,146736.21924120365,301.77939107179554,1
coupling_S0_seed14,SAAug,163,166,10.000572764429714,9.869500465369562e-16,0.00010687348204969614,1.0132805403394086e+16,93573.93969609271,186.94090501486184,1
coupling_S0_seed14,SAMat,163,166,10.000586524354258,1.1441292269350895e-15,0.0009947513093736965,8740784073092844.0,10053.353466456565,100.0,1
coupling_S0_seed15,Base,163,166,100.0050088997335,5.46792986961432e-15,0.0033748198833426155,1.8289372995705108e+16,29632.695182737512,199.5639025151562,1
coupling_S0_seed15,Flat,163,166,10.000500678389573,1.3405519889352814e-15,0.0004130675598626621,7459987199998382.0,24210.326954057025,361.3920037854795,1
coupling_S0_seed15,Ruiz,163,166,17.057730760159576,8.846807066536363e-16,0.0005322240624718212,1.9281228393328004e+16,32049.905224010243,290.9370016282288,1
coupling_S0_seed15,RuizColsCols,163,166,17.057730760159576,8.846807066536363e-16,0.0005322240624718212,1.9281228393328004e+16,32049.905224010243,290.9370016282288,1
coupling_S0_seed15,SAAug,163,166,10.00055718305703,1.0109274812208546e-15,0.00041306818521633695,9892457539070732.0,24210.42709406298,188.6733637614378,1
coupling_S0_seed15,SAMat,163,166,10.000592887113921,1.7033578716939653e-15,0.003374810676949101,5871104982283302.0,2963.3048619351484,100.0,1
