instancia,variante,status,rc,tiempo_solver_s,gap_pct,objetivo_solver,objetivo_post,status_solver,best_bound,nodos_explorados,iter_simplex,presolve_time_s,rows_cargadas,cols_cargadas,nz_cargados,rows_presolved,cols_presolved,nz_presolved,reduccion_rows_pct,reduccion_cols_pct,reduccion_nz_pct,solver_warnings,solver_warnings_txt,matrix_min,matrix_max,objective_min,objective_max,rhs_min,rhs_max,bounds_min,bounds_max,matrix_range_ratio_vs_base,objective_range_ratio_vs_base,rhs_range_ratio_vs_base,bounds_range_ratio_vs_base,kappa_antes,kappa_despues,rho_antes,rho_despues,tiempo_preprocesamiento_s,tiempo_total_s,speedup_vs_base,speedup_solver_vs_base,speedup_total_vs_base,overhead_preprocesamiento_vs_base,ratio_preproc_solver,gap_delta_vs_base,obj_solver_delta_vs_base,obj_solver_rel_delta_vs_base,obj_post_delta_vs_base,obj_post_rel_delta_vs_base,matrix_kappa_ratio_vs_base,kappa_proxy_ratio,kappa_solver,kappa_solver_exact,kappa_solver_ratio_vs_base,work_units,dettime_ticks,root_gap,root_time,tiempo_determinista,speedup_det_vs_base,primal_integral,kappa_arbol_max,kappa_attention,kappa_stable_frac,kappa_suspicious_frac,kappa_unstable_frac,kappa_illposed_frac,kappa_arbol_max_ratio_vs_base,mip_equivalente,post_factible,solver_max_viol,solver_int_viol,solver_obj_diff,post_max_viol,post_int_viol,verif_solver_avg_viol,verif_solver_p95_viol,verif_solver_p99_viol,verif_solver_max_viol_rel,verif_post_avg_viol,verif_post_p95_viol,verif_post_p99_viol,verif_post_max_viol_rel,verif_solver_max_le,verif_solver_max_ge,verif_solver_max_eq,verif_solver_max_lb,verif_solver_max_ub,verif_solver_max_int,verif_solver_viol_le_count,verif_solver_viol_ge_count,verif_solver_viol_eq_count,verif_solver_viol_lb_count,verif_solver_viol_ub_count,verif_solver_viol_int_count,verif_solver_missing,verif_solver_obj_original,verif_post_max_le,verif_post_max_ge,verif_post_max_eq,verif_post_max_lb,verif_post_max_ub,verif_post_max_int,verif_post_viol_le_count,verif_post_viol_ge_count,verif_post_viol_eq_count,verif_post_viol_lb_count,verif_post_viol_ub_count,verif_post_viol_int_count,verif_post_missing,verif_post_obj_original,obj_original_variante,abs_obj_diff_vs_base,rel_obj_diff_vs_base,sentido_obj_vs_base,best_bound_delta_vs_base,equivalente_vs_base,max_diff_post_csv,diffs_post_csv,csv,csv_post,log
instance001,base,ERROR,0,,,,,,,,,0.04,23763.0,16561.0,57555.0,20361.0,14505.0,50617.0,14.316374195177376,12.414709256687399,12.054556511163236,0,,,,,,,,,,,,,,,,,,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,BASE,BASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BASE,0.0,0,ejecuciones/validacion-preproc-completo-cplex-ute/resultados/instance001_base.csv,ejecuciones/validacion-preproc-completo-cplex-ute/resultados/instance001_base_postprocesado.csv,ejecuciones/validacion-preproc-completo-cplex-ute/logs/instance001_base.log
instance001,estructurado,OK,0,3601.842092851,12.638444580078032,224600.81457470433,,TIME_LIMIT,196214.7650982765,691281.0,24891197.0,0.04,23763.0,16561.0,57555.0,20361.0,14505.0,50617.0,14.316374195177376,12.414709256687399,12.054556511163236,0,,,,,,,,,,,,,,18380000000000.0,565500000000.0,1.0,1.5,0.0,3601.842092851,,,,0.0,0.0,,,,,,,0.030767138193688794,,,,,2052355.0,0.0,1780498264.0,2052355.0,,3.85050629e-07,389532377179.0,0.0,1.0,0.0,0.0,0.0,,OK,REVISAR,1.33514404296875e-05,8.06929518465797e-13,3.2014213502407074e-10,105700803.536434,8.06929518465797e-13,3.50214895164902e-09,2.3283064365387e-10,7.26431608200073e-08,8.69389623403549e-07,369154.943874729,3.88281628869292,9771519.10304236,105700803.536434,1.33514404296875e-05,0.0,2.86172144114971e-06,8.06929518465797e-13,2.38742359215394e-11,8.06929518465797e-13,3.0,0.0,1.0,0.0,0.0,0.0,0.0,224600.814574704,34.0882745041707,5999.23826871696,105700803.536434,8.06929518465797e-13,2.38742359215394e-11,8.06929518465797e-13,1046.0,293.0,1152.0,0.0,0.0,0.0,0.0,224600.814574704,224600.814574704,,,,,N/D,,,ejecuciones/validacion-preproc-completo-cplex-ute/resultados/instance001_estructurado.csv,ejecuciones/validacion-preproc-completo-cplex-ute/resultados/instance001_estructurado_postprocesado.csv,ejecuciones/validacion-preproc-completo-cplex-ute/logs/instance001_estructurado.log
instance001,estructurado_matricial,OK,0,3603.656168706,27.6411948742596,222420.92634301458,,TIME_LIMIT,160941.1246514085,456065.0,34827116.0,0.04,23763.0,16561.0,57555.0,20361.0,14505.0,50617.0,14.316374195177376,12.414709256687399,12.054556511163236,0,,,,,,,,,,,,,,18380000000000.0,30850000000000.0,1.0,1.0,0.0,3603.656168706,,,,0.0,0.0,,,,,,,1.6784548422198042,,,,,2624790.0,1.0,1780834103.0,2624790.0,,8.43950053e-07,77392520094282.0,0.0,0.0,1.0,0.0,0.0,,OK,REVISAR,3.05986031889915e-06,1.62288473396943e-11,4.0745362639427185e-10,97046373.9644002,1.62288473396943e-11,2.92421625621385e-09,2.3283064365387e-10,7.07805156707764e-08,8.4657222032547e-07,378931.693552743,3.60188088607956,7887594.72960625,97046373.9644002,1.9073486328125e-06,1.86264514923096e-09,3.05986031889915e-06,1.74574634804504e-11,3.63797880709171e-12,1.62288473396943e-11,1.0,0.0,1.0,0.0,0.0,0.0,0.0,222420.926343015,26.7622129439175,6017.60146691959,97046373.9644002,1.74574634804504e-11,2.27373675443232e-13,1.62288473396943e-11,801.0,304.0,1155.0,0.0,0.0,0.0,0.0,222420.926343015,222420.926343015,,,,,N/D,,,ejecuciones/validacion-preproc-completo-cplex-ute/resultados/instance001_estructurado_matricial.csv,ejecuciones/validacion-preproc-completo-cplex-ute/resultados/instance001_estructurado_matricial_postprocesado.csv,ejecuciones/validacion-preproc-completo-cplex-ute/logs/instance001_estructurado_matricial.log
instance001,ruiz,OK,0,3601.415353308,29.23485022236545,222277.17253689616,,TIME_LIMIT,157294.77406722572,391553.0,25404827.0,0.04,23763.0,16561.0,57555.0,20361.0,14505.0,50617.0,14.316374195177376,12.414709256687399,12.054556511163236,0,,,,,,,,,,,,,,18380000000000.0,565500000000.0,1.0,1.477,11.0,3612.415353308,,,,11.0,0.0030543547247046067,,,,,,,0.030767138193688794,,,,,1944468.0,1.0,1780505551.0,1944468.0,,8.24401028e-07,15070143122844.0,0.0,1.0,0.0,0.0,0.0,,OK,REVISAR,6.6754873842001e-06,4.0578106846878e-11,1.7462298274040222e-10,93677315.9718348,4.0578106846878e-11,3.31171775069263e-09,2.40106601268053e-10,8.00937414169312e-08,9.50181856751442e-07,347426.542614239,3.46191035879055,10680697.9073015,93677315.9718348,1.9073486328125e-06,1.86264514923096e-09,6.6754873842001e-06,3.25146697760514e-11,2.27373675443232e-13,4.0578106846878e-11,3.0,0.0,2.0,0.0,0.0,0.0,0.0,222277.172536896,30.2978405131281,6017.60146691964,93677315.9718348,3.25146697760514e-11,2.27373675443232e-13,4.0578106846878e-11,818.0,300.0,1172.0,0.0,0.0,0.0,0.0,222277.172536896,222277.172536896,,,,,N/D,,,ejecuciones/validacion-preproc-completo-cplex-ute/resultados/instance001_ruiz.csv,ejecuciones/validacion-preproc-completo-cplex-ute/resultados/instance001_ruiz_postprocesado.csv,ejecuciones/validacion-preproc-completo-cplex-ute/logs/instance001_ruiz.log
instance001,ruiz_columnas,OK,0,3602.053239319,35.24052036099481,229711.89525361118,,TIME_LIMIT,148760.22803513522,129218.0,10284992.0,0.04,23763.0,16561.0,57555.0,20151.0,14295.0,50617.0,15.20010099734882,13.682748626290683,12.054556511163236,0,,,,,,,,,,,,,,18380000000000.0,51940000000.0,1.0,1.477,106.0,3708.053239319,,,,106.0,0.029427660547305022,,,,,,,0.002825897714907508,,,,,2957450.0,1.0,1780509313.0,2957450.0,,1.175336736e-06,53219838209144.0,0.0,0.0,1.0,0.0,0.0,,OK,REVISAR,2.67033465206623e-05,1.94120275409659e-11,1.7462298274040222e-10,15211545.9733077,1.94120275409659e-11,1.86699023442757e-08,9.31322574615479e-10,6.86869025230412e-07,2.67033465206623e-05,54162.2825522626,6.35174120388704,1920458.30680708,15211545.9733077,1.9073486328125e-06,1.16415321826935e-10,2.67033465206623e-05,5.36441802978516e-07,1.76441972143948e-10,1.94120275409659e-11,3.0,0.0,83.0,0.0,0.0,0.0,0.0,229711.895253611,434.876840858324,6362.22724037152,15211545.9733077,5.36441802978516e-07,6.82121026329696e-13,1.94120275409659e-11,1876.0,358.0,1218.0,0.0,0.0,0.0,0.0,229711.895253611,229711.895253611,,,,,N/D,,,ejecuciones/validacion-preproc-completo-cplex-ute/resultados/instance001_ruiz_columnas.csv,ejecuciones/validacion-preproc-completo-cplex-ute/resultados/instance001_ruiz_columnas_postprocesado.csv,ejecuciones/validacion-preproc-completo-cplex-ute/logs/instance001_ruiz_columnas.log
instance002,base,OK,0,3602.217395204,4.141930762848218,1094229.5785538969,,TIME_LIMIT,1048907.3470235886,718228.0,32102472.0,0.04,23763.0,16561.0,57555.0,20305.0,14474.0,50490.0,14.552034675756428,12.601896020771692,12.275215011727912,0,,,,,,,,,,,,,,,,,,0.0,3602.217395204,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,2104583.655207,0.983252,1780513012.903759,2104583.655207,1.0,2.32710291e-07,2.7712596636229735e+22,0.001603,0.866666,0.132782,0.000396,0.000156,,BASE,BASE,,,,,,1.90409103859478e-09,4.65661287307739e-10,5.77419996261597e-08,6.50994479656219e-07,549945.916715183,2.66659349288617,16749066.1193212,114246476.481718,7.27595761418343e-12,0.0,6.50994479656219e-07,2.8421709430404e-14,2.27373675443232e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094229.5785539,33.2544996445657,8460.61218346894,114246476.481718,2.8421709430404e-14,2.27373675443232e-13,0.0,269.0,384.0,1087.0,0.0,0.0,0.0,0.0,1094229.5785539,,,,,,BASE,0.0,0,ejecuciones/validacion-preproc-completo-cplex-ute/resultados/instance002_base.csv,ejecuciones/validacion-preproc-completo-cplex-ute/resultados/instance002_base_postprocesado.csv,ejecuciones/validacion-preproc-completo-cplex-ute/logs/instance002_base.log
instance002,estructurado,OK,0,3612.110650024,3.718962190605416,1094192.9432161513,,TIME_LIMIT,1053500.32136567,859938.0,27036564.0,0.04,23763.0,16561.0,57555.0,20303.0,14472.0,50490.0,14.560451121491393,12.613972586196486,12.275215011727912,0,,,,,,,,,,,,,,22530000000000.0,576300000000.0,1.0,1.5,0.0,3612.110650024,0.997261087552804,0.997261087552804,0.997261087552804,0.0,0.0,0.4229685722428016,-36.63533774553798,-3.34804856892593e-05,,,,0.025579227696404794,,,,,2167894.0,1.0,1780516729.0,2167894.0,0.9707963835902494,2.51290656e-07,9748775881468.0,0.0,1.0,0.0,0.0,0.0,3.517813941954127e-10,OK,REVISAR,1.72937288880348e-05,0.0,1.3969838619232178e-09,114246476.481718,0.0,3.11947640514031e-09,4.65661287307739e-10,5.82076609134674e-08,4.27942723035812e-07,549914.100810729,2.66659349288617,16749071.0043728,114246476.481718,1.39900102048233e-10,0.0,1.72937288880348e-05,4.44089209850063e-16,2.27373675443232e-13,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1094192.94321615,33.2544996445661,8460.61218346894,114246476.481718,4.44089209850063e-16,2.27373675443232e-13,0.0,269.0,384.0,1088.0,0.0,0.0,0.0,0.0,1094192.94321615,1094192.94321615,-36.635337746934965,3.3480485690535985e-05,mejora,4592.974342081463,N/D,,,ejecuciones/validacion-preproc-completo-cplex-ute/resultados/instance002_estructurado.csv,ejecuciones/validacion-preproc-completo-cplex-ute/resultados/instance002_estructurado_postprocesado.csv,ejecuciones/validacion-preproc-completo-cplex-ute/logs/instance002_estructurado.log
instance002,estructurado_matricial,OK,0,3603.702476966,2.747143965620725,1094191.7805177746,,TIME_LIMIT,1064132.7570469626,1148965.0,32903950.0,0.04,23763.0,16561.0,57555.0,20297.0,14466.0,50490.0,14.585700458696293,12.650202282470865,12.275215011727912,0,,,,,,,,,,,,,,22530000000000.0,32420000000000.0,1.0,1.0,0.0,3603.702476966,0.9995879011179495,0.9995879011179495,0.9995879011179495,0.0,0.0,1.3947867972274928,-37.79803612222895,-3.454305829694512e-05,,,,1.4389702618730582,,,,,2841793.0,1.0,1780837762.0,2841793.0,0.7405830245929244,2.27302472e-07,7237114838091.0,0.0,1.0,0.0,0.0,0.0,2.6114892563440425e-10,REVISAR,REVISAR,0.00129497144371271,5.51558798633778e-13,4.6566128730773926e-09,114246476.481718,5.51558798633778e-13,5.77365074972259e-08,2.3283064365387e-10,6.89178705215454e-08,0.00129497144371271,549899.245597455,2.66659349288617,16749034.5540028,114246476.481718,8.23313268279073e-10,0.0,0.00129497144371271,5.51558798633778e-13,2.27373675443232e-13,5.51558798633778e-13,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1094191.78051777,33.2544996445661,8460.61218346894,114246476.481718,5.51558798633778e-13,2.27373675443232e-13,5.51558798633778e-13,269.0,384.0,1087.0,0.0,0.0,0.0,0.0,1094191.78051777,1094191.78051777,-37.79803612688556,3.454305830120073e-05,mejora,15225.410023374017,N/D,,,ejecuciones/validacion-preproc-completo-cplex-ute/resultados/instance002_estructurado_matricial.csv,ejecuciones/validacion-preproc-completo-cplex-ute/resultados/instance002_estructurado_matricial_postprocesado.csv,ejecuciones/validacion-preproc-completo-cplex-ute/logs/instance002_estructurado_matricial.log
instance002,ruiz,OK,0,62.104573102,0.0,58575922.93970585,,OPTIMAL,58575922.93970585,4670.0,434721.0,0.04,23763.0,16561.0,57555.0,20303.0,14472.0,50490.0,14.560451121491393,12.613972586196486,12.275215011727912,0,,,,,,,,,,,,,,22530000000000.0,576300000000.0,1.0,1.479,12.0,74.104573102,58.002449985249065,58.002449985249065,48.609920338462615,12.0,0.1932224858915189,4.141930762848218,57481693.36115195,52.531657421578885,,,,0.025579227696404794,,,,,54284.0,1.0,1780524231.0,54284.0,38.769870591831854,2.1216941e-08,685547373079.0,0.0,1.0,0.0,0.0,0.0,2.473775309033141e-11,OK,REVISAR,9.5367431640625e-07,3.58570880058382e-13,5.21540641784668e-08,44589930.9533052,3.58570880058382e-13,3.70946733326583e-09,4.54747350886464e-13,1.19325704872608e-07,9.5367431640625e-07,250154.763947411,3.25295065482362,8385826.16828969,44589930.9533052,4.12170297892089e-12,4.65661287307739e-10,9.5367431640625e-07,8.79992967384169e-10,3.96146901948669e-08,3.58570880058382e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58575922.9397059,986.937458302178,27701.8220190224,44589930.9533052,8.79992967384169e-10,3.96146901948669e-08,3.58570880058382e-13,1361.0,347.0,980.0,0.0,0.0,0.0,0.0,58575922.9397059,58575922.9397059,57481693.361152,52.53165742157893,empeora,57527015.59268226,N/D,,,ejecuciones/validacion-preproc-completo-cplex-ute/resultados/instance002_ruiz.csv,ejecuciones/validacion-preproc-completo-cplex-ute/resultados/instance002_ruiz_postprocesado.csv,ejecuciones/validacion-preproc-completo-cplex-ute/logs/instance002_ruiz.log
instance002,ruiz_columnas,OK,0,6.736510906,0.0,1095645.982373752,,OPTIMAL,1095645.982373752,0.0,21532.0,0.04,23763.0,16561.0,57555.0,20184.0,14353.0,50490.0,15.061229642721878,13.33252822897168,12.275215011727912,0,,,,,,,,,,,,,,22530000000000.0,40090000000.0,1.0,1.479,111.0,117.736510906,534.7304332270311,534.7304332270311,30.59558472970194,111.0,16.477372567026613,4.141930762848218,1416.4038198550697,0.001294430206983574,,,,0.001779405237461163,,,,,7054.0,,,7054.0,298.3532258586618,,4160060.0,0.0,1.0,0.0,0.0,0.0,1.5011440662191124e-16,OK,REVISAR,2.11410224437714e-05,0.0,1.862645149230957e-09,18992151.4946731,0.0,1.05292493647455e-08,1.62981450557709e-09,2.39205546677113e-07,9.79751348495483e-07,91611.8610879071,7.47669032553989,2935127.97183191,18992151.4946731,9.74083421919128e-11,5.82076609134674e-11,2.11410224437714e-05,5.96123512198285e-16,3.63797880709171e-12,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,1095645.98237375,1022.59941698936,8782.0985698711,18992151.4946731,0.0,3.63797880709171e-12,0.0,1196.0,486.0,1115.0,0.0,0.0,0.0,0.0,1095645.98237375,1095645.98237375,1416.403819853207,0.0012944302069818718,empeora,46738.63535016333,N/D,,,ejecuciones/validacion-preproc-completo-cplex-ute/resultados/instance002_ruiz_columnas.csv,ejecuciones/validacion-preproc-completo-cplex-ute/resultados/instance002_ruiz_columnas_postprocesado.csv,ejecuciones/validacion-preproc-completo-cplex-ute/logs/instance002_ruiz_columnas.log
