instancia,variante,status,rc,tiempo_solver_s,gap_pct,objetivo_solver,objetivo_post,status_solver,best_bound,nodos_explorados,iter_simplex,presolve_time_s,rows_cargadas,cols_cargadas,nz_cargados,rows_presolved,cols_presolved,nz_presolved,reduccion_rows_pct,reduccion_cols_pct,reduccion_nz_pct,solver_warnings,solver_warnings_txt,matrix_min,matrix_max,objective_min,objective_max,rhs_min,rhs_max,bounds_min,bounds_max,matrix_range_ratio_vs_base,objective_range_ratio_vs_base,rhs_range_ratio_vs_base,bounds_range_ratio_vs_base,kappa_antes,kappa_despues,rho_antes,rho_despues,tiempo_preprocesamiento_s,tiempo_total_s,speedup_vs_base,speedup_solver_vs_base,speedup_total_vs_base,overhead_preprocesamiento_vs_base,ratio_preproc_solver,gap_delta_vs_base,obj_solver_delta_vs_base,obj_solver_rel_delta_vs_base,obj_post_delta_vs_base,obj_post_rel_delta_vs_base,matrix_kappa_ratio_vs_base,kappa_proxy_ratio,kappa_solver,kappa_solver_exact,kappa_solver_ratio_vs_base,work_units,dettime_ticks,root_gap,root_time,tiempo_determinista,speedup_det_vs_base,primal_integral,kappa_arbol_max,kappa_attention,kappa_stable_frac,kappa_suspicious_frac,kappa_unstable_frac,kappa_illposed_frac,kappa_arbol_max_ratio_vs_base,mip_equivalente,post_factible,solver_max_viol,solver_int_viol,solver_obj_diff,post_max_viol,post_int_viol,verif_solver_avg_viol,verif_solver_p95_viol,verif_solver_p99_viol,verif_solver_max_viol_rel,verif_post_avg_viol,verif_post_p95_viol,verif_post_p99_viol,verif_post_max_viol_rel,verif_solver_max_le,verif_solver_max_ge,verif_solver_max_eq,verif_solver_max_lb,verif_solver_max_ub,verif_solver_max_int,verif_solver_viol_le_count,verif_solver_viol_ge_count,verif_solver_viol_eq_count,verif_solver_viol_lb_count,verif_solver_viol_ub_count,verif_solver_viol_int_count,verif_solver_missing,verif_solver_obj_original,verif_post_max_le,verif_post_max_ge,verif_post_max_eq,verif_post_max_lb,verif_post_max_ub,verif_post_max_int,verif_post_viol_le_count,verif_post_viol_ge_count,verif_post_viol_eq_count,verif_post_viol_lb_count,verif_post_viol_ub_count,verif_post_viol_int_count,verif_post_missing,verif_post_obj_original,obj_original_variante,abs_obj_diff_vs_base,rel_obj_diff_vs_base,sentido_obj_vs_base,best_bound_delta_vs_base,equivalente_vs_base,max_diff_post_csv,diffs_post_csv,csv,csv_post,log
instance001,base,OK,0,3600.981660704,13.388634490602517,222540.99617440684,222541.0,TIME_LIMIT,192745.79560486978,270801.0,70707923.0,0.43,23763.0,16561.0,57555.0,20118.0,14390.0,52066.0,15.33897235197576,13.109111768613007,9.536964642515855,4,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs | max constraint violation (1.3942e-06) exceeds tolerance,0.0007,10000000000.0,0.0004,100.0,5.0,10000000000.0,1.0,10000000000.0,,,,,,,,,0.0,3600.981660704,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,498033601.598117,,,6367.093951,,0.444601,23.369991,6367.093951,1.0,0.182717391829876,,,,,,,,BASE,BASE,,,,,,1.86861572959615e-09,5.6843418860808e-14,6.46151602268228e-08,1.39418989419937e-06,374027.46542718,3.62887970675787,7855006.05113908,96728468.1201318,3.63797880709171e-12,0.0,1.39418989419937e-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,222540.996174407,27.3592741453706,6017.60146691959,96728468.1201318,0.0,0.0,0.0,816.0,304.0,1156.0,0.0,0.0,0.0,0.0,222540.996174407,,,,,,BASE,0.0,0,ejecuciones/validacion-preproc-completo-ute-gap0001/resultados/instance001_base.csv,ejecuciones/validacion-preproc-completo-ute-gap0001/resultados/instance001_base_postprocesado.csv,ejecuciones/validacion-preproc-completo-ute-gap0001/logs/instance001_base.log
instance001,estructurado,OK,0,3600.985481129,12.73494432907117,222223.22743765896,222223.0,TIME_LIMIT,193923.22313720788,197946.0,39259002.0,0.45,23763.0,16561.0,57555.0,20112.0,14392.0,51905.0,15.36422168918066,13.097035203188213,9.816697072365564,1,Model contains large bounds,9e-06,100000.0,0.0004,100.0,0.1,5000000.0,1.0,10000000000.0,0.0007777777777777777,1.0,0.025,1.0,18380000000000.0,565500000000.0,1.0,1.5,0.0,3600.985481129,0.9999989390612598,0.9999989390612598,0.9999989390612598,0.0,0.0,0.6536901615313457,-317.7687367478793,-0.001427911001615369,-318.0,-0.0014289501709797295,0.0007777777777777777,0.030767138193688794,13746769.0,,0.027602091416901647,5845.0,,0.0,23.0,5845.0,1.089323173823781,0.209096569629134,,,,,,,,OK,REVISAR,9.5367431640625e-06,0.0,2.9103830456733704e-11,93255907.9441971,0.0,5.26158820704846e-09,1.4210854715202e-13,1.19209289550781e-07,1.02790363598615e-06,341225.896808574,3.66255251887937,9621378.13083126,93255907.9441971,9.5367431640625e-06,1.86264514923096e-09,2.36881896853447e-06,0.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,222223.227437659,31.5598107798355,6017.60146691959,93255907.9441971,0.0,0.0,0.0,867.0,298.0,1167.0,0.0,0.0,0.0,0.0,222223.227437659,222223.227437659,-317.7687367478502,0.0014279110016152383,mejora,1177.4275323381007,DIFIERE,80210000.0,5065,ejecuciones/validacion-preproc-completo-ute-gap0001/resultados/instance001_estructurado.csv,ejecuciones/validacion-preproc-completo-ute-gap0001/resultados/instance001_estructurado_postprocesado.csv,ejecuciones/validacion-preproc-completo-ute-gap0001/logs/instance001_estructurado.log
instance001,estructurado_matricial,OK,0,3601.0421649,13.277094197593478,222388.32884903392,222541.0,TIME_LIMIT,192861.62094329373,251057.0,46961218.0,0.45,23763.0,16561.0,57555.0,20119.0,14391.0,52069.0,15.334764129108278,13.10307348590061,9.531752236990705,1,Model contains large bounds,9e-06,100000.0,0.0004,100.0,0.02,300000000.0,1.0,10000000000.0,0.0007777777777777777,1.0,7.5,1.0,18380000000000.0,30850000000000.0,1.0,1.0,0.0,3601.0421649,0.9999831981428627,0.9999831981428627,0.9999831981428627,0.0,0.0,0.111540293009039,-152.6673253729241,-0.0006860188819020011,0.0,0.0,0.0007777777777777777,1.6784548422198042,13574303.0,,0.027255797513344573,6118.0,,0.0,22.0,6118.0,1.0407149315135664,0.219199482045916,,,,,,,,OK,REVISAR,1.52587890625e-05,0.0,8.731149137020111e-11,98305748.8743338,0.0,4.56475046202699e-09,1.13686837721616e-13,1.06347724795342e-07,1.18790194392204e-06,364262.198232609,3.721451148178,9101561.65885855,98305748.8743338,1.52587890625e-05,1.86264514923096e-09,1.98185443878174e-06,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,222388.328849034,32.4870649184559,6017.60146691953,98305748.8743338,0.0,0.0,0.0,905.0,287.0,1156.0,0.0,0.0,0.0,0.0,222388.328849034,222388.328849034,-152.66732537283679,0.0006860188819016089,mejora,115.8253384239506,OK,0.0,0,ejecuciones/validacion-preproc-completo-ute-gap0001/resultados/instance001_estructurado_matricial.csv,ejecuciones/validacion-preproc-completo-ute-gap0001/resultados/instance001_estructurado_matricial_postprocesado.csv,ejecuciones/validacion-preproc-completo-ute-gap0001/logs/instance001_estructurado_matricial.log
instance001,ruiz,OK,0,3601.479811092,13.28969244694508,223508.38978626902,223508.0,TIME_LIMIT,193804.81219055466,174395.0,31334997.0,0.45,23763.0,16561.0,57555.0,20112.0,14392.0,51906.0,15.36422168918066,13.097035203188213,9.81495960385718,2,Model contains large bounds | max constraint violation (8.3362e-04) exceeds tolerance,9e-06,100000.0,0.0004,100.0,80.0,5000000.0,1.0,10000000000.0,0.0007777777777777777,1.0,3.125e-05,1.0,18380000000000.0,565500000000.0,1.0,1.477,12.0,3613.479811092,0.9998616817491339,0.9998616817491339,0.996541242502688,12.0,0.0033319637008770277,0.09894204365743597,967.3936118621787,0.004347035505781712,967.0,0.004345266714897479,0.0007777777777777777,0.030767138193688794,1329946856.0,,2.6703958362094347,5889.0,,,46.0,5889.0,1.0811842334861606,0.404755523428017,,,,,,,,REVISAR,REVISAR,0.00452041625976562,0.0,2.9103830456733704e-11,95033158.2616021,0.0,1.96077562533369e-07,2.5508484213786e-13,1.60187482833862e-07,1.9073486328125e-06,342402.672851585,3.37345388978057,9112445.36003543,95033158.2616021,0.00452041625976562,0.0,2.35089100897312e-06,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,223508.389786269,31.8206481228947,6017.60146691953,95033158.2616021,0.0,0.0,0.0,968.0,277.0,1156.0,0.0,0.0,0.0,0.0,223508.389786269,223508.389786269,967.3936118621496,0.0043470355057815815,empeora,1059.0165856848762,DIFIERE,154510000.0,5591,ejecuciones/validacion-preproc-completo-ute-gap0001/resultados/instance001_ruiz.csv,ejecuciones/validacion-preproc-completo-ute-gap0001/resultados/instance001_ruiz_postprocesado.csv,ejecuciones/validacion-preproc-completo-ute-gap0001/logs/instance001_ruiz.log
instance001,ruiz_columnas,OK,0,3602.1471271,42.093214929714655,271634.09038612095,271634.0,TIME_LIMIT,157294.56889751568,42486.0,13489943.0,0.14,23763.0,16561.0,57555.0,19924.0,14258.0,50733.0,16.155367588267474,13.906165086649358,11.853010164190774,1,max constraint violation (1.0509e-05) exceeds tolerance,2e-07,10000.0,1.0,300000.0,1.0,10000.0,0.1,100000000.0,0.0035,1.2,5e-06,0.1,18380000000000.0,51940000000.0,1.0,1.477,107.0,3709.1471271,0.9996764523061172,0.9996764523061172,0.9708381839033252,107.0,0.02970450573631707,-28.70458043911214,49093.09421171411,0.2206024735021835,49093.0,0.22060204636449013,0.0035,0.002825897714907508,12778355347.0,,25.657616887688153,4777.0,,,62.0,4777.0,1.3328645490893867,0.654939901477486,,,,,,,,OK,REVISAR,4.76674176752567e-06,6.9356980080169e-07,5.820766091346741e-11,14585890.8043353,6.9356980080169e-07,1.70083783287568e-08,9.31322574615479e-10,5.7306140661241e-07,1.28662213683128e-06,62463.044702429,7.96671451735022,2003209.44234943,14585890.8043353,1.9073486328125e-06,1.86264514923096e-09,4.76674176752567e-06,2.98023223876953e-08,2.27373675443232e-13,6.9356980080169e-07,3.0,0.0,100.0,0.0,0.0,0.0,0.0,271634.090386121,429.995807369269,6750.57038542797,14585890.8043353,2.98023223876953e-08,2.27373675443232e-13,6.9356980080169e-07,2253.0,390.0,1265.0,0.0,0.0,0.0,0.0,271634.090386121,271634.090386121,49093.09421171417,0.2206024735021838,empeora,-35451.2267073541,DIFIERE,971060000.0,8049,ejecuciones/validacion-preproc-completo-ute-gap0001/resultados/instance001_ruiz_columnas.csv,ejecuciones/validacion-preproc-completo-ute-gap0001/resultados/instance001_ruiz_columnas_postprocesado.csv,ejecuciones/validacion-preproc-completo-ute-gap0001/logs/instance001_ruiz_columnas.log
instance002,base,OK,0,682.09249692,0.055291852517397,1094187.6117155126,1094190.0,OPTIMAL,1093582.6151149792,25417.0,15975533.0,0.47,23763.0,16561.0,57555.0,20072.0,14325.0,52134.0,15.532550603879981,13.501600144918784,9.418816783945791,4,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs | max constraint violation (1.0438e-06) exceeds tolerance,0.0006,10000000000.0,0.0005,100.0,5.0,10000000000.0,1.0,10000000000.0,,,,,,,,,0.0,682.09249692,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,216192932.711346,,,1129.905479,,0.085979,35.635209,1129.905479,1.0,0.031123878185279,,,,,,,,BASE,BASE,,,,,,2.02956501298124e-09,6.03961325396085e-14,6.14672899246216e-08,1.0437797755003e-06,549905.458730962,2.66659349288616,16749034.554003,114246476.481718,3.63797880709171e-12,0.0,1.0437797755003e-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1094187.61171551,33.2544996445658,8460.61218346888,114246476.481718,0.0,0.0,0.0,269.0,384.0,1088.0,0.0,0.0,0.0,0.0,1094187.61171551,,,,,,BASE,0.0,0,ejecuciones/validacion-preproc-completo-ute-gap0001/resultados/instance002_base.csv,ejecuciones/validacion-preproc-completo-ute-gap0001/resultados/instance002_base_postprocesado.csv,ejecuciones/validacion-preproc-completo-ute-gap0001/logs/instance002_base.log
instance002,estructurado,OK,0,954.916016416,1.49e-13,1094187.6117155121,1094190.0,OPTIMAL,1094187.6117155105,51635.0,39099840.0,0.47,23763.0,16561.0,57555.0,20046.0,14325.0,51816.0,15.64196439843454,13.501600144918784,9.971331769611675,1,Model contains large bounds,8e-06,100000.0,0.0005,100.0,0.2,5000000.0,1.0,10000000000.0,0.0007499999999999999,1.0,0.0125,1.0,22530000000000.0,576300000000.0,1.0,1.5,0.0,954.916016416,0.7142957969016335,0.7142957969016335,0.7142957969016335,0.0,0.0,0.055291852517248004,-4.656612873077393e-10,-4.2557718833761627e-16,0.0,0.0,0.0007499999999999999,0.025579227696404794,3339540.0,,0.015447035932755714,1875.0,,0.0,30.0,1875.0,0.6026162554666666,0.027534816819809,,,,,,,,OK,REVISAR,6.97746872901917e-06,0.0,2.0954757928848267e-09,114246476.481718,0.0,3.92121258899153e-09,4.65661287307739e-10,9.28103690966968e-08,6.97746872901917e-06,549905.458730964,2.66659349288618,16749034.554003,114246476.481718,5.0931703299284e-11,0.0,6.97746872901917e-06,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1094187.61171551,33.254499644566,8460.61218346894,114246476.481718,0.0,0.0,0.0,269.0,384.0,1091.0,0.0,0.0,0.0,0.0,1094187.61171551,1094187.61171551,-2.561137080192566e-09,2.3406745358568897e-15,igual,604.9966005312745,OK,0.0,0,ejecuciones/validacion-preproc-completo-ute-gap0001/resultados/instance002_estructurado.csv,ejecuciones/validacion-preproc-completo-ute-gap0001/resultados/instance002_estructurado_postprocesado.csv,ejecuciones/validacion-preproc-completo-ute-gap0001/logs/instance002_estructurado.log
instance002,estructurado_matricial,OK,0,791.47984654,0.0,1094187.6117155144,1094190.0,OPTIMAL,1094187.6117155144,42007.0,17088238.0,0.48,23763.0,16561.0,57555.0,20066.0,14324.0,52088.0,15.55779994108488,13.507638427631182,9.498740335331423,1,Model contains large bounds,8e-06,100000.0,0.0005,100.0,0.03,300000000.0,1.0,10000000000.0,0.0007499999999999999,1.0,5.0,1.0,22530000000000.0,32420000000000.0,1.0,1.0,0.0,791.47984654,0.8617938914070988,0.8617938914070988,0.8617938914070988,0.0,0.0,0.055291852517397,1.862645149230957e-09,1.702308753350465e-15,0.0,0.0,0.0007499999999999999,1.4389702618730582,13164643.0,,0.060893031214748435,1255.0,,0.0,20.0,1255.0,0.9003230908366534,0.040122828640452,,,,,,,,OK,REVISAR,3.03797423839569e-06,0.0,4.423782229423523e-09,114246476.481718,0.0,3.11175109130298e-09,8.88178419700125e-14,1.05304643511774e-07,2.11130827665329e-06,549905.458730962,2.66659349288615,16749034.5540027,114246476.481718,1.45519152283669e-11,1.86264514923096e-09,3.03797423839569e-06,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1094187.61171551,33.2544996445658,8460.61218346882,114246476.481718,0.0,0.0,0.0,269.0,384.0,1089.0,0.0,0.0,0.0,0.0,1094187.61171551,1094187.61171551,-2.561137080192566e-09,2.3406745358568897e-15,igual,604.9966005352326,OK,0.0,0,ejecuciones/validacion-preproc-completo-ute-gap0001/resultados/instance002_estructurado_matricial.csv,ejecuciones/validacion-preproc-completo-ute-gap0001/resultados/instance002_estructurado_matricial_postprocesado.csv,ejecuciones/validacion-preproc-completo-ute-gap0001/logs/instance002_estructurado_matricial.log
instance002,ruiz,OK,0,111.72062364,0.0,195429530.0185737,195430000.0,OPTIMAL,195429530.0185737,11018.0,717436.0,0.47,23763.0,16561.0,57555.0,20048.0,14327.0,51817.0,15.633547952699574,13.489523579493993,9.969594301103292,2,Model contains large bounds | max constraint violation (6.4803e-06) exceeds tolerance,8e-06,100000.0,0.0005,100.0,80.0,5000000.0,1.0,10000000000.0,0.0007499999999999999,1.0,3.125e-05,1.0,22530000000000.0,576300000000.0,1.0,1.479,12.0,123.72062364,6.105340936136579,6.105340936136579,5.513167302686254,12.0,0.10741078602163807,0.055291852517397,194335342.40685818,177.60696641608945,194335810.0,177.60700609583344,0.0007499999999999999,0.025579227696404794,3344463624074.0,,15469.810146566737,144.0,,,37.0,144.0,7.846565826388889,0.993878878072899,,,,,,,,OK,REVISAR,2.32458114624023e-05,1.26147117104789e-10,2.980232238769531e-07,52348039.4252772,1.26147117104789e-10,1.00357642768669e-08,9.9475983006414e-14,1.19209289550781e-07,2.67289578914642e-07,167211.216609506,0.255932410631759,9563389.24757869,52348039.4252772,2.32458114624023e-05,1.86264514923096e-09,9.5367431640625e-07,2.8532768143119e-09,0.0,1.26147117104789e-10,14.0,0.0,0.0,0.0,0.0,0.0,0.0,195429530.018574,46.5588747911961,8973.25225118303,52348039.4252772,2.8532768143119e-09,0.0,1.26147117104789e-10,618.0,272.0,807.0,0.0,0.0,0.0,0.0,195429530.018574,195429530.018574,194335342.40685847,177.60696641608973,empeora,194335947.4034587,DIFIERE,1133330000.0,7746,ejecuciones/validacion-preproc-completo-ute-gap0001/resultados/instance002_ruiz.csv,ejecuciones/validacion-preproc-completo-ute-gap0001/resultados/instance002_ruiz_postprocesado.csv,ejecuciones/validacion-preproc-completo-ute-gap0001/logs/instance002_ruiz.log
instance002,ruiz_columnas,OK,0,2087.018586618,0.041144757719079,1094187.6117141743,1094190.0,OPTIMAL,1093737.4108723423,31797.0,23791252.0,0.47,23763.0,16561.0,57555.0,19600.0,14026.0,50518.0,17.518831797331988,15.307046675925367,12.22656589349318,1,max constraint violation (1.3696e-05) exceeds tolerance,2e-07,8000.0,1.0,400000.0,1.0,8000.0,0.09,100000000.0,0.0024,2.0,4e-06,0.11111111111111112,22530000000000.0,40090000000.0,1.0,1.479,102.0,2189.018586618,0.32682626848346685,0.32682626848346685,0.31159739852817897,102.0,0.0488735465290179,0.014147094798318001,-1.3383105397224426e-06,-1.2231088392823092e-12,0.0,0.0,0.0024,0.001779405237461163,543699587.0,,2.514881407922481,2038.0,,0.0,36.0,2038.0,0.5544187826300294,0.023601703237581,,,,,,,,OK,REVISAR,4.8152869567275e-06,0.0,4.190951585769653e-09,18992151.4946732,0.0,1.05186348097907e-08,2.3283064365387e-09,2.45291739702226e-07,1.11176632344723e-06,91473.163653273,7.44590293869849,2931130.82566962,18992151.4946732,2.18278728425503e-11,0.0,4.8152869567275e-06,0.0,4.54747350886464e-13,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,1094187.61171417,981.138765832715,8781.20415880362,18992151.4946732,0.0,4.54747350886464e-13,0.0,1207.0,486.0,1110.0,0.0,0.0,0.0,0.0,1094187.61171417,1094187.61171417,-1.3425014913082123e-06,1.2269390339773478e-12,igual,154.7957573630847,DIFIERE,82.0,2233,ejecuciones/validacion-preproc-completo-ute-gap0001/resultados/instance002_ruiz_columnas.csv,ejecuciones/validacion-preproc-completo-ute-gap0001/resultados/instance002_ruiz_columnas_postprocesado.csv,ejecuciones/validacion-preproc-completo-ute-gap0001/logs/instance002_ruiz_columnas.log
