instancia,variante,status,rc,tiempo_solver_s,gap_pct,objetivo_solver,objetivo_post,status_solver,best_bound,nodos_explorados,iter_simplex,presolve_time_s,rows_cargadas,cols_cargadas,nz_cargados,rows_presolved,cols_presolved,nz_presolved,reduccion_rows_pct,reduccion_cols_pct,reduccion_nz_pct,solver_warnings,solver_warnings_txt,matrix_min,matrix_max,objective_min,objective_max,rhs_min,rhs_max,bounds_min,bounds_max,matrix_range_ratio_vs_base,objective_range_ratio_vs_base,rhs_range_ratio_vs_base,bounds_range_ratio_vs_base,kappa_antes,kappa_despues,rho_antes,rho_despues,tiempo_preprocesamiento_s,tiempo_total_s,speedup_vs_base,speedup_solver_vs_base,speedup_total_vs_base,overhead_preprocesamiento_vs_base,ratio_preproc_solver,gap_delta_vs_base,obj_solver_delta_vs_base,obj_solver_rel_delta_vs_base,obj_post_delta_vs_base,obj_post_rel_delta_vs_base,matrix_kappa_ratio_vs_base,kappa_proxy_ratio,kappa_solver,kappa_solver_exact,kappa_solver_ratio_vs_base,work_units,dettime_ticks,root_gap,root_time,tiempo_determinista,speedup_det_vs_base,primal_integral,kappa_arbol_max,kappa_attention,kappa_stable_frac,kappa_suspicious_frac,kappa_unstable_frac,kappa_illposed_frac,kappa_arbol_max_ratio_vs_base,mip_equivalente,post_factible,solver_max_viol,solver_int_viol,solver_obj_diff,post_max_viol,post_int_viol,verif_solver_avg_viol,verif_solver_p95_viol,verif_solver_p99_viol,verif_solver_max_viol_rel,verif_post_avg_viol,verif_post_p95_viol,verif_post_p99_viol,verif_post_max_viol_rel,verif_solver_max_le,verif_solver_max_ge,verif_solver_max_eq,verif_solver_max_lb,verif_solver_max_ub,verif_solver_max_int,verif_solver_viol_le_count,verif_solver_viol_ge_count,verif_solver_viol_eq_count,verif_solver_viol_lb_count,verif_solver_viol_ub_count,verif_solver_viol_int_count,verif_solver_missing,verif_solver_obj_original,verif_post_max_le,verif_post_max_ge,verif_post_max_eq,verif_post_max_lb,verif_post_max_ub,verif_post_max_int,verif_post_viol_le_count,verif_post_viol_ge_count,verif_post_viol_eq_count,verif_post_viol_lb_count,verif_post_viol_ub_count,verif_post_viol_int_count,verif_post_missing,verif_post_obj_original,obj_original_variante,abs_obj_diff_vs_base,rel_obj_diff_vs_base,sentido_obj_vs_base,best_bound_delta_vs_base,equivalente_vs_base,max_diff_post_csv,diffs_post_csv,csv,csv_post,log
instance001,base,OK,0,3600.965268991,13.901835222591583,222573.53762170687,222574.0,TIME_LIMIT,191631.7311724443,210858.0,52841301.0,0.43,23763.0,16561.0,57555.0,20118.0,14390.0,52066.0,15.33897235197576,13.109111768613007,9.536964642515855,3,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs,0.0007,10000000000.0,0.0004,100.0,5.0,10000000000.0,1.0,10000000000.0,,,,,,,,,0.0,3600.965268991,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,498034178.185427,,,4991.669714,,0.444601,24.024584,4991.669714,1.0,0.192746097856382,,,,,,,,BASE,BASE,,,,,,2.04046290185413e-09,5.6843418860808e-14,6.33299350738525e-08,9.5367431640625e-07,374023.86887866,3.63892505005547,7841103.55319092,96728515.4691713,3.63797880709171e-12,0.0,9.5367431640625e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222573.537621707,27.3592741453706,6017.60146691959,96728515.4691713,0.0,0.0,0.0,815.0,304.0,1155.0,0.0,0.0,0.0,0.0,222573.537621707,,,,,,BASE,0.0,0,ejecuciones/validacion-preproc-completo-ute/resultados/instance001_base.csv,ejecuciones/validacion-preproc-completo-ute/resultados/instance001_base_postprocesado.csv,ejecuciones/validacion-preproc-completo-ute/logs/instance001_base.log
instance001,estructurado,OK,0,3600.952746075,13.726035703651188,222395.0871338713,222395.0,TIME_LIMIT,191869.05807070996,144226.0,27926474.0,0.45,23763.0,16561.0,57555.0,20112.0,14392.0,51905.0,15.36422168918066,13.097035203188213,9.816697072365564,1,Model contains large bounds,9e-06,100000.0,0.0004,100.0,0.1,5000000.0,1.0,10000000000.0,0.0007777777777777777,1.0,0.025,1.0,18380000000000.0,565500000000.0,1.0,1.5,0.0,3600.952746075,1.0000034776674072,1.0000034776674072,1.0000034776674072,0.0,0.0,0.17579951894039425,-178.45048783556558,-0.0008017596779131298,-179.0,-0.0008042269088033643,0.0007777777777777777,0.030767138193688794,10025820.0,,0.020130787080775828,4628.0,,0.0,23.0,4628.0,1.0785803184961105,0.221910748022887,,,,,,,,OK,REVISAR,3.814697265625e-06,0.0,2.9103830456733704e-10,93353961.1096597,0.0,4.92789297822799e-09,1.84741111297626e-13,1.19209289550781e-07,1.81910581886768e-06,341032.969620534,3.66325421920359,9621378.13083119,93353961.1096597,1.9073486328125e-06,1.86264514923096e-09,3.814697265625e-06,0.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,222395.087133871,34.3641891502969,6017.60146691959,93353961.1096597,0.0,0.0,0.0,866.0,298.0,1165.0,0.0,0.0,0.0,0.0,222395.087133871,222395.087133871,-178.45048783585662,0.0008017596779144375,mejora,237.3268982656591,DIFIERE,85900000.0,5078,ejecuciones/validacion-preproc-completo-ute/resultados/instance001_estructurado.csv,ejecuciones/validacion-preproc-completo-ute/resultados/instance001_estructurado_postprocesado.csv,ejecuciones/validacion-preproc-completo-ute/logs/instance001_estructurado.log
instance001,estructurado_matricial,OK,0,3601.060982776,13.296717451238841,222388.32884903392,222574.0,TIME_LIMIT,192817.981117446,249980.0,46694004.0,0.46,23763.0,16561.0,57555.0,20119.0,14391.0,52069.0,15.334764129108278,13.10307348590061,9.531752236990705,1,Model contains large bounds,9e-06,100000.0,0.0004,100.0,0.02,300000000.0,1.0,10000000000.0,0.0007777777777777777,1.0,7.5,1.0,18380000000000.0,30850000000000.0,1.0,1.0,0.0,3601.060982776,0.9999734206708918,0.9999734206708918,0.9999734206708918,0.0,0.0,0.6051177713527416,-185.20877267295145,-0.0008321239562078499,0.0,0.0,0.0007777777777777777,1.6784548422198042,13574303.0,,0.027255765958588578,6096.0,,0.0,22.0,6096.0,0.8188434570209974,0.219642575781699,,,,,,,,OK,REVISAR,1.52587890625e-05,0.0,8.731149137020111e-11,98305748.8743338,0.0,4.56475046202699e-09,1.13686837721616e-13,1.06347724795342e-07,1.18790194392204e-06,364262.198232609,3.721451148178,9101561.65885855,98305748.8743338,1.52587890625e-05,1.86264514923096e-09,1.98185443878174e-06,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,222388.328849034,32.4870649184559,6017.60146691953,98305748.8743338,0.0,0.0,0.0,905.0,287.0,1156.0,0.0,0.0,0.0,0.0,222388.328849034,222388.328849034,-185.20877267286414,0.0008321239562074577,mejora,1186.2499450017058,OK,0.0,0,ejecuciones/validacion-preproc-completo-ute/resultados/instance001_estructurado_matricial.csv,ejecuciones/validacion-preproc-completo-ute/resultados/instance001_estructurado_matricial_postprocesado.csv,ejecuciones/validacion-preproc-completo-ute/logs/instance001_estructurado_matricial.log
instance001,ruiz,OK,0,3600.925245906,18.79031034362354,232808.1735328303,232808.0,TIME_LIMIT,189062.79522068985,120106.0,17057364.0,0.45,23763.0,16561.0,57555.0,20112.0,14392.0,51906.0,15.36422168918066,13.097035203188213,9.81495960385718,2,Model contains large bounds | max constraint violation (3.0786e-05) exceeds tolerance,9e-06,100000.0,0.0004,100.0,80.0,5000000.0,1.0,10000000000.0,0.0007777777777777777,1.0,3.125e-05,1.0,18380000000000.0,565500000000.0,1.0,1.477,12.0,3612.925245906,1.0000111146669999,1.0000111146669999,0.996689669422706,12.0,0.003332476844289717,-4.888475121031956,10234.63591112342,0.04598316592567502,10234.0,0.04598021332231078,0.0007777777777777777,0.030767138193688794,478103324.0,,0.9599809509900615,4758.0,,,48.0,4758.0,1.0491109108869272,0.449448454624657,,,,,,,,OK,REVISAR,4.93414700031281e-06,0.0,2.9103830456733704e-10,114460649.419843,0.0,5.73808443460469e-09,2.17781348510465e-13,1.62757933139803e-07,1.08033418655396e-06,383137.465184434,4.35978864566583,9578445.75166824,114460649.419843,1.9073486328125e-06,1.86264514923096e-09,4.93414700031281e-06,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,232808.17353283,45.395611476931,5383.03458190442,114460649.419843,0.0,0.0,0.0,1143.0,292.0,1150.0,0.0,0.0,0.0,0.0,232808.17353283,232808.17353283,10234.635911123129,0.04598316592567372,empeora,-2568.935951754451,DIFIERE,548550000.0,6606,ejecuciones/validacion-preproc-completo-ute/resultados/instance001_ruiz.csv,ejecuciones/validacion-preproc-completo-ute/resultados/instance001_ruiz_postprocesado.csv,ejecuciones/validacion-preproc-completo-ute/logs/instance001_ruiz.log
instance001,ruiz_columnas,OK,0,3602.1275299,46.0960577709597,271634.09038612095,271634.0,TIME_LIMIT,146421.48315611374,42427.0,13429767.0,0.14,23763.0,16561.0,57555.0,19924.0,14258.0,50733.0,16.155367588267474,13.906165086649358,11.853010164190774,1,max constraint violation (1.0509e-05) exceeds tolerance,2e-07,10000.0,1.0,300000.0,1.0,10000.0,0.1,100000000.0,0.0035,1.2,5e-06,0.1,18380000000000.0,51940000000.0,1.0,1.477,107.0,3709.1275299,0.9996773404330211,0.9996773404330211,0.9708388940425793,107.0,0.029704667342238842,-32.19422254836812,49060.55276441408,0.22042401486109717,49060.0,0.2204210734407433,0.0035,0.002825897714907508,12778355347.0,,25.65758718318804,4276.0,,,65.0,4276.0,1.167368969597755,0.814018338689715,,,,,,,,OK,REVISAR,4.76674176752567e-06,6.9356980080169e-07,5.820766091346741e-11,14585890.8043353,6.9356980080169e-07,1.70083783287568e-08,9.31322574615479e-10,5.7306140661241e-07,1.28662213683128e-06,62463.044702429,7.96671451735022,2003209.44234943,14585890.8043353,1.9073486328125e-06,1.86264514923096e-09,4.76674176752567e-06,2.98023223876953e-08,2.27373675443232e-13,6.9356980080169e-07,3.0,0.0,100.0,0.0,0.0,0.0,0.0,271634.090386121,429.995807369269,6750.57038542797,14585890.8043353,2.98023223876953e-08,2.27373675443232e-13,6.9356980080169e-07,2253.0,390.0,1265.0,0.0,0.0,0.0,0.0,271634.090386121,271634.090386121,49060.55276441414,0.22042401486109742,empeora,-45210.24801633056,DIFIERE,971150000.0,8060,ejecuciones/validacion-preproc-completo-ute/resultados/instance001_ruiz_columnas.csv,ejecuciones/validacion-preproc-completo-ute/resultados/instance001_ruiz_columnas_postprocesado.csv,ejecuciones/validacion-preproc-completo-ute/logs/instance001_ruiz_columnas.log
instance002,base,OK,0,509.79350333,0.97296725357816,1094187.6117155126,1094190.0,OPTIMAL,1083541.5245608117,13048.0,5543166.0,0.47,23763.0,16561.0,57555.0,20072.0,14325.0,52134.0,15.532550603879981,13.501600144918784,9.418816783945791,4,Model contains large bounds | Model contains large matrix coefficient range | Model contains large rhs | max constraint violation (1.0438e-06) exceeds tolerance,0.0006,10000000000.0,0.0005,100.0,5.0,10000000000.0,1.0,10000000000.0,,,,,,,,,0.0,509.79350333,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,216192932.711346,,,657.162883,,0.085979,38.38647,657.162883,1.0,0.043879958798724,,,,,,,,BASE,BASE,,,,,,2.02956501298124e-09,6.03961325396085e-14,6.14672899246216e-08,1.0437797755003e-06,549905.458730962,2.66659349288616,16749034.554003,114246476.481718,3.63797880709171e-12,0.0,1.0437797755003e-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1094187.61171551,33.2544996445658,8460.61218346888,114246476.481718,0.0,0.0,0.0,269.0,384.0,1088.0,0.0,0.0,0.0,0.0,1094187.61171551,,,,,,BASE,0.0,0,ejecuciones/validacion-preproc-completo-ute/resultados/instance002_base.csv,ejecuciones/validacion-preproc-completo-ute/resultados/instance002_base_postprocesado.csv,ejecuciones/validacion-preproc-completo-ute/logs/instance002_base.log
instance002,estructurado,OK,0,811.148550968,0.930086945543991,1094187.6117155121,1094190.0,OPTIMAL,1084010.7155791866,38394.0,21867928.0,0.48,23763.0,16561.0,57555.0,20046.0,14325.0,51816.0,15.64196439843454,13.501600144918784,9.971331769611675,1,Model contains large bounds,8e-06,100000.0,0.0005,100.0,0.2,5000000.0,1.0,10000000000.0,0.0007499999999999999,1.0,0.0125,1.0,22530000000000.0,576300000000.0,1.0,1.5,0.0,811.148550968,0.6284835283520238,0.6284835283520238,0.6284835283520238,0.0,0.0,0.04288030803416909,-4.656612873077393e-10,-4.2557718833761627e-16,0.0,0.0,0.0007499999999999999,0.025579227696404794,3339540.0,,0.015447035932755714,1268.0,,0.0,32.0,1268.0,0.5182672578864354,0.034479781583799,,,,,,,,OK,REVISAR,6.97746872901917e-06,0.0,2.0954757928848267e-09,114246476.481718,0.0,3.92121258899153e-09,4.65661287307739e-10,9.28103690966968e-08,6.97746872901917e-06,549905.458730964,2.66659349288618,16749034.554003,114246476.481718,5.0931703299284e-11,0.0,6.97746872901917e-06,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1094187.61171551,33.254499644566,8460.61218346894,114246476.481718,0.0,0.0,0.0,269.0,384.0,1091.0,0.0,0.0,0.0,0.0,1094187.61171551,1094187.61171551,-2.561137080192566e-09,2.3406745358568897e-15,igual,469.1910183748696,OK,0.0,0,ejecuciones/validacion-preproc-completo-ute/resultados/instance002_estructurado.csv,ejecuciones/validacion-preproc-completo-ute/resultados/instance002_estructurado_postprocesado.csv,ejecuciones/validacion-preproc-completo-ute/logs/instance002_estructurado.log
instance002,estructurado_matricial,OK,0,789.310643677,0.0,1094187.6117155144,1094190.0,OPTIMAL,1094187.6117155144,42007.0,17088238.0,0.48,23763.0,16561.0,57555.0,20066.0,14324.0,52088.0,15.55779994108488,13.507638427631182,9.498740335331423,1,Model contains large bounds,8e-06,100000.0,0.0005,100.0,0.03,300000000.0,1.0,10000000000.0,0.0007499999999999999,1.0,5.0,1.0,22530000000000.0,32420000000000.0,1.0,1.0,0.0,789.310643677,0.6458718217141091,0.6458718217141091,0.6458718217141091,0.0,0.0,0.97296725357816,1.862645149230957e-09,1.702308753350465e-15,0.0,0.0,0.0007499999999999999,1.4389702618730582,13164643.0,,0.060893031214748435,1255.0,,0.0,20.0,1255.0,0.5236357633466135,0.040164455530668,,,,,,,,OK,REVISAR,3.03797423839569e-06,0.0,4.423782229423523e-09,114246476.481718,0.0,3.11175109130298e-09,8.88178419700125e-14,1.05304643511774e-07,2.11130827665329e-06,549905.458730962,2.66659349288615,16749034.5540027,114246476.481718,1.45519152283669e-11,1.86264514923096e-09,3.03797423839569e-06,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1094187.61171551,33.2544996445658,8460.61218346882,114246476.481718,0.0,0.0,0.0,269.0,384.0,1089.0,0.0,0.0,0.0,0.0,1094187.61171551,1094187.61171551,-2.561137080192566e-09,2.3406745358568897e-15,igual,10646.08715470275,OK,0.0,0,ejecuciones/validacion-preproc-completo-ute/resultados/instance002_estructurado_matricial.csv,ejecuciones/validacion-preproc-completo-ute/resultados/instance002_estructurado_matricial_postprocesado.csv,ejecuciones/validacion-preproc-completo-ute/logs/instance002_estructurado_matricial.log
instance002,ruiz,OK,0,128.844517466,0.0,195429530.0185737,195430000.0,OPTIMAL,195429530.0185737,11018.0,717436.0,0.47,23763.0,16561.0,57555.0,20048.0,14327.0,51817.0,15.633547952699574,13.489523579493993,9.969594301103292,2,Model contains large bounds | max constraint violation (6.4803e-06) exceeds tolerance,8e-06,100000.0,0.0005,100.0,80.0,5000000.0,1.0,10000000000.0,0.0007499999999999999,1.0,3.125e-05,1.0,22530000000000.0,576300000000.0,1.0,1.479,12.0,140.844517466,3.9566565450836997,3.9566565450836997,3.6195480839576493,12.0,0.09313551120377789,0.97296725357816,194335342.40685818,177.60696641608945,194335810.0,177.60700609583344,0.0007499999999999999,0.025579227696404794,3344463624074.0,,15469.810146566737,144.0,,,38.0,144.0,4.563631131944444,0.994586872405222,,,,,,,,OK,REVISAR,2.32458114624023e-05,1.26147117104789e-10,2.980232238769531e-07,52348039.4252772,1.26147117104789e-10,1.00357642768669e-08,9.9475983006414e-14,1.19209289550781e-07,2.67289578914642e-07,167211.216609506,0.255932410631759,9563389.24757869,52348039.4252772,2.32458114624023e-05,1.86264514923096e-09,9.5367431640625e-07,2.8532768143119e-09,0.0,1.26147117104789e-10,14.0,0.0,0.0,0.0,0.0,0.0,0.0,195429530.018574,46.5588747911961,8973.25225118303,52348039.4252772,2.8532768143119e-09,0.0,1.26147117104789e-10,618.0,272.0,807.0,0.0,0.0,0.0,0.0,195429530.018574,195429530.018574,194335342.40685847,177.60696641608973,empeora,194345988.4940129,DIFIERE,1133330000.0,7746,ejecuciones/validacion-preproc-completo-ute/resultados/instance002_ruiz.csv,ejecuciones/validacion-preproc-completo-ute/resultados/instance002_ruiz_postprocesado.csv,ejecuciones/validacion-preproc-completo-ute/logs/instance002_ruiz.log
instance002,ruiz_columnas,OK,0,1713.850785373,0.947994352305151,1094187.6117141743,1094190.0,OPTIMAL,1083814.7749515013,21963.0,10695388.0,0.46,23763.0,16561.0,57555.0,19600.0,14026.0,50518.0,17.518831797331988,15.307046675925367,12.22656589349318,1,max constraint violation (1.3696e-05) exceeds tolerance,2e-07,8000.0,1.0,400000.0,1.0,8000.0,0.09,100000000.0,0.0024,2.0,4e-06,0.11111111111111112,22530000000000.0,40090000000.0,1.0,1.479,102.0,1815.850785373,0.2974550104833364,0.2974550104833364,0.2807463627719178,102.0,0.05951509948854787,0.024972901273009107,-1.3383105397224426e-06,-1.2231088392823092e-12,0.0,0.0,0.0024,0.001779405237461163,543699587.0,,2.514881407922481,1305.0,,0.0,39.0,1305.0,0.5035730904214559,0.029445971722189,,,,,,,,OK,REVISAR,4.8152869567275e-06,0.0,4.190951585769653e-09,18992151.4946732,0.0,1.05186348097907e-08,2.3283064365387e-09,2.45291739702226e-07,1.11176632344723e-06,91473.163653273,7.44590293869849,2931130.82566962,18992151.4946732,2.18278728425503e-11,0.0,4.8152869567275e-06,0.0,4.54747350886464e-13,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,1094187.61171417,981.138765832715,8781.20415880362,18992151.4946732,0.0,4.54747350886464e-13,0.0,1207.0,486.0,1110.0,0.0,0.0,0.0,0.0,1094187.61171417,1094187.61171417,-1.3425014913082123e-06,1.2269390339773478e-12,igual,273.2503906895872,DIFIERE,82.0,2233,ejecuciones/validacion-preproc-completo-ute/resultados/instance002_ruiz_columnas.csv,ejecuciones/validacion-preproc-completo-ute/resultados/instance002_ruiz_columnas_postprocesado.csv,ejecuciones/validacion-preproc-completo-ute/logs/instance002_ruiz_columnas.log
