instancia,variante,status,rc,tiempo_solver_s,gap_pct,objetivo_solver,objetivo_post,status_solver,best_bound,nodos_explorados,iter_simplex,presolve_time_s,rows_cargadas,cols_cargadas,nz_cargados,rows_presolved,cols_presolved,nz_presolved,reduccion_rows_pct,reduccion_cols_pct,reduccion_nz_pct,solver_warnings,solver_warnings_txt,matrix_min,matrix_max,objective_min,objective_max,rhs_min,rhs_max,bounds_min,bounds_max,matrix_range_ratio_vs_base,objective_range_ratio_vs_base,rhs_range_ratio_vs_base,bounds_range_ratio_vs_base,kappa_antes,kappa_despues,rho_antes,rho_despues,tiempo_preprocesamiento_s,tiempo_total_s,speedup_vs_base,speedup_solver_vs_base,speedup_total_vs_base,overhead_preprocesamiento_vs_base,ratio_preproc_solver,gap_delta_vs_base,obj_solver_delta_vs_base,obj_solver_rel_delta_vs_base,obj_post_delta_vs_base,obj_post_rel_delta_vs_base,matrix_kappa_ratio_vs_base,kappa_proxy_ratio,kappa_solver,kappa_solver_exact,kappa_solver_ratio_vs_base,work_units,dettime_ticks,root_gap,root_time,tiempo_determinista,speedup_det_vs_base,primal_integral,kappa_arbol_max,kappa_attention,kappa_stable_frac,kappa_suspicious_frac,kappa_unstable_frac,kappa_illposed_frac,kappa_arbol_max_ratio_vs_base,mip_equivalente,post_factible,solver_max_viol,solver_int_viol,solver_obj_diff,post_max_viol,post_int_viol,verif_solver_avg_viol,verif_solver_p95_viol,verif_solver_p99_viol,verif_solver_max_viol_rel,verif_post_avg_viol,verif_post_p95_viol,verif_post_p99_viol,verif_post_max_viol_rel,verif_solver_max_le,verif_solver_max_ge,verif_solver_max_eq,verif_solver_max_lb,verif_solver_max_ub,verif_solver_max_int,verif_solver_viol_le_count,verif_solver_viol_ge_count,verif_solver_viol_eq_count,verif_solver_viol_lb_count,verif_solver_viol_ub_count,verif_solver_viol_int_count,verif_solver_missing,verif_solver_obj_original,verif_post_max_le,verif_post_max_ge,verif_post_max_eq,verif_post_max_lb,verif_post_max_ub,verif_post_max_int,verif_post_viol_le_count,verif_post_viol_ge_count,verif_post_viol_eq_count,verif_post_viol_lb_count,verif_post_viol_ub_count,verif_post_viol_int_count,verif_post_missing,verif_post_obj_original,obj_original_variante,abs_obj_diff_vs_base,rel_obj_diff_vs_base,sentido_obj_vs_base,best_bound_delta_vs_base,equivalente_vs_base,max_diff_post_csv,diffs_post_csv,csv,csv_post,log
caso01a,base,OK,0,1.669671646,0.035407548835434,-344348815.0876292,-353181000.0,OPTIMAL,-344470740.5624956,1.0,8446.0,0.24,14400.0,10800.0,35590.0,10911.0,8715.0,28973.0,24.229166666666668,19.305555555555557,18.592301208204553,3,Model contains large bounds | Model contains large matrix coefficients | Model contains large rhs,0.002,2000000000.0,0.003,3000.0,5.0,5000000000.0,1.0,10000000000.0,,,,,,,,,0.0,1.669671646,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,90363709.491551,,,1.589856,,,,1.589856,1.0,0.242313307838941,,,,,,,,BASE,BASE,,,,,,1.98230375311826e-09,4.17443857259059e-14,7.07991421222691e-08,2.58907675743103e-07,4479313.64909578,6.30315195509877,141182319.986202,815406028.065008,3.63797880709171e-12,0.0,2.58907675743103e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-344348815.087629,1201.66395897249,0.0,815406028.065008,0.0,0.0,0.0,222.0,0.0,960.0,0.0,0.0,0.0,0.0,-353181178.092118,,,,,,BASE,0.0,0,ejecuciones/validacion-preproc-simple-ute/resultados/caso01a_base.csv,ejecuciones/validacion-preproc-simple-ute/resultados/caso01a_base_postprocesado.csv,ejecuciones/validacion-preproc-simple-ute/logs/caso01a_base.log
caso01a,estructurado,OK,0,1.831384756,0.035413654274972,-344348824.07735085,-353181000.0,OPTIMAL,-344470770.57940954,1.0,8435.0,0.25,14400.0,10800.0,35590.0,10914.0,8718.0,28969.0,24.208333333333332,19.27777777777778,18.603540320314696,1,Model contains large bounds,1e-05,40000.0,0.003,3000.0,0.1,70000.0,1.0,10000000000.0,0.003999999999999999,1.0,0.0007,1.0,2341000000000.0,5345000000.0,0.0002863,1.0,0.0,1.831384756,0.9116989974552349,0.9116989974552349,0.9116989974552349,0.0,0.0,-6.105439538002522e-06,-8.989721655845642,-2.6106439929401108e-08,0.0,0.0,0.003999999999999999,0.002283212302434857,5201537.0,,0.05756223410113928,2.0,,,,2.0,0.794928,0.217337411556755,,,,,,,,OK,REVISAR,5.28793316334486e-06,0.0,1.1920928955078125e-07,815405786.244153,0.0,9.95469290094843e-09,4.65672655991511e-10,2.21287127715187e-07,1.45389367389726e-06,4487245.83394737,6.3031519520021,141182541.090865,815405786.244153,9.5367431640625e-07,0.0,5.28793316334486e-06,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-344348824.077351,1201.66395897249,0.0,815405786.244153,0.0,0.0,0.0,222.0,0.0,963.0,0.0,0.0,0.0,0.0,-353180853.754412,-344348824.077351,-8.989721775054932,2.6106440275588708e-08,igual,-30.016913950443268,DIFIERE,16000.0,305,ejecuciones/validacion-preproc-simple-ute/resultados/caso01a_estructurado.csv,ejecuciones/validacion-preproc-simple-ute/resultados/caso01a_estructurado_postprocesado.csv,ejecuciones/validacion-preproc-simple-ute/logs/caso01a_estructurado.log
caso01a,estructurado_matricial,OK,0,1.730621068,0.035404937276353,-344348824.077351,-353181000.0,OPTIMAL,-344470740.5625274,1.0,8341.0,0.23,14400.0,10800.0,35590.0,10912.0,8716.0,28972.0,24.22222222222222,19.296296296296298,18.595110986232086,1,Model contains large bounds,2e-05,40000.0,0.003,3000.0,0.02,90000000.0,1.0,10000000000.0,0.0019999999999999996,1.0,4.5,1.0,2341000000000.0,3666000000000.0,0.0002863,0.02149,0.0,1.730621068,0.9647817635373892,0.9647817635373892,0.9647817635373892,0.0,0.0,2.611559080996362e-06,-8.989721775054932,-2.6106440275588708e-08,0.0,0.0,0.0019999999999999996,1.565997436992738,10987447.0,,0.12159136739541802,2.0,,,,2.0,0.794928,0.210721923008336,,,,,,,,OK,REVISAR,1.828708263929e-06,0.0,0.0,815405786.244151,0.0,8.70240792500378e-09,4.65661287307739e-10,2.3737084120512e-07,1.828708263929e-06,4487245.83394744,6.30315195200213,141182541.090867,815405786.244151,1.43051147460938e-06,0.0,1.828708263929e-06,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,-344348824.077351,1201.66395897249,0.0,815405786.244151,0.0,0.0,0.0,223.0,0.0,962.0,0.0,0.0,0.0,0.0,-353180853.754412,-344348824.077351,-8.989721775054932,2.6106440275588708e-08,igual,-3.1828880310058594e-05,OK,0.0,0,ejecuciones/validacion-preproc-simple-ute/resultados/caso01a_estructurado_matricial.csv,ejecuciones/validacion-preproc-simple-ute/resultados/caso01a_estructurado_matricial_postprocesado.csv,ejecuciones/validacion-preproc-simple-ute/logs/caso01a_estructurado_matricial.log
caso01a,ruiz,OK,0,17.265412541,0.000447399531994,-344468467.82170665,-352889000.0,OPTIMAL,-344470008.97201955,4451.0,82515.0,0.25,14400.0,10800.0,35590.0,10914.0,8718.0,28969.0,24.208333333333332,19.27777777777778,18.603540320314696,2,Model contains large bounds | max constraint violation (2.2066e-05) exceeds tolerance,1e-05,70000.0,0.003,3000.0,30.0,80000.0,1.0,10000000000.0,0.006999999999999999,1.0,2.6666666666666664e-06,1.0,2341000000000.0,5345000000.0,0.0002863,0.9647,5.0,22.265412541,0.09670615411216198,0.09670615411216198,0.07498947719587191,5.0,0.28959632375574873,0.03496014930344,-119652.73407745361,-0.0003474753762315245,292000.0,0.0008267715420704965,0.006999999999999999,0.002283212302434857,253384275.0,,2.804049063785849,16.0,,,4.0,16.0,0.099366,0.984216554903463,,,,,,,,OK,REVISAR,1.14876311272383e-05,0.0,3.5762786865234375e-07,813343282.217208,0.0,1.26843895487034e-08,7.45058059692383e-09,2.57580541074277e-07,1.54196550283814e-06,3543135.50963784,6.45664289482627,136558124.418997,813343282.217208,2.86102294921875e-06,0.0,1.14876311272383e-05,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,-344468467.821707,600.831979486244,0.0,813343282.217208,0.0,0.0,0.0,193.0,0.0,956.0,0.0,0.0,0.0,0.0,-352889316.759381,-344468467.821707,-119652.73407781124,0.00034747537623256304,mejora,731.5904760360718,DIFIERE,5780000.0,4379,ejecuciones/validacion-preproc-simple-ute/resultados/caso01a_ruiz.csv,ejecuciones/validacion-preproc-simple-ute/resultados/caso01a_ruiz_postprocesado.csv,ejecuciones/validacion-preproc-simple-ute/logs/caso01a_ruiz.log
caso01a,ruiz_columnas,OK,0,1.557320694,0.035910029148462,-344346952.28580594,-347821000.0,OPTIMAL,-344470607.3767436,1.0,6869.0,0.1,14400.0,10800.0,35590.0,10789.0,8588.0,29111.0,25.07638888888889,20.48148148148148,18.20455184040461,1,max constraint violation (9.8627e-06) exceeds tolerance,0.0001,7000.0,0.3,3000.0,1.0,8000.0,0.1,100000000.0,7e-05,0.01,8e-06,0.1,2341000000000.0,52990000.0,0.0002863,0.9647,54.0,55.557320694,1.0721437481906344,1.0721437481906344,0.030053134765016105,54.0,34.674938956407395,-0.0005024803130280059,1862.8018232584,5.40963622245762e-06,5360000.0,0.015176354333896783,7e-05,2.2635625800939768e-05,521861009.0,,5.775117156393342,1.0,,,,1.0,1.589856,0.236380423940382,,,,,,,,OK,REVISAR,1.64713710546494e-05,0.0,5.960464477539063e-08,815431564.996053,0.0,2.09467201585985e-08,1.78522896021599e-08,5.14624407514931e-07,9.5367431640625e-07,4482330.78472046,24.2839084728896,141136500.635925,815431564.996053,3.63797880709171e-12,0.0,1.64713710546494e-05,0.0,2.27373675443232e-13,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,-344346952.285806,3193.35805267371,0.0,815431564.996053,0.0,2.27373675443232e-13,0.0,902.0,0.0,997.0,0.0,0.0,0.0,0.0,-347820525.69676,-344346952.285806,1862.8018231987953,5.409636222284526e-06,empeora,133.18575197458267,DIFIERE,300000.0,2839,ejecuciones/validacion-preproc-simple-ute/resultados/caso01a_ruiz_columnas.csv,ejecuciones/validacion-preproc-simple-ute/resultados/caso01a_ruiz_columnas_postprocesado.csv,ejecuciones/validacion-preproc-simple-ute/logs/caso01a_ruiz_columnas.log
caso01b,base,OK,0,2.256645547,0.038843862469319,-353071954.4255615,-352389000.0,OPTIMAL,-353209101.2099563,1.0,12362.0,0.24,14400.0,10800.0,35590.0,10911.0,8715.0,28973.0,24.229166666666668,19.305555555555557,18.592301208204553,3,Model contains large bounds | Model contains large matrix coefficients | Model contains large rhs,0.002,2000000000.0,0.003,3000.0,5.0,5000000000.0,1.0,10000000000.0,,,,,,,,,0.0,2.256645547,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,30622369.866918,,,2.124571,,,,2.124571,1.0,0.205814009320712,,,,,,,,BASE,BASE,,,,,,3.17156419366143e-09,5.66204860774629e-12,8.7544322013855e-08,9.29867383092642e-07,456099.156601258,2.30734767107029,26841250.1747578,39018588.3065217,3.63797880709171e-12,0.0,9.29867383092642e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-353071954.425561,1567.27661031944,0.0,39018588.3065217,0.0,0.0,0.0,885.0,0.0,984.0,0.0,0.0,0.0,0.0,-352389157.746049,,,,,,BASE,0.0,0,ejecuciones/validacion-preproc-simple-ute/resultados/caso01b_base.csv,ejecuciones/validacion-preproc-simple-ute/resultados/caso01b_base_postprocesado.csv,ejecuciones/validacion-preproc-simple-ute/logs/caso01b_base.log
caso01b,estructurado,OK,0,2.349693189,0.038850776229132,-353071954.4255615,-352389000.0,OPTIMAL,-353209125.6205032,1.0,11097.0,0.25,14400.0,10800.0,35590.0,10914.0,8718.0,28969.0,24.208333333333332,19.27777777777778,18.603540320314696,1,Model contains large bounds,1e-05,40000.0,0.003,3000.0,0.1,70000.0,1.0,10000000000.0,0.003999999999999999,1.0,0.0007,1.0,2341000000000.0,5345000000.0,0.0002863,1.0,0.0,2.349693189,0.9604000886432328,0.9604000886432328,0.9604000886432328,0.0,0.0,-6.913759813001463e-06,0.0,0.0,0.0,0.0,0.003999999999999999,0.002283212302434857,491336.0,,0.016045002465037848,2.0,,,,2.0,1.0622855,0.212822653033335,,,,,,,,OK,REVISAR,1.22166238725185e-06,0.0,5.364418029785156e-07,39018588.3065225,0.0,6.47514204579411e-09,5.59666659682976e-09,1.48435356095433e-07,1.22166238725185e-06,456099.156601267,2.30734767107029,26841250.174758,39018588.3065225,3.63797880709171e-12,0.0,1.22166238725185e-06,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-353071954.425562,1567.27661031944,0.0,39018588.3065225,0.0,0.0,0.0,885.0,0.0,986.0,0.0,0.0,0.0,0.0,-352389157.746047,-353071954.425562,-5.364418029785156e-07,1.5193554635379973e-15,igual,-24.410546898841858,DIFIERE,9.999999999732445e-07,3,ejecuciones/validacion-preproc-simple-ute/resultados/caso01b_estructurado.csv,ejecuciones/validacion-preproc-simple-ute/resultados/caso01b_estructurado_postprocesado.csv,ejecuciones/validacion-preproc-simple-ute/logs/caso01b_estructurado.log
caso01b,estructurado_matricial,OK,0,2.074102128,0.038843862469319,-353071954.42556155,-352389000.0,OPTIMAL,-353209101.20995635,1.0,11189.0,0.23,14400.0,10800.0,35590.0,10912.0,8716.0,28972.0,24.22222222222222,19.296296296296298,18.595110986232086,1,Model contains large bounds,2e-05,40000.0,0.003,3000.0,0.02,90000000.0,1.0,10000000000.0,0.0019999999999999996,1.0,4.5,1.0,2341000000000.0,3666000000000.0,0.0002863,0.02149,0.0,2.074102128,1.088010815155,1.088010815155,1.088010815155,0.0,0.0,0.0,-5.960464477539063e-08,-1.6881727372644414e-16,0.0,0.0,0.0019999999999999996,1.565997436992738,496120.0,,0.016201228126891936,2.0,,,,2.0,1.0622855,0.211653937240196,,,,,,,,OK,REVISAR,1.13015994429588e-06,0.0,4.76837158203125e-07,39018588.3065227,0.0,5.6937956428532e-09,3.72529029846191e-09,1.58324837684631e-07,9.5367431640625e-07,456099.15660127,2.30734767107032,26841250.1747578,39018588.3065227,3.63797880709171e-12,0.0,1.13015994429588e-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-353071954.425562,1567.27661031944,0.0,39018588.3065227,0.0,0.0,0.0,885.0,0.0,985.0,0.0,0.0,0.0,0.0,-352389157.746048,-353071954.425562,-5.364418029785156e-07,1.5193554635379973e-15,igual,-5.960464477539063e-08,OK,0.0,0,ejecuciones/validacion-preproc-simple-ute/resultados/caso01b_estructurado_matricial.csv,ejecuciones/validacion-preproc-simple-ute/resultados/caso01b_estructurado_matricial_postprocesado.csv,ejecuciones/validacion-preproc-simple-ute/logs/caso01b_estructurado_matricial.log
caso01b,ruiz,OK,0,138.713815691,0.233404229871446,-352377079.3848088,-350895000.0,OPTIMAL,-353199542.3931904,9853.0,2045539.0,0.25,14400.0,10800.0,35590.0,10914.0,8718.0,28969.0,24.208333333333332,19.27777777777778,18.603540320314696,2,Model contains large bounds | max constraint violation (1.8813e-05) exceeds tolerance,1e-05,70000.0,0.003,3000.0,30.0,80000.0,1.0,10000000000.0,0.006999999999999999,1.0,2.6666666666666664e-06,1.0,2341000000000.0,5345000000.0,0.0002863,0.9647,5.0,143.713815691,0.01626835463907158,0.01626835463907158,0.01570235635418677,5.0,0.03604543624650943,-0.19456036740212698,694875.0407527089,0.0019680833666985862,1494000.0,0.0042396329056809375,0.006999999999999999,0.002283212302434857,163265584.0,,5.3315789963199185,173.0,,,5.0,173.0,0.012280757225433526,0.91533766411537,,,,,,,,OK,REVISAR,1.10268592834473e-06,0.0,2.384185791015625e-07,39297002.2988741,0.0,7.47305840987456e-09,6.98491930961609e-09,1.80676579475403e-07,9.57399606704712e-07,465841.112349887,1.77322561042482,26442598.2873005,39297002.2988741,2.38418579101562e-07,0.0,1.10268592834473e-06,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-352377079.384809,812.575860844838,0.0,39297002.2988741,0.0,0.0,0.0,669.0,0.0,989.0,0.0,0.0,0.0,0.0,-350895395.948965,-352377079.384809,694875.0407524705,0.001968083366697911,empeora,9558.816765904427,DIFIERE,14718000.0,5937,ejecuciones/validacion-preproc-simple-ute/resultados/caso01b_ruiz.csv,ejecuciones/validacion-preproc-simple-ute/resultados/caso01b_ruiz_postprocesado.csv,ejecuciones/validacion-preproc-simple-ute/logs/caso01b_ruiz.log
caso01b,ruiz_columnas,OK,0,2.052744692,0.038778133828118,-353071954.4255615,-350762000.0,OPTIMAL,-353208869.1405582,1.0,9667.0,0.09,14400.0,10800.0,35590.0,10789.0,8588.0,29111.0,25.07638888888889,20.48148148148148,18.20455184040461,1,max constraint violation (1.1144e-05) exceeds tolerance,0.0001,7000.0,0.5,3000.0,1.0,8000.0,0.1,100000000.0,7e-05,0.006,8e-06,0.1,2341000000000.0,52990000.0,0.0002863,0.9647,54.0,56.052744692,1.099330840213421,1.099330840213421,0.04025932288240071,54.0,26.306242666440664,6.572864120100302e-05,0.0,0.0,1627000.0,0.004617056718569535,7e-05,2.2635625800939768e-05,1649645.0,,0.053870585691741205,2.0,,,,2.0,1.0622855,0.189239713932162,,,,,,,,OK,REVISAR,3.05951107293367e-06,0.0,5.364418029785156e-07,39018588.3065213,0.0,1.78112800923052e-08,2.98488885164254e-08,5.19934110343462e-07,1.04613718576729e-06,455816.569992184,3.63997543200961,26841250.1747576,39018588.3065213,3.63797880709171e-12,0.0,3.05951107293367e-06,0.0,4.54747350886464e-13,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,-353071954.425562,1651.64876063028,0.0,39018588.3065213,0.0,1.13686837721616e-13,0.0,1021.0,0.0,1025.0,0.0,0.0,0.0,0.0,-350761979.927039,-353071954.425562,-5.364418029785156e-07,1.5193554635379973e-15,igual,232.0693981051445,DIFIERE,71.06,1255,ejecuciones/validacion-preproc-simple-ute/resultados/caso01b_ruiz_columnas.csv,ejecuciones/validacion-preproc-simple-ute/resultados/caso01b_ruiz_columnas_postprocesado.csv,ejecuciones/validacion-preproc-simple-ute/logs/caso01b_ruiz_columnas.log
